阿魏,a'wei
矮地茶,ai'di'cha
艾叶,ai'ye
艾叶炭,ai'ye'tan
安息香,an'xi'xiang
桉油,an'you
巴豆,ba'dou
巴豆霜,ba'dou'shuang
巴戟天,ba'ji'tian
八角茴香,ba'jiao'hui'xiang
白扁豆,bai'bian'dou
百部,bai'bu
白矾,bai'fan
白附子,bai'fu'zi
白果,bai'guo
百合,bai'he
白花蛇舌草,bai'hua'she'she'cao
白及,bai'ji
白蒺藜,bai'ji'li
白僵蚕,bai'jiang'can
败酱草,bai'jiang'cao
白芥子,bai'jie'zi
白蔹,bai'lian
白茅根,bai'mao'gen
白前,bai'qian
白晒参,bai'shai'can
白芍,bai'shao
白头翁,bai'tou'weng
白薇,bai'wei
白鲜皮,bai'xian'pi
白芷,bai'zhi
白术,bai'zhu
柏子仁,bai'zi'ren
半边莲,ban'bian'lian
板蓝根,ban'lan'gen
斑蝥,ban'mao
半夏,ban'xia
半夏曲,ban'xia'qu
半枝莲,ban'zhi'lian
北豆根,bei'dou'gen
北沙参,bei'sha'shen
荜茇,bi'ba
荜澄茄,bi'cheng'qie
萹蓄,bian'xu
鳖甲,bie'jia
槟榔,bing'lang
冰片,bing'pian
薄荷,bo'he
薄荷脑,bo'he'nao
补骨脂,bu'gu'zhi
蚕沙,can'sha
苍耳草,cang'er'cao
苍耳子,cang'er'zi
苍术,cang'zhu
草豆蔻,cao'dou'kou
草果,cao'guo
草乌,cao'wu
草乌叶,cao'wu'ye
侧柏叶,ce'bai'ye
柴胡,chai'hu
蟾皮,chan'pi
蟾酥,chan'su
蝉蜕,chan'tui
常山,chang'shan
炒白术,chao'bai'zhu
炒常山,chao'chang'shan
炒谷芽,chao'gu'ya
炒麦芽,chao'mai'ya
炒牛蒡子,chao'niu'bang'zi
炒山甲,chao'shan'jia
炒山楂,chao'shan'zha
炒苏子,chao'su'zi
车前草,che'qian'cao
车前子,che'qian'zi
陈皮,chen'pi
沉香,chen'xiang
柽柳,cheng'liu
赤芍,chi'shao
赤石脂,chi'shi'zhi
赤小豆,chi'xiao'dou
虫白蜡,chong'bai'la
重楼,chong'lou
茺蔚子,chong'wei'zi
臭梧桐,chou'wu'tong
楮实子,chu'shi'zi
川贝母,chuan'bei'mu
川断,chuan'duan
川楝子,chuan'lian'zi
川木通,chuan'mu'tong
川木香,chuan'mu'xiang
川牛膝,chuan'niu'xi
穿山甲,chuan'shan'jia
穿山龙,chuan'shan'long
川乌,chuan'wu
穿心莲,chuan'xin'lian
川芎,chuan'xiong
垂盆草,chui'pen'cao
椿白皮,chun'bai'pi
椿皮,chun'pi
刺蒺藜,ci'ji'li
磁石,ci'shi
刺猬皮,ci'wei'pi
刺五加,ci'wu'jia
葱白,cong'bai
大豆黄卷,da'dou'huang'juan
大腹皮,da'fu'pi
大黄,da'huang
大蓟,da'ji
大青叶,da'qing'ye
大蒜,da'suan
大血藤,da'xue'teng
大枣,da'zao
代赭石,dai'zhe'shi
淡豆鼓,dan'dou'gu
胆矾,dan'fan
胆南星,dan'nan'xing
丹参,dan'shen
淡竹叶,dan'zhu'ye
当归,dang'gui
党参,dang'shen
刀豆,dao'dou
刀豆子,dao'dou'zi
稻芽,dao'ya
灯心草,deng'xin'cao
地耳草,di'er'cao
地枫皮,di'feng'pi
地肤子,di'fu'zi
地骨皮,di'gu'pi
地黄,di'huang
地锦草,di'jin'cao
地龙,di'long
地榆,di'yu
地榆炭,di'yu'tan
颠茄草,dian'qie'cao
丁公藤,ding'gong'teng
丁香,ding'xiang
冬虫夏草,dong'chong'xia'cao
冬瓜皮,dong'gua'pi
冬瓜仁,dong'gua'ren
冬葵子,dong'kui'zi
豆蔻,dou'kou
豆蔻壳,dou'kou'ke
独活,du'huo
杜仲,du'zhong
煅龙骨,duan'long'gu
煅牡蛎,duan'mu'li
煅石膏,duan'shi'gao
煅瓦楞子,duan'wa'leng'zi
煅自燃铜,duan'zi'ran'tong
锻紫石英,duan'zi'shi'ying
鹅不食草,e'bu'shi'cao
阿胶,e'jiao
阿胶珠,e'jiao'zhu
莪术,e'zhu
儿茶,er'cha
法半夏,fa'ban'xia
翻白草,fan'bai'cao
番红花,fan'hong'hua
番泻叶,fan'xie'ye
防风,fang'feng
防己,fang'ji
榧子,fei'zi
粉萆薢,fen'bi'xie
蜂房,feng'fang
蜂蜡,feng'la
蜂蜜,feng'mi
枫香脂,feng'xiang'zhi
佛手,fo'shou
茯苓,fu'ling
茯苓皮,fu'ling'pi
覆盆子,fu'pen'zi
浮萍,fu'ping
茯神,fu'shen
浮小麦,fu'xiao'mai
附子,fu'zi
甘草,gan'cao
干地黄,gan'di'huang
干姜,gan'jiang
干漆,gan'qi
甘松,gan'song
甘遂,gan'sui
藁本,gao'ben
高良姜,gao'liang'jiang
葛根,ge'gen
葛花,ge'hua
蛤蚧,ge'jie
蛤壳,ge'ke
隔山消,ge'shan'xiao
功劳木,gong'lao'mu
枸骨叶,gou'gu'ye
狗脊,gou'ji
枸杞子,gou'qi'zi
钩藤,gou'teng
谷精草,gu'jing'cao
骨碎补,gu'sui'bu
谷芽,gu'ya
瓜蒂,gua'di
瓜蒌,gua'lou
瓜蒌皮,gua'lou'pi
瓜蒌子,gua'lou'zi
关白附,guan'bai'fu
关木通,guan'mu'tong
贯众,guan'zhong
广防己,guang'fang'ji
广藿香,guang'huo'xiang
广金钱草,guang'jin'qian'cao
