安乐寨,an'le'zhai
唵死,an'si
唵死沓,an'si'ta
俺一齐儿去,an'yi'qi'er'qu
俺一齐儿去那哈去,an'yi'qi'er'qu'na'ha'qu
俺一趟去,an'yi'tang'qu
白雀镇,bai'que'zhen
扁嘴子,bian'zui'zi
曾荣,ceng'rong
扯屌蛋,che'diao'dan
陈大湾,chen'da'wan
打恩个儿地,da'en'ge'er'di
大佬,da'lao
大娘,da'niang
大千儿,da'qian'er
叨菜叨菜,dao'cai'dao'cai
点吧点,dian'ba'dian
丁莉,ding'li
多咱儿,duo'zan'er
多咱儿回,duo'zan'er'hui
恩个屌货,en'ge'diao'huo
恩个儿想死安,en'ge'er'xiang'si'an
恩管我啊,en'guan'wo'a
恩来唉,en'lai'ai
恩说,en'shuo
恩说么叁,en'shuo'me'san
恩说么斯,en'shuo'me'si
恩屋里呢,en'wu'li'ne
恩想死是啵,en'xiang'si'shi'bo
恩想咋儿,en'xiang'za'er
恩想咋儿羙,en'xiang'za'er'gao
二佬,er'lao
二娘,er'niang
方勇,fang'yong
付艳,fu'yan
搞么斯,gao'me'si
搞么斯安,gao'me'si'an
搞么斯嘚,gao'me'si'de
寡泡子,gua'pao'zi
滚过去,gun'guo'qu
郭乡村,guo'xiang'cun
好半,hao'ban
河棚,he'peng
胡胜国,hu'sheng'guo
胡正军,hu'zheng'jun
花大姐,hua'da'jie
黄波,huang'bo
黄岗,huang'gang
黄桥,huang'qiao
脊梁盖,ji'liang'gai
吉宁子,ji'ning'zi
见天,jian'tian
蒋楼,jiang'lou
江世宝,jiang'shi'bao
江湾,jiang'wan
蒋万军,jiang'wan'jun
江小娟,jiang'xiao'juan
蒋鑫,jiang'xin
蒋泽,jiang'ze
金大湾,jin'da'wan
今到,jin'dao
金洼村,jin'wa'cun
金羽,jin'yu
金玉萍,jin'yu'ping
金寨,jin'zhai
九八届二六班,jiu'ba'jie'er'liu'ban
扛二蛋,kang'er'dan
浪巴精,lang'ba'jing
浪里过不得,lang'li'guo'bu'de
佬爹,lao'die
老赖,lao'lai
佬妈,lao'ma
姥娘,lao'niang
老头盖,lao'tou'gai
李冬梅,li'dong'mei
李锋,li'feng
李军,li'jun
李绍珍,li'shao'zhen
李曙光,li'shu'guang
李双喜,li'shuang'xi
里头,li'tou
李万胜,li'wan'sheng
刘渡,liu'du
刘乡村,liu'xiang'cun
龙台,long'tai
路边店,lu'bian'dian
萝卜茧子,luo'bo'jian'zi
落生,luo'sheng
马畈镇,ma'fan'zhen
马岗,ma'gang
马宗智,ma'zong'zhi
么样,me'yang
么样羙,me'yang'gao
没打恩都是好里,mei'da'en'dou'shi'hao'li
缪中伟,miu'zhong'wei
缪忠玉,miu'zhong'yu
南向店,nan'xiang'dian
你勤谢了嘚,ni'qin'xie'le'de
千儿,qian'er
屈岗,qu'gang
去那哈,qu'na'ha
屈寨,qu'zhai
三佬,san'lao
三娘,san'niang
傻锕,sha'a
佘宏猛,she'hong'meng
佘亮,she'liang
十里庙,shi'li'miao
手棚盖,shou'peng'gai
舒德辉,shu'de'hui
舒堂村,shu'tang'cun
四佬,si'lao
四娘,si'niang
孙铺初中,sun'pu'chu'zhong
孙铺初中二六班,sun'pu'chu'zhong'er'liu'ban
孙铁铺,sun'tie'pu
太太儿,tai'tai'er
谈运来,tan'yun'lai
汤从根,tang'cong'gen
堂屋,tang'wu
体胞子,ti'bao'zi
田峰,tian'feng
完粮,wan'liang
王超,wang'chao
王芳芳,wang'fang'fang
王丽娜,wang'li'na
王楼村,wang'lou'cun
王乡,wang'xiang
王晓峰,wang'xiao'feng
文殊,wen'shu
我不搞,wo'bu'gao
我咋不里,wo'za'bu'li
仙居乡,xian'ju'xiang
嫌人,xian'ren
嫌人般,xian'ren'ban
嫌恶死人,xian'wu'si'ren
嫌恶死人里,xian'wu'si'ren'li
想咋儿弄,xiang'za'er'nong
小寡子子,xiao'gua'zi'zi
小鸡儿,xiao'ji'er
谢凤鸣,xie'feng'ming
谢里吊二,xie'li'diao'er
谢套,xie'tao
谢晓娟,xie'xiao'juan
谢欣,xie'xin
杏山,xing'shan
徐俊,xu'jun
徐珊珊,xu'shan'shan
咽菜,yan'cai
腌盐菜,yan'yan'cai
杨浩,yang'hao
咋不里,za'bu'li
咋儿搞里,za'er'gao'li
寨河,zhai'he
长的真排赏,zhang'de'zhen'pai'shang
张兰兰,zhang'lan'lan
张丽萍,zhang'li'ping
这哈,zhe'ha
郑大湾,zheng'da'wan
郑堂村,zheng'tang'cun
周颂华,zhou'song'hua
周乡村,zhou'xiang'cun
朱洼村,zhu'wa'cun
朱小玲,zhu'xiao'ling
朱业军,zhu'ye'jun
揍不,zou'bu
昨儿,zuo'er
