阿谁扶上马,a'shui'fu'shang'ma
哀哀悲素丝,ai'ai'bei'su'si
哀哀长鸡鸣,ai'ai'chang'ji'ming
蔼蔼凤凰宫,ai'ai'feng'huang'gong
哀哀歌苦寒,ai'ai'ge'ku'han
哀哀泪如雨,ai'ai'lei'ru'yu
哀哀夜哭向秋云,ai'ai'ye'ku'xiang'qiu'yun
霭霭阴还结,ai'ai'yin'hai'jie
哀蝉响如昨,ai'chan'xiang'ru'zuo
哀肠发酸悲,ai'chang'fa'suan'bei
爱此春光发,ai'ci'chun'guang'fa
爱此从冥搜,ai'ci'cong'ming'sou
爱此孤舟漾,ai'ci'gu'zhou'yang
爱此寒泉清,ai'ci'han'quan'qing
爱此好鹅宾,ai'ci'hao'e'bin
爱此荷花鲜,ai'ci'he'hua'xian
爱此如甘棠,ai'ci'ru'gan'tang
爱此溪水闲,ai'ci'xi'shui'xian
爱此暂踟蹰,ai'ci'zan'chi'chu
爱尔无羁束,ai'er'wu'ji'shu
哀歌逮明发,ai'ge'dai'ming'fa
哀鸿逝长天,ai'hong'shi'chang'tian
哀鸿酸嘶暮声急,ai'hong'suan'si'mu'sheng'ji
爱酒不愧天,ai'jiu'bu'kui'tian
爱君山岳心不移,ai'jun'shan'yue'xin'bu'yi
爱客多逢迎,ai'ke'duo'feng'ying
哀鸣惭不周,ai'ming'can'bu'zhou
哀鸣惊叫泪沾衣,ai'ming'jing'jiao'lei'zhan'yi
哀鸣九天闻,ai'ming'jiu'tian'wen
哀鸣自相应,ai'ming'zi'xiang'ying
霭然和晓雾,ai'ran'he'xiao'wu
哀声那可闻,ai'sheng'na'ke'wen
爱水剧江鸥,ai'shui'ju'jiang'ou
爱听松风且高卧,ai'ting'song'feng'qie'gao'wo
爱我郡斋幽,ai'wo'jun'zhai'you
毐亦淫荒,ai'yi'yin'huang
哀怨起骚人,ai'yuan'qi'sao'ren
哀哉悲夫,ai'zai'bei'fu
哀哉难重陈,ai'zai'nan'zhong'chen
哀哉人食人,ai'zai'ren'shi'ren
哀哉信可怜,ai'zai'xin'ke'lian
爱憎应不染,ai'zeng'ying'bu'ran
爱竹啸名园,ai'zhu'xiao'ming'yuan
爱子方传业,ai'zi'fang'chuan'ye
爱子隔东鲁,ai'zi'ge'dong'lu
爱子临风吹玉笛,ai'zi'lin'feng'chui'yu'di
安禅爱夜深,an'chan'ai'ye'shen
暗驰羌马发支兵,an'chi'qiang'ma'fa'zhi'bing
安道惜离群,an'dao'xi'li'qun
安得不尽觞,an'de'bu'jin'shang
安得不死药,an'de'bu'si'yao
安得长璀错,an'de'chang'cui'cuo
安得成所好,an'de'cheng'suo'hao
安得黄鹤羽,an'de'huang'he'yu
安得久世间,an'de'jiu'shi'jian
安得客梁陈,an'de'ke'liang'chen
安得苦愁思,an'de'ku'chou'si
安得良土宜,an'de'liang'tu'yi
安得念春闺,an'de'nian'chun'gui
安得弄云月,an'de'nong'yun'yue
安得配君子,an'de'pei'jun'zi
安得秦吉了,an'de'qin'ji'liao
安得神扬扬,an'de'shen'yang'yang
安得生羽毛,an'de'sheng'yu'mao
安得同门吏,an'de'tong'men'li
安得问灵怪,an'de'wen'ling'guai
