阿步,a'bu
阿尔柯巴雷诺,a'er'ke'ba'lei'nuo
阿非姐,a'fei'jie
阿瓜,a'gua
阿扣,a'kou
阿扣菌,a'kou'jun
阿扣君,a'kou'jun
阿懒,a'lan
阿兰兰,a'lan'lan
哀菌,ai'jun
哀君,ai'jun
爱哭鬼蓝波,ai'ku'gui'lan'bo
哀露,ai'lu
艾斯托拉涅欧,ai'si'tuo'la'nie'ou
安翠欧,an'cui'ou
巴吉尔,ba'ji'er
吧里,ba'li
巴兹,ba'zi
白兰氏鸡精,bai'lan'shi'ji'jing
白正,bai'zheng
暴风雨之戒,bao'feng'yu'zhi'jie
贝尔,bei'er
贝尔菲哥尔,bei'er'fei'ge'er
北华学园,bei'hua'xue'yuan
悲文,bei'wen
碧洋琪,bi'yang'qi
并盛,bing'sheng
并盛町,bing'sheng'ding
并盛国中,bing'sheng'guo'zhong
并盛校歌,bing'sheng'xiao'ge
并盛中学,bing'sheng'zhong'xue
并中风纪委员长,bing'zhong'feng'ji'wei'yuan'zhang
并中校庆日,bing'zhong'xiao'qing'ri
步菌,bu'jun
步君,bu'jun
步璃,bu'li
彩虹婴儿,cai'hong'ying'er
蚕蚕,can'can
蚕君,can'jun
蚕桑,can'sang
草帽菌,cao'mao'jun
草帽君,cao'mao'jun
城岛犬,cheng'dao'quan
城菌,cheng'jun
城君,cheng'jun
畜生道,chu'sheng'dao
大谷美贵,da'gu'mei'gui
大空指环,da'kong'zhi'huan
大萌神,da'meng'shen
稲村优奈,dao'cun'you'nai
滴草由实,di'cao'you'shi
迪诺,di'nuo
帝王攻,di'wang'gong
地狱道,di'yu'dao
迪云,di'yun
电击角,dian'ji'jiao
电气角,dian'qi'jiao
电气体质,dian'qi'ti'zhi
杜尔,du'er
毒蝎,du'xie
毒蝎子,du'xie'zi
多玛佐,duo'ma'zuo
饿鬼道,e'gui'dao
二月君,er'yue'jun
饭田利信,fan'tian'li'xin
绯色晴空,fei'se'qing'kong
风华神乐,feng'hua'shen'le
凤梨教主,feng'li'jiao'zhu
凤梨头,feng'li'tou
凤梨王子,feng'li'wang'zi
风太,feng'tai
豊永利行,feng'yong'li'xing
夫君,fu'jun
浮萍拐,fu'ping'guai
附身弹,fu'shen'tan
纲吉,gang'ji
格瓜,ge'gua
戈菌,ge'jun
戈君,ge'jun
格菌,ge'jun
格君,ge'jun
戈少,ge'shao
戈少君,ge'shao'jun
格子,ge'zi
格子大,ge'zi'da
鸽子君,ge'zi'jun
恭弥,gong'mi
瓜瓜,gua'gua
瓜菌,gua'jun
瓜君,gua'jun
光崎市,guang'qi'shi
光崎市北华学园,guang'qi'shi'bei'hua'xue'yuan
鬼畜虐娘遗忘君,gui'chu'nue'niang'yi'wang'jun
国分优香里,guo'fen'you'xiang'li
骸大,hai'da
骸殿,hai'dian
骸纲,hai'gang
海猴,hai'hou
海菌,hai'jun
海君,hai'jun
海栖,hai'qi
骸样,hai'yang
骸云,hai'yun
黑川花,hei'chuan'hua
黑曜,hei'yao
黑曜中学,hei'yao'zhong'xue
候君,hou'jun
猴菌,hou'jun
混吃混喝帮,hun'chi'hun'he'bang
激萌,ji'meng
吉田仁美,ji'tian'ren'mei
极限太阳,ji'xian'tai'yang
加百罗涅,jia'bai'luo'nie
家教吧,jia'jiao'ba
剑帝,jian'di
浆果酱,jiang'guo'jiang
浆果菌,jiang'guo'jun
浆果君,jiang'guo'jun
浆蜗牛,jiang'wo'niu
戒指争夺战,jie'zhi'zheng'duo'zhan
近藤隆,jin'teng'long
津田健次郎,jin'tian'jian'ci'lang
井上优,jing'shang'you
囧哀,jiong'ai
卡鲁卡沙,ka'lu'ka'sha
可乐尼洛,ke'le'ni'luo
扣菌,kou'jun
扣君,kou'jun
库洛姆,ku'luo'mu
库洛姆骷髅,ku'luo'mu'ku'lou
拉尔,la'er
蓝波,lan'bo
兰戈,lan'ge
兰菌,lan'jun
兰君,lan'jun
懒菌,lan'jun
懒君,lan'jun
懒懒,lan'lan
兰奇亚,lan'qi'ya
蓝少,lan'shao
兰斯隆特,lan'si'long'te
兰桃,lan'tao
岚之戒,lan'zhi'jie
老海,lao'hai
乐菌,le'jun
乐君,le'jun
乐乐,le'le
雷守,lei'shou
雷之戒,lei'zhi'jie
雷之守护者,lei'zhi'shou'hu'zhe
里包恩,li'bao'en
璃菌,li'jun
璃君,li'jun
鎌苅健太,lian'yi'jian'tai
列恩,lie'en
六道骸,liu'dao'hai
流菌,liu'jun
流君,liu'jun
绺菌,liu'jun
绺君,liu'jun
琉璃,liu'li
流流子,liu'liu'zi
六音,liu'yin
六音菌,liu'yin'jun
六音君,liu'yin'jun
路菌,lu'jun
路君,lu'jun
路克,lu'ke
鲁斯里亚,lu'si'li'ya
伦迦,lun'jia
玛门,ma'men
麦小依,mai'xiao'yi
曼格斯塔,man'ge'si'ta
萌菌,meng'jun
萌神,meng'shen
米尔奇,mi'er'qi
貘良六音,mo'liang'liu'yin
某少,mou'shao
木内秀信,mu'nei'xiu'xin
内藤玲,nei'teng'ling
内藤龙祥,nei'teng'long'xiang
虐身,nue'shen
虐文,nue'wen
虐心,nue'xin
潘迪拉,pan'di'la
喷气蜗牛,pen'qi'wo'niu
彭哥列,peng'ge'lie
批评弹,pi'ping'tan
平野贵裕,ping'ye'gui'yu
妻君,qi'jun
七七,qi'qi
契约,qi'yue
千砂夜,qian'sha'ye
前田刚,qian'tian'gang
晴戈,qing'ge
晴空大人,qing'kong'da'ren
晴守,qing'shou
晴之戒,qing'zhi'jie
晴之守护者,qing'zhi'shou'hu'zhe
秋本圣,qiu'ben'sheng
人间道,ren'jian'dao
入白,ru'bai
入江正一,ru'jiang'zheng'yi
三叉戟,san'cha'ji
三瓶由布子,san'ping'you'bu'zi
三浦春,san'pu'chun
山本的球棒,shan'ben'de'qiu'bang
山本刚,shan'ben'gang
山本武,shan'ben'wu
山芋,shan'yu
山云,shan'yun
社会最底层,she'hui'zui'di'ceng
社会最底层大,she'hui'zui'di'ceng'da
深见梨加,shen'jian'li'jia
胜矢,sheng'shi
柿本千种,shi'ben'qian'zhong
食草性动物,shi'cao'xing'dong'wu
十代目,shi'dai'mu
石井翔子,shi'jing'xiang'zi
史卡鲁,shi'ka'lu
史库瓦罗,shi'ku'wa'luo
市瀬秀和,shi'lai'xiu'he
十年后火箭炮,shi'nian'hou'huo'jian'pao
十年后火箭筒,shi'nian'hou'huo'jian'tong
十年后炮,shi'nian'hou'pao
史佩尔毕,shi'pei'er'bi
时雨苍燕流,shi'yu'cang'yan'liu
时雨金时,shi'yu'jin'shi
甩拐,shuai'guai
双氧水菌,shuang'yang'shui'jun
双氧水君,shuang'yang'shui'jun
斯帕纳,si'pa'na
死气,si'qi
死气弹,si'qi'tan
死气丸,si'qi'wan
寺狱,si'yu
叹息弹,tan'xi'tan
桃菌,tao'jun
桃君,tao'jun
桃子,tao'zi
特式,te'shi
天界道,tian'jie'dao
天空之戒,tian'kong'zhi'jie
甜文,tian'wen
天野,tian'ye
天野娘,tian'ye'niang
田中理恵,tian'zhong'li'hui
跳马,tiao'ma
图废,tu'fei
兔菌,tu'jun
兔君,tu'jun
图强,tu'qiang
图神,tu'shen
图圣,tu'sheng
兔子,tu'zi
兔子姬,tu'zi'ji
兔子菌,tu'zi'jun
兔子君,tu'zi'jun
瓦利亚,wa'li'ya
万年总受小白君,wan'nian'zong'shou'xiao'bai'jun
威尔帝,wei'er'di
文废,wen'fei
文强,wen'qiang
文神,wen'shen
蜗牛菌,wo'niu'jun
蜗牛君,wo'niu'jun
雾守,wu'shou
雾之戒,wu'zhi'jie
雾之守护者,wu'zhi'shou'hu'zhe
夏大叔,xia'da'shu
夏马尔,xia'ma'er
小白文,xiao'bai'wen
小春,xiao'chun
小菌,xiao'jun
小君,xiao'jun
小懒,xiao'lan
小乐乐,xiao'le'le
小绺,xiao'liu
小路路,xiao'lu'lu
小萌,xiao'meng
小七,xiao'qi
小小,xiao'xiao
小言纲,xiao'yan'gang
小言状态,xiao'yan'zhuang'tai
小悠,xiao'you
小正,xiao'zheng
修罗道,xiu'luo'dao
燕特攻,yan'te'gong
咬杀,yao'sha
烨桃,ye'tao
烨桃菌,ye'tao'jun
烨桃君,ye'tao'jun
一平,yi'ping
遗失菌,yi'shi'jun
遗失君,yi'shi'jun
遗失遗忘,yi'shi'yi'wang
遗忘菌,yi'wang'jun
遗忘君,yi'wang'jun
佑野,you'ye
羽戈,yu'ge
雨手,yu'shou
狱寺隼人,yu'si'sun'ren
雨之戒,yu'zhi'jie
雨之守护者,yu'zhi'shou'hu'zhe
云豆,yun'dou
雲雀,yun'que
雲雀恭弥,yun'que'gong'mi
云雀恭弥,yun'que'gong'mi
云之戒,yun'zhi'jie
泽田,ze'tian
泽田纲吉,ze'tian'gang'ji
泽田家光,ze'tian'jia'guang
泽田奈奈,ze'tian'nai'nai
只爱着云,zhi'ai'zhe'yun
竹内顺子,zhu'nei'shun'zi
竹寿司,zhu'shou'si
