爱酒一樽常在旁,ai'jiu'yi'zun'chang'zai'pang
艾束著危冠,ai'shu'zhu'wei'guan
矮纸斜行闲作草,ai'zhi'xie'xing'xian'zuo'cao
安得千寻横铁锁,an'de'qian'xun'heng'tie'suo
安得元龙百尺楼,an'de'yuan'long'bai'chi'lou
灞桥烟柳,ba'qiao'yan'liu
白发将军亦壮哉,bai'fa'jiang'jun'yi'zhuang'zai
白发萧萧卧泽中,bai'fa'xiao'xiao'wo'ze'zhong
白浪如山寄豪壮,bai'lang'ru'shan'ji'hao'zhuang
半盏屠苏犹未举,ban'zhan'tu'su'you'wei'ju
悲愤犹争宝剑寒,bei'fen'you'zheng'bao'jian'han
北风吹雪四更初,bei'feng'chui'xue'si'geng'chu
悲歌击筑,bei'ge'ji'zhu
毕竟成尘,bi'jing'cheng'chen
毕竟消磨去,bi'jing'xiao'mo'qu
别是功名,bie'shi'gong'ming
鬓丝生,bin'si'sheng
鬓虽残,bin'sui'can
鬓先秋,bin'xian'qiu
病起书怀,bing'qi'shu'huai
布被冬未赎,bu'bei'dong'wei'shu
不妨随处一开颜,bu'fang'sui'chu'yi'kai'yan
布谷声中夏令新,bu'gu'sheng'zhong'xia'ling'xin
不见襄阳登览,bu'jian'xiang'yang'deng'lan
不堪重省,bu'kan'zhong'sheng
不怕黏天浪,bu'pa'nian'tian'lang
不是人间偏我老,bu'shi'ren'jian'pian'wo'lao
卜算子咏梅,bu'suan'zi'yong'mei
不须辛苦慕公卿,bu'xu'xin'ku'mu'gong'qing
采药归来,cai'yao'gui'lai
草深无处不鸣蛙,cao'shen'wu'chu'bu'ming'wa
曾是朝衣染御香,ceng'shi'chao'yi'ran'yu'xiang
曾是惊鸿照影来,ceng'shi'jing'hong'zhao'ying'lai
曾是气吞残虏,ceng'shi'qi'tun'can'lu
茶甘饭软,cha'gan'fan'ruan
柴荆添睡,chai'jing'tian'shui
钗头凤,chai'tou'feng
常啼杜宇,chang'ti'du'yu
潮落浩歌归去,chao'luo'hao'ge'gui'qu
潮平系缆,chao'ping'xi'lan
潮生理棹,chao'sheng'li'zhao
朝中措,chao'zhong'cuo
尘暗旧貂裘,chen'an'jiu'diao'qiu
城上斜阳画角哀,cheng'shang'xie'yang'hua'jiao'ai
驰骑谕幽并,chi'qi'yu'you'bing
重五山村好,chong'wu'shan'cun'hao
愁鬓点新霜,chou'bin'dian'xin'shuang
愁抵瞿塘关上草,chou'di'qu'tang'guan'shang'cao
处处闻渔唱,chu'chu'wen'yu'chang
出门搔首怆平生,chu'men'sao'shou'chuang'ping'sheng
楚虽三户能亡秦,chu'sui'san'hu'neng'wang'qin
初夏绝句,chu'xia'jue'ju
除夜雪,chu'ye'xue
吹火不得烛,chui'huo'bu'de'zhu
吹笳暮归野帐,chui'jia'mu'gui'ye'zhang
春盘春酒年年好,chun'pan'chun'jiu'nian'nian'hao
春如旧,chun'ru'jiu
春晚连江风雨,chun'wan'lian'jiang'feng'yu
此身合是诗人未,ci'shen'he'shi'shi'ren'wei
此身如寄,ci'shen'ru'ji
此身行作稽山土,ci'shen'xing'zuo'ji'shan'tu
此生谁料,ci'sheng'shui'liao
此兴悠哉,ci'xing'you'zai
从今若许闲乘月,cong'jin'ruo'xu'xian'cheng'yue
催成清泪,cui'cheng'qing'lei
寸心自许尚如丹,cun'xin'zi'xu'shang'ru'dan
打窗风雨正三更,da'chuang'feng'yu'zheng'san'geng
但悲不见九州同,dan'bei'bu'jian'jiu'zhou'tong
当年万里觅封侯,dang'nian'wan'li'mi'feng'hou
当日何曾轻负春,dang'ri'he'ceng'qing'fu'chun
灯昏人独寝,deng'hun'ren'du'qin
灯前目力虽非昔,deng'qian'mu'li'sui'fei'xi
灯前小草写桃符,deng'qian'xiao'cao'xie'tao'fu
笛里谁知壮士心,di'li'shui'zhi'zhuang'shi'xin
低篷三扇,di'peng'san'shan
点鬓霜新,dian'bin'shuang'xin
点绛唇,dian'jiang'chun
雕鞍驰射,diao'an'chi'she
蝶恋花,die'lian'hua
东风恶,dong'feng'e
冬夜读书示子聿,dong'ye'du'shu'shi'zi'yu
独去作,du'qu'zuo
读书,du'shu
读书本意在元元,du'shu'ben'yi'zai'yuan'yuan
独寻茅店沽新酿,du'xun'mao'dian'gu'xin'niang
短艇湖中闲采莼,duan'ting'hu'zhong'xian'cai'chun
躲尽危机,duo'jin'wei'ji
多情谁似南山月,duo'qing'shui'si'nan'shan'yue
厄穷苏武餐毡久,e'qiong'su'wu'can'zhan'jiu
尔来从军天汉滨,er'lai'cong'jun'tian'han'bin
非惟我老,fei'wei'wo'lao
纷纷红紫已成尘,fen'fen'hong'zi'yi'cheng'chen
封侯事在,feng'hou'shi'zai
烽火连空明灭,feng'huo'lian'kong'ming'mie
烽火照高台,feng'huo'zhao'gao'tai
风卷江湖雨暗村,feng'juan'jiang'hu'yu'an'cun
风落木,feng'luo'mu
丰年留客足鸡豚,feng'nian'liu'ke'zu'ji'tun
风怒欲拔木,feng'nu'yu'ba'mu
逢人问道归何处,feng'ren'wen'dao'gui'he'chu
风声翻海涛,feng'sheng'fan'hai'tao
付与何人心事,fu'yu'he'ren'xin'shi
高标逸韵君知否,gao'biao'yi'yun'jun'zhi'fou
隔重重烟水,ge'chong'chong'yan'shui
歌缥渺,ge'piao'miao
各自消魂,ge'zi'xiao'hun
更有人贫,geng'you'ren'pin
更著风和雨,geng'zhu'feng'he'yu
功名不信由天,gong'ming'bu'xin'you'tian
功名梦断,gong'ming'meng'duan
孤鹤归飞,gu'he'gui'fei
孤恨清香,gu'hen'qing'xiang
孤剑床头铿有声,gu'jian'chuang'tou'keng'you'sheng
鼓角临风悲壮,gu'jiao'lin'feng'bei'zhuang
古人学问无遗力,gu'ren'xue'wen'wu'yi'li
故山犹自不堪听,gu'shan'you'zi'bu'kan'ting
观村童戏溪上,guan'cun'tong'xi'xi'shang
关河梦断何处,guan'he'meng'duan'he'chu
关河自古无穷事,guan'he'zi'gu'wu'qiong'shi
冠简朴古风存,guan'jian'pu'gu'feng'cun
关山月,guan'shan'yue
归梦寄吴樯,gui'meng'ji'wu'qiang
归志宁无五亩园,gui'zhi'ning'wu'wu'mu'yuan
汉宫春,han'gong'chun
何方可化身千亿,he'fang'ke'hua'shen'qian'yi
何况今朝秋色里,he'kuang'jin'zhao'qiu'se'li
和戎诏下十五年,he'rong'zhao'xia'shi'wu'nian
何事又作南来,he'shi'you'zuo'nan'lai
红酥手,hong'su'shou
胡儿敢作千年计,hu'er'gan'zuo'qian'nian'ji
湖山胜处放翁家,hu'shan'sheng'chu'fang'weng'jia
胡未灭,hu'wei'mie
华鬓星星,hua'bin'xing'xing
华灯纵博,hua'deng'zong'bo
华发苍颜羞自照,hua'fa'cang'yan'xiu'zi'zhao
花时万人乐处,hua'shi'wan'ren'le'chu
槐柳阴中野径斜,huai'liu'yin'zhong'ye'jing'xie
换尽旧人,huan'jin'jiu'ren
欢情薄,huan'qing'bo
黄金错刀白玉装,huang'jin'cuo'dao'bai'yu'zhuang
黄縢酒,huang'teng'jiu
几把离尊,ji'ba'li'zun
几处今宵垂泪痕,ji'chu'jin'xiao'chui'lei'hen
寂寞开无主,ji'mo'kai'wu'zhu
几年离索,ji'nian'li'suo
记取江湖泊船处,ji'qu'jiang'hu'bo'chuan'chu
佳处缥缈著危楼,jia'chu'piao'miao'zhu'wei'lou
