阿鹤,a'he
阿九,a'jiu
阿毘昙,a'pi'tan
爱蔻童子,ai'kou'tong'zi
哀三声,ai'san'sheng
矮驼地,ai'tuo'di
犴妖神,an'yao'shen
闇族魔女,an'zu'mo'nv
傲刀苍雷,ao'dao'cang'lei
傲刀缳莺,ao'dao'huan'ying
傲刀青麟,ao'dao'qing'lin
傲刀玄龙,ao'dao'xuan'long
傲神州,ao'shen'zhou
傲笑红尘,ao'xiao'hong'chen
八忏,ba'chan
八颠,ba'dian
八方横野,ba'fang'heng'ye
八分仪,ba'fen'yi
八津蛮,ba'jin'man
八面狼姬,ba'mian'lang'ji
八岐太岁,ba'qi'tai'sui
八亲王,ba'qin'wang
八叶莲,ba'ye'lian
白霭灵座,bai'ai'ling'zuo
百朝臣,bai'chao'chen
白城舆,bai'cheng'yu
白滴子,bai'di'zi
白发剑者,bai'fa'jian'zhe
白发杀佛,bai'fa'sha'fo
白妃樱,bai'fei'ying
百里抱信,bai'li'bao'xin
百里飞首,bai'li'fei'shou
百里神骏,bai'li'shen'jun
白马雕龙,bai'ma'diao'long
白马纵横,bai'ma'zong'heng
白秋水,bai'qiu'shui
白文采,bai'wen'cai
白文泰,bai'wen'tai
白无垢,bai'wu'gou
白啸衣,bai'xiao'yi
白雪飘,bai'xue'piao
白杨女,bai'yang'nv
白衣剑少,bai'yi'jian'shao
白月,bai'yue
白云娇娘,bai'yun'jiao'niang
白云骄霜,bai'yun'jiao'shuang
白云隐世生,bai'yun'yin'shi'sheng
百丈逃禅,bai'zhang'tao'chan
半边分,ban'bian'fen
半部禅,ban'bu'chan
半分之间,ban'fen'zhi'jian
半花容,ban'hua'rong
半君邪,ban'jun'xie
半生浮,ban'sheng'fu
半驼废,ban'tuo'fei
半邪郎,ban'xie'lang
暴风君,bao'feng'jun
豹马,bao'ma
北辰,bei'chen
北辰伯英,bei'chen'bo'ying
北辰凤先,bei'chen'feng'xian
北辰泓,bei'chen'hong
北辰望,bei'chen'wang
北辰胤,bei'chen'yin
北辰元凰,bei'chen'yuan'huang
北辰仲远,bei'chen'zhong'yuan
北川飞鸰,bei'chuan'fei'ling
北川炼,bei'chuan'lian
背九命,bei'jiu'ming
悲曲绝世尘,bei'qu'jue'shi'chen
北无君,bei'wu'jun
悲无声,bei'wu'sheng
北玄泣,bei'xuan'qi
贝叶,bei'ye
杯中仙,bei'zhong'xian
狴犴,bi'an
裨善,bi'shan
赑屃,bi'xi
碧霞君,bi'xia'jun
辩机僧,bian'ji'seng
变裔天邪,bian'yi'tian'xie
表象意魔,biao'xiang'yi'mo
别见狂华,bie'jian'kuang'hua
冰川孤辰,bing'chuan'gu'chen
冰川芸姬,bing'chuan'yun'ji
冰锋箭无形,bing'feng'jian'wu'xing
病骨爪,bing'gu'zhao
病剑叟,bing'jian'sou
病兰花,bing'lan'hua
病梅先生,bing'mei'xian'sheng
冰清,bing'qing
伯藏主,bo'cang'zhu
泊寒波,bo'han'bo
薄红颜,bo'hong'yan
博文子,bo'wen'zi
跛箫,bo'xiao
波旬,bo'xun
不二刀,bu'er'dao
不二做,bu'er'zuo
步怀真,bu'huai'zhen
补剑缺,bu'jian'que
不戒僧,bu'jie'seng
不老城太辅,bu'lao'cheng'tai'fu
不老城太师,bu'lao'cheng'tai'shi
步南极,bu'nan'ji
不破玄鬼,bu'po'xuan'gui
步诗海,bu'shi'hai
步双极,bu'shuang'ji
不死魔僧,bu'si'mo'seng
不望尘寰,bu'wang'chen'huan
残林之主,can'lin'zhi'zhu
惨绿色,can'lv'se
残忍猿,can'ren'yuan
苍白奇子,cang'bai'qi'zi
沧海老鸟,cang'hai'lao'niao
藏剑生,cang'jian'sheng
苍茫荒狮,cang'mang'huang'shi
苍天涯,cang'tian'ya
苍雪生,cang'xue'sheng
苍冢,cang'zhong
曹百哀,cao'bai'ai
操刀者,cao'dao'zhe
艹芔茻,cao'hu'mang
草一色,cao'yi'se
策马天下,ce'ma'tian'xia
策谋略,ce'mou'lue
策衍先座,ce'yan'xian'zuo
层云,ceng'yun
茶理王,cha'li'wang
禅洪笔,chan'hong'bi
常不归,chang'bu'gui
长河南星,chang'he'nan'xing
长眉圣佛,chang'mei'sheng'fo
常默衣,chang'mo'yi
长平无终,chang'ping'wu'zhong
长桑鬼陀,chang'sang'gui'tuo
常异人,chang'yi'ren
超级先行人,chao'ji'xian'xing'ren
巢日雪音,chao'ri'xue'yin
车车老,che'che'lao
澈悟人生,che'wu'ren'sheng
尘道少,chen'dao'shao
螭蟾王,chi'chan'wang
赤封扬,chi'feng'yang
赤鬼,chi'gui
赤鬣,chi'lie
赤鹿刀,chi'lu'dao
魑魔,chi'mo
赤山西君,chi'shan'xi'jun
赤雨火猿,chi'yu'huo'yuan
赤云染,chi'yun'ran
冲灵剑,chong'ling'jian
虫人鬼僧,chong'ren'gui'seng
冲田鹰司,chong'tian'ying'si
仇魂怨女,chou'hun'yuan'nv
愁剑孤鹰,chou'jian'gu'ying
仇剑老,chou'jian'lao
愁落暗尘,chou'luo'an'chen
仇无恩,chou'wu'en
愁月仙子,chou'yue'xian'zi
楚华容,chu'hua'rong
楚君仪,chu'jun'yi
触念来,chu'nian'lai
川凉剑夫,chuan'liang'jian'fu
穿玉霄,chuan'yu'xiao
穿云豹,chuan'yun'bao
创世者,chuang'shi'zhe
春无极,chun'wu'ji
慈海渡者,ci'hai'du'zhe
刺爷爷,ci'ye'ye
翠柳风,cui'liu'feng
翠山行,cui'shan'xing
磋峨,cuo'e
大悲忏慧,da'bei'chan'hui
大慈化裟,da'ci'hua'sha
大定藏海,da'ding'cang'hai
大鸿胪,da'hong'lu
大忍戒怒,da'ren'jie'nu
大愚先生,da'yu'xian'sheng
大圆觉,da'yuan'jue
大智照宇,da'zhi'zhao'yu
岱钩,dai'gou
旦丁,dan'ding
单人悔,dan'ren'hui
当世道君,dang'shi'dao'jun
刀薄命,dao'bo'ming
刀独行,dao'du'xing
刀鬼,dao'gui
悼梦欢休,dao'meng'huan'xiu
道释尊者,dao'shi'zun'zhe
刀瘟,dao'wen
道无法,dao'wu'fa
刀影不留踪,dao'ying'bu'liu'zong
德充符,de'chong'fu
邓九五,deng'jiu'wu
地理司,di'li'si
地灵鬼母,di'ling'gui'mu
地煞,di'sha
