阿德里亚诺,a'de'li'ya'nuo
阿帕奇,a'pa'qi
埃托奥,ai'tuo'ao
安德雷,an'de'lei
安德雷奥利,an'de'lei'ao'li
安切诺蒂,an'qie'nuo'di
安贞焕,an'zhen'huan
奥布莱恩,ao'bu'lai'en
奥多,ao'duo
巴蒂斯图塔,ba'di'si'tu'ta
巴拉克,ba'la'ke
巴乔,ba'qiao
巴特兹,ba'te'zi
保莱塔,bao'lai'ta
贝鲁斯科尼,bei'lu'si'ke'ni
布冯,bu'feng
达科特,da'ke'te
戴苏克,dai'su'ke
戴亚耶亚,dai'ya'ye'ya
迪普,di'pu
迪伊夫,di'yi'fu
多诺万,duo'nuo'wan
菲戈,fei'ge
戈麦兹,ge'mai'zi
哈桑,ha'sang
哈桑萨斯,ha'sang'sa'si
郝海东,hao'hai'dong
亨利,heng'li
黄善洪,huang'shan'hong
加利,jia'li
加利梅,jia'li'mei
加利梅扬,jia'li'mei'yang
加利亚尼,jia'li'ya'ni
加图索,jia'tu'suo
江津,jiang'jin
金泰映,jin'tai'ying
居内什,ju'nei'shi
卡恩,ka'en
卡福,ka'fu
卡卡,ka'ka
卡拉泽,ka'la'ze
卡里尼,ka'li'ni
卡洛斯,ka'luo'si
卡马拉,ka'ma'la
卡尼萨雷斯,ka'ni'sa'lei'si
卡西利亚斯,ka'xi'li'ya'si
克劳斯,ke'lao'si
克里纳,ke'li'na
克鲁兹,ke'lu'zi
克洛泽,ke'luo'ze
库瓦斯,ku'wa'si
拉莫斯,la'mo'si
劳尔,lao'er
雷科巴,lei'ke'ba
李云在,li'yun'zai
鲁斯图,lu'si'tu
罗比,luo'bi
罗比基恩,luo'bi'ji'en
罗比鲁兹,luo'bi'lu'zi
马科斯,ma'ke'si
马特拉齐,ma'te'la'qi
麦,mai
麦孔,mai'kong
梅耶尔,mei'ye'er
莫伦特兹,mo'lun'te'zi
姆博玛,mu'bo'ma
内斯塔,nei'si'ta
尼尔森,ni'er'sen
欧文,ou'wen
皮尔洛,pi'er'luo
皮耶罗,pi'ye'luo
朴智星,piao'zhi'xing
齐达内,qi'da'nei
球星,qiu'xing
萨内蒂,sa'nei'di
萨内赫,sa'nei'he
塞尔吉尼奥,sai'er'ji'ni'ao
塞萨尔,sai'sa'er
斯利瓦,si'li'wa
斯坦科维奇,si'tan'ke'wei'qi
宋钟国,song'zhong'guo
苏克,su'ke
孙继海,sun'ji'hai
索拉里,suo'la'li
托尔多,tuo'er'duo
托马森,tuo'ma'sen
托玛森,tuo'ma'sen
维埃拉,wei'ai'la
维埃里,wei'ai'li
沃勒尔,wo'le'er
希丁克,xi'ding'ke
西多夫,xi'duo'fu
杨晨,yang'chen
伊尔汉,yi'er'han
伊尔汗,yi'er'han
因扎吉,yin'zha'ji
肇俊哲,zhao'jun'zhe
