暗点,an'dian
安全卡瓦,an'quan'ka'wa
安全泄压阀,an'quan'xie'ya'fa
岸台网络,an'tai'wang'luo
胺型表面活性剂,an'xing'biao'mian'huo'xing'ji
氨氧化催化剂,an'yang'hua'cui'hua'ji
奥利烷,ao'li'wan
凹陷,ao'xian
百米桩,bai'mi'zhuang
白土精制,bai'tu'jing'zhi
白云岩,bai'yun'yan
半合成沸石裂化催化剂,ban'he'cheng'fei'shi'lie'hua'cui'hua'ji
板块构造学,ban'kuai'gou'zao'xue
半潜式多用工作船,ban'qian'shi'duo'yong'gong'zuo'chuan
伴热输送,ban're'shu'song
半乳甘露聚糖,ban'ru'gan'lu'ju'tang
半深海相,ban'shen'hai'xiang
板式换热器,ban'shi'huan're'qi
薄层调谐,bao'ceng'tiao'xie
报废井,bao'fei'jing
饱和度指数,bao'he'du'zhi'shu
饱和凝析油,bao'he'ning'xi'you
饱和潜水系统,bao'he'qian'shui'xi'tong
饱和压力,bao'he'ya'li
保径钻头,bao'jing'zuan'tou
爆炸机,bao'zha'ji
爆炸灭火法,bao'zha'mie'huo'fa
爆炸松扣,bao'zha'song'kou
背斜理论,bei'xie'li'lun
苯胺点,ben'an'dian
苯加氢,ben'jia'qing
苯与乙烯烷基化,ben'yu'yi'xi'wan'ji'hua
泵冲速,beng'chong'su
泵后加砂装置,beng'hou'jia'sha'zhuang'zhi
泵理论排量,beng'li'lun'pai'liang
泵送性,beng'song'xing
闭合方位,bi'he'fang'wei
闭合面,bi'he'mian
壁厚千分卡,bi'hou'qian'fen'ka
变动水位式,bian'dong'shui'wei'shi
变换,bian'huan
扁平电缆,bian'ping'dian'lan
边水,bian'shui
变向器,bian'xiang'qi
边缘海,bian'yuan'hai
表层多次波,biao'ceng'duo'ci'bo
表层速度异常,biao'ceng'su'du'yi'chang
标定罐,biao'ding'guan
表观粘度,biao'guan'nian'du
表面活性剂体系,biao'mian'huo'xing'ji'ti'xi
表面活性剂型防蜡剂,biao'mian'huo'xing'ji'xing'fang'la'ji
宾厄姆流体,bin'e'mu'liu'ti
丙二醇,bing'er'chun
并联管网,bing'lian'guan'wang
丙烷脱沥青,bing'wan'tuo'li'qing
丙烯氨解氧化流化床反应器,bing'xi'an'jie'yang'hua'liu'hua'chuang'fan'ying'qi
丙烯醇,bing'xi'chun
丙烯腈苯乙烯树脂,bing'xi'jing'ben'yi'xi'shu'zhi
丙烯歧化,bing'xi'qi'hua
丙烯气相法聚合,bing'xi'qi'xiang'fa'ju'he
丙烯水合,bing'xi'shui'he
丙烯酸酯化,bing'xi'suan'zhi'hua
丙烯酰胺,bing'xi'xian'an
薄互层,bo'hu'ceng
波浪流,bo'lang'liu
波前法,bo'qian'fa
博斯蒂克反演,bo'si'di'ke'fan'yan
波纹塔板,bo'wen'ta'ban
波形曲线显示,bo'xing'qu'xian'xian'shi
博研石油论坛,bo'yan'shi'you'lun'tan
步长,bu'chang
补偿地层密度测井,bu'chang'di'ceng'mi'du'ce'jing
布格校正,bu'ge'jiao'zheng
布格异常,bu'ge'yi'chang
不极化电极,bu'ji'hua'dian'ji
捕液器,bu'ye'qi
不整合,bu'zheng'he
采出程度,cai'chu'cheng'du
彩色显示,cai'se'xian'shi
采样保持单元,cai'yang'bao'chi'dan'yuan
采样率,cai'yang'lv
采油强度,cai'you'qiang'du
采油曲线,cai'you'qu'xian
采油树导向喇叭口,cai'you'shu'dao'xiang'la'ba'kou
采油速率,cai'you'su'lv
参比电极,can'bi'dian'ji
参数集总,can'shu'ji'zong
参数井,can'shu'jing
舱底水泵,cang'di'shui'beng
舱底污水井,cang'di'wu'shui'jing
操作控制系统,cao'zuo'kong'zhi'xi'tong
侧反射,ce'fan'she
测罐内油高,ce'guan'nei'you'gao
测井技术,ce'jing'ji'shu
测井数据处理,ce'jing'shu'ju'chu'li
测井速度,ce'jing'su'du
测井响应方程,ce'jing'xiang'ying'fang'cheng
测量深度,ce'liang'shen'du
测深管,ce'shen'guan
测试阀,ce'shi'fa
测线偏离效应,ce'xian'pian'li'xiao'ying
侧向泄油井,ce'xiang'xie'you'jing
侧向运移,ce'xiang'yun'yi
测压面,ce'ya'mian
侧压系数,ce'ya'xi'shu
层间窜流,ceng'jian'cuan'liu
层间多次波,ceng'jian'duo'ci'bo
层内干扰,ceng'nei'gan'rao
层内运移,ceng'nei'yun'yi
层替换,ceng'ti'huan
层析地震成象,ceng'xi'di'zhen'cheng'xiang
层状介质,ceng'zhuang'jie'zhi
