安定门,an'ding'men
安河桥北,an'he'qiao'bei
安贞门,an'zhen'men
奥林匹克公园,ao'lin'pi'ke'gong'yuan
奥体中心,ao'ti'zhong'xin
奥运支线,ao'yun'zhi'xian
八宝山,ba'bao'shan
巴沟,ba'gou
八角游乐园,ba'jiao'you'le'yuan
八里桥,ba'li'qiao
八通线,ba'tong'xian
北宫门,bei'gong'men
北京大学东门,bei'jing'da'xue'dong'men
北京南站,bei'jing'nan'zhan
北京站,bei'jing'zhan
北土城,bei'tu'cheng
北新桥,bei'xin'qiao
北苑,bei'yuan
北苑路北,bei'yuan'lu'bei
菜市口,cai'shi'kou
长椿街,chang'chun'jie
朝阳门,chao'yang'men
车公庄,che'gong'zhuang
崇文门,chong'wen'men
传媒大学,chuan'mei'da'xue
磁器口,ci'qi'kou
大屯路东,da'tun'lu'dong
大望路,da'wang'lu
大钟寺,da'zhong'si
灯市口,deng'shi'kou
东单,dong'dan
东四,dong'si
东四十条,dong'si'shi'tiao
动物园,dong'wu'yuan
东直门,dong'zhi'men
二号航站楼,er'hao'hang'zhan'lou
二号线,er'hao'xian
阜成门,fu'cheng'men
复兴门,fu'xing'men
高碑店,gao'bei'dian
公益西桥,gong'yi'xi'qiao
公主坟,gong'zhu'fen
古城路,gu'cheng'lu
鼓楼大街,gu'lou'da'jie
管庄,guan'zhuang
光熙门,guang'xi'men
国家图书馆,guo'jia'tu'shu'guan
国贸,guo'mao
果园,guo'yuan
海淀黄庄,hai'dian'huang'zhuang
和平里北街,he'ping'li'bei'jie
和平门,he'ping'men
和平西桥,he'ping'xi'qiao
呼家楼,hu'jia'lou
回龙观,hui'long'guan
惠新西街北口,hui'xin'xi'jie'bei'kou
惠新西街南口,hui'xin'xi'jie'nan'kou
霍营,huo'ying
机场快线,ji'chang'kuai'xian
积水潭,ji'shui'tan
健德门,jian'de'men
建国门,jian'guo'men
角门西,jiao'men'xi
劲松,jin'song
金台夕照,jin'tai'xi'zhao
京港地铁,jing'gang'di'tie
九棵树,jiu'ke'shu
军事博物馆,jun'shi'bo'wu'guan
立水桥,li'shui'qiao
立水桥南,li'shui'qiao'nan
梨园,li'yuan
亮马桥,liang'ma'qiao
临河里,lin'he'li
灵境胡同,ling'jing'hu'tong
柳芳,liu'fang
刘家窑,liu'jia'yao
龙泽,long'ze
马家堡,ma'jia'pu
牡丹园,mu'dan'yuan
木樨地,mu'xi'di
南礼士路,nan'li'shi'lu
农业展览馆,nong'ye'zhan'lan'guan
平安里,ping'an'li
苹果园,ping'guo'yuan
蒲黄榆,pu'huang'yu
前门,qian'men
人民大学,ren'min'da'xue
三号航站楼,san'hao'hang'zhan'lou
三元桥,san'yuan'qiao
森林公园南门,sen'lin'gong'yuan'nan'men
上地,shang'di
芍药居,shao'yao'ju
十号线,shi'hao'xian
十三号线,shi'san'hao'xian
双井,shuang'jing
双桥,shuang'qiao
四号线,si'hao'xian
四惠,si'hui
四惠东,si'hui'dong
宋家庄,song'jia'zhuang
苏州街,su'zhou'jie
太阳宫,tai'yang'gong
陶然亭,tao'ran'ting
天安门东,tian'an'men'dong
天安门西,tian'an'men'xi
天坛东门,tian'tan'dong'men
天通苑,tian'tong'yuan
天通苑北,tian'tong'yuan'bei
天通苑南,tian'tong'yuan'nan
通州北苑,tong'zhou'bei'yuan
土桥,tu'qiao
团结湖,tuan'jie'hu
万寿路,wan'shou'lu
王府井,wang'fu'jing
望京西,wang'jing'xi
魏公村,wei'gong'cun
五道口,wu'dao'kou
五号线,wu'hao'xian
西单,xi'dan
西二旗,xi'er'qi
西四,xi'si
西土城,xi'tu'cheng
西苑,xi'yuan
西直门,xi'zhi'men
新街口,xin'jie'kou
宣武门,xuan'wu'men
一号线,yi'hao'xian
永安里,yong'an'li
雍和宫,yong'he'gong
玉泉路,yu'quan'lu
圆明园,yuan'ming'yuan
张自忠路,zhang'zi'zhong'lu
知春里,zhi'chun'li
知春路,zhi'chun'lu
中关村,zhong'guan'cun
