把纤绳深深,ba'qian'sheng'shen'shen
刚从神话的蛛网里挣脱,gang'cong'shen'hua'de'zhu'wang'li'zheng'tuo
勒进你的肩膊,le'jin'ni'de'jian'bo
迷惘的我深思的我沸腾的我,mi'wang'de'wo'shen'si'de'wo'fei'teng'de'wo
那就从我的血肉之躯上,na'jiu'cong'wo'de'xue'rou'zhi'qu'shang
你的富饶你的荣光你的自由,ni'de'fu'rao'ni'de'rong'guang'ni'de'zi'you
你以伤痕累累的乳房,ni'yi'shang'hen'lei'lei'de'ru'fang
千百年来未落到地面的花朵,qian'bai'nian'lai'wei'luo'dao'di'mian'de'hua'duo
去取得,qu'qu'de
是绯红的黎明,shi'fei'hong'de'li'ming
是飞天袖间,shi'fei'tian'xiu'jian
是你九百六十万平方的总和,shi'ni'jiu'bai'liu'shi'wan'ping'fang'de'zong'he
是淤滩上的驳船,shi'yu'tan'shang'de'bo'chuan
数百年来纺着疲惫的歌,shu'bai'nian'lai'fang'zhe'pi'bei'de'ge
痛苦的希望啊,tong'ku'de'xi'wang'a
喂养了,wei'yang'le
我亲爱的祖国,wo'qin'ai'de'zu'guo
我是悲哀,wo'shi'bei'ai
我是干瘪的稻穗是失修的路基,wo'shi'gan'bie'de'dao'sui'shi'shi'xiu'de'lu'ji
我是你簇新的理想,wo'shi'ni'cu'xin'de'li'xiang
我是你额上熏黑的矿灯,wo'shi'ni'e'shang'xun'hei'de'kuang'deng
我是你挂着眼泪的笑窝,wo'shi'ni'gua'zhe'yan'lei'de'xiao'wo
我是你河边上破旧的老水车,wo'shi'ni'he'bian'shang'po'jiu'de'lao'shui'che
我是你十亿分之一,wo'shi'ni'shi'yi'fen'zhi'yi
我是你雪被下古莲的胚芽,wo'shi'ni'xue'bei'xia'gu'lian'de'pei'ya
我是你祖祖辈辈,wo'shi'ni'zu'zu'bei'bei
我是贫困,wo'shi'pin'kun
我是新刷出的雪白的起跑线,wo'shi'xin'shua'chu'de'xue'bai'de'qi'pao'xian
在喷薄,zai'pen'bo
照你在历史的隧洞里蜗行摸索,zhao'ni'zai'li'shi'de'sui'dong'li'wo'xing'mo'suo
祖国啊,zu'guo'a
