半成品,ban'cheng'pin
本地常住居民消费品购买力,ben'di'chang'zhu'ju'min'xiao'fei'pin'gou'mai'li
本地区发生的居民消费品购买力,ben'di'qu'fa'sheng'de'ju'min'xiao'fei'pin'gou'mai'li
本年农民新建房屋面积,ben'nian'nong'min'xin'jian'fang'wu'mian'ji
本期结余购买力,ben'qi'jie'yu'gou'mai'li
本期全部购买力,ben'qi'quan'bu'gou'mai'li
本期未实现的购买力,ben'qi'wei'shi'xian'de'gou'mai'li
本期形成的购买力,ben'qi'xing'cheng'de'gou'mai'li
本期已实现的购买力,ben'qi'yi'shi'xian'de'gou'mai'li
变量数列,bian'liang'shu'lie
标志,biao'zhi
标志变异度,biao'zhi'bian'yi'du
标准亩,biao'zhun'mu
泊位个数,bo'wei'ge'shu
播种面积,bo'zhong'mian'ji
补植面积,bu'zhi'mian'ji
财政统计,cai'zheng'tong'ji
参数估计,can'shu'gu'ji
藏书对居民保证程度,cang'shu'dui'ju'min'bao'zheng'cheng'du
草场面积,cao'chang'mian'ji
草原载畜量,cao'yuan'zai'chu'liang
产品销售利润率,chan'pin'xiao'shou'li'run'lv
产品销售利税率,chan'pin'xiao'shou'li'shui'lv
产品销售率,chan'pin'xiao'shou'lv
产值利润率,chan'zhi'li'run'lv
产值利税率,chan'zhi'li'shui'lv
产值资金率,chan'zhi'zi'jin'lv
长期趋势,chang'qi'qu'shi
常住人口,chang'zhu'ren'kou
车辆完好率,che'liang'wan'hao'lv
车皮利用系数,che'pi'li'yong'xi'shu
成本纯收益率,cheng'ben'chun'shou'yi'lv
成本利润率,cheng'ben'li'run'lv
成本利税率,cheng'ben'li'shui'lv
成品,cheng'pin
成人识字率,cheng'ren'shi'zi'lv
抽样调查,chou'yang'diao'cha
抽样误差,chou'yang'wu'cha
抽样总体与全及总体,chou'yang'zong'ti'yu'quan'ji'zong'ti
畜禽头数,chu'qin'tou'shu
畜群再生产指标体系,chu'qun'zai'sheng'chan'zhi'biao'ti'xi
畜群周转表,chu'qun'zhou'zhuan'biao
出生率,chu'sheng'lv
船舶航行率,chuan'bo'hang'xing'lv
船舶每吨位生产量,chuan'bo'mei'dun'wei'sheng'chan'liang
船舶平均每次在港停泊天数,chuan'bo'ping'jun'mei'ci'zai'gang'ting'bo'tian'shu
船舶营运率,chuan'bo'ying'yun'lv
船舶载重量利用率,chuan'bo'zai'zhong'liang'li'yong'lv
纯随机抽样,chun'sui'ji'chou'yang
次生林改造面积和迹地更新面积,ci'sheng'lin'gai'zao'mian'ji'he'ji'di'geng'xin'mian'ji
达到设计能力年限,da'dao'she'ji'neng'li'nian'xian
大量观察法,da'liang'guan'cha'fa
大陆海岸线长度,da'lu'hai'an'xian'chang'du
大数定律,da'shu'ding'lv
代表规格品,dai'biao'gui'ge'pin
淡水养殖面积,dan'shui'yang'zhi'mian'ji
单位产品成本,dan'wei'chan'pin'cheng'ben
单位产品单项能耗,dan'wei'chan'pin'dan'xiang'neng'hao
单位产品物资实际消耗量,dan'wei'chan'pin'wu'zi'shi'ji'xiao'hao'liang
单位产品综合能耗,dan'wei'chan'pin'zong'he'neng'hao
单位产值占用流动资金,dan'wei'chan'zhi'zhan'yong'liu'dong'zi'jin
单位工程优良品率,dan'wei'gong'cheng'you'liang'pin'lv
单位面积产量,dan'wei'mian'ji'chan'liang
单位商品零售额所需的货币流通量,dan'wei'shang'pin'ling'shou'e'suo'xu'de'huo'bi'liu'tong'liang
单位生产能力投资,dan'wei'sheng'chan'neng'li'tou'zi
单项商品价格指数,dan'xiang'shang'pin'jia'ge'zhi'shu
地产品进货率和收购率,di'chan'pin'jin'huo'lv'he'shou'gou'lv
地下水总储量,di'xia'shui'zong'chu'liang
点估计和区间估计,dian'gu'ji'he'qu'jian'gu'ji
电话普及率,dian'hua'pu'ji'lv
电力生产弹性系数,dian'li'sheng'chan'tan'xing'xi'shu
电力消费弹性系数,dian'li'xiao'fei'tan'xing'xi'shu
电路及电路长度,dian'lu'ji'dian'lu'chang'du
典型调查,dian'xing'diao'cha
定基指数和环比指数,ding'ji'zhi'shu'he'huan'bi'zhi'shu
定率折旧法,ding'lv'zhe'jiu'fa
动力机械总能力,dong'li'ji'xie'zong'neng'li
动态数列,dong'tai'shu'lie
对外贸易统计,dui'wai'mao'yi'tong'ji
多元线性回归,duo'yuan'xian'xing'hui'gui
发病率,fa'bing'lv
发电设备平均利用小时,fa'dian'she'bei'ping'jun'li'yong'xiao'shi
发展速度,fa'zhan'su'du
返工损失金额和返工损失率,fan'gong'sun'shi'jin'e'he'fan'gong'sun'shi'lv
方差分析,fang'cha'fen'xi
房屋竣工面积,fang'wu'jun'gong'mian'ji
房屋施工面积,fang'wu'shi'gong'mian'ji
非参数方法,fei'can'shu'fang'fa
飞机利用效率指标,fei'ji'li'yong'xiao'lv'zhi'biao
废旧物资回收,fei'jiu'wu'zi'hui'shou
废旧物资回收率和利用率,fei'jiu'wu'zi'hui'shou'lv'he'li'yong'lv
非线性回归,fei'xian'xing'hui'gui
分年龄生育率,fen'nian'ling'sheng'yu'lv
分配数列,fen'pei'shu'lie
服务性支出价格指数,fu'wu'xing'zhi'chu'jia'ge'zhi'shu
复种面积和复种指数,fu'zhong'mian'ji'he'fu'zhong'zhi'shu
概率,gai'lv
港口吞吐量,gang'kou'tun'tu'liang
港口吞吐能力,gang'kou'tun'tu'neng'li
各级学校数和在校学生数,ge'ji'xue'xiao'shu'he'zai'xiao'xue'sheng'shu
耕地面积,geng'di'mian'ji
耕地面积变动平衡表,geng'di'mian'ji'bian'dong'ping'heng'biao
更新改造投资完成额,geng'xin'gai'zao'tou'zi'wan'cheng'e
工程形象进度,gong'cheng'xing'xiang'jin'du
工程质量事故次数,gong'cheng'zhi'liang'shi'gu'ci'shu
公路挂车实有数,gong'lu'gua'che'shi'you'shu
公路里程,gong'lu'li'cheng
公路汽车实有数,gong'lu'qi'che'shi'you'shu
工农业产品交换比例和城乡商品交流比例,gong'nong'ye'chan'pin'jiao'huan'bi'li'he'cheng'xiang'shang'pin'jiao'liu'bi'li
工农业产品综合比价指数,gong'nong'ye'chan'pin'zong'he'bi'jia'zhi'shu
工伤事故频率,gong'shang'shi'gu'pin'lv
工业按大中小型分组,gong'ye'an'da'zhong'xiao'xing'fen'zu
工业按经济类型分组,gong'ye'an'jing'ji'lei'xing'fen'zu
工业产品,gong'ye'chan'pin
工业产品标准实物量,gong'ye'chan'pin'biao'zhun'shi'wu'liang
工业产品成本指数,gong'ye'chan'pin'cheng'ben'zhi'shu
工业产品定额工时产量,gong'ye'chan'pin'ding'e'gong'shi'chan'liang
工业产品混合实物量,gong'ye'chan'pin'hun'he'shi'wu'liang
工业产品目录,gong'ye'chan'pin'mu'lu
工业产品品种计划完成率,gong'ye'chan'pin'pin'zhong'ji'hua'wan'cheng'lv
