斑点狗,ban'dian'gou
边境牧羊犬,bian'jing'mu'yang'quan
大白熊犬,da'bai'xiong'quan
大麦町犬,da'mai'ding'quan
德国牧羊犬,de'guo'mu'yang'quan
贵宾犬,gui'bin'quan
蝴蝶犬,hu'die'quan
吉娃娃,ji'wa'wa
凯利蓝梗,kai'li'lan'geng
可蒙犬,ke'meng'quan
腊肠犬,la'chang'quan
马尔济斯犬,ma'er'ji'si'quan
美国可卡犬,mei'guo'ke'ka'quan
日本银狐,ri'ben'yin'hu
萨摩耶犬,sa'mo'ye'quan
沙皮犬,sha'pi'quan
圣伯纳犬,sheng'bo'na'quan
松狮犬,song'shi'quan
苏格兰梗,su'ge'lan'geng
苏格兰牧羊犬,su'ge'lan'mu'yang'quan
西伯利亚哈士奇,xi'bo'li'ya'ha'shi'qi
雪纳瑞,xue'na'rui
英国古代牧羊犬,ying'guo'gu'dai'mu'yang'quan
约克夏,yue'ke'xia
藏獒,zang'ao
