奥陶纪,ao'tao'ji
奥陶系,ao'tao'xi
霸县凹陷,ba'xian'ao'xian
白垩纪,bai'e'ji
白垩系,bai'e'xi
饱含油,bao'han'you
保留时间,bao'liu'shi'jian
泵冲,beng'chong
泵冲数,beng'chong'shu
泵容积,beng'rong'ji
变档,bian'dang
变色硅胶,bian'se'gui'jiao
丙烷,bing'wan
渤海湾盆地,bo'hai'wan'pen'di
查密封性,cha'mi'feng'xing
差油层,cha'you'ceng
常规录井,chang'gui'lu'jing
超声波,chao'sheng'bo
超声波体积传感器,chao'sheng'bo'ti'ji'chuan'gan'qi
沉淀瓶,chen'dian'ping
迟到时间,chi'dao'shi'jian
冲程,chong'cheng
出口电导,chu'kou'dian'dao
出口流量,chu'kou'liu'liang
出口密度,chu'kou'mi'du
出口区,chu'kou'qu
出口温度,chu'kou'wen'du
窗口时间,chuang'kou'shi'jian
大钩,da'gou
大钩负荷,da'gou'fu'he
大鼠洞,da'shu'dong
单根峰,dan'gen'feng
倒泵,dao'beng
第四纪,di'si'ji
第四系,di'si'xi
地质录井,di'zhi'lu'jing
电动脱气器,dian'dong'tuo'qi'qi
电脱,dian'tuo
东二段,dong'er'duan
东三段,dong'san'duan
东一段,dong'yi'duan
东营组,dong'ying'zu
对零,dui'ling
二叠纪,er'die'ji
二叠系,er'die'xi
反吹,fan'chui
反吹周期,fan'chui'zhou'qi
凡尔,fan'er
非渗透层,fei'shen'tou'ceng
非烃组分,fei'ting'zu'fen
分离度,fen'li'du
粉砂岩,fen'sha'yan
富含油,fu'han'you
干层,gan'ceng
干燥管,gan'zao'guan
干燥剂,gan'zao'ji
缸套,gang'tao
缸套直径,gang'tao'zhi'jing
高架槽,gao'jia'cao
更新统,geng'xin'tong
古潜山,gu'qian'shan
古生代,gu'sheng'dai
古生界,gu'sheng'jie
古新统,gu'xin'tong
刮刀钻头,gua'dao'zuan'tou
管路延迟,guan'lu'yan'chi
馆陶组,guan'tao'zu
硅胶,gui'jiao
滚筒,gun'tong
含砾砂岩,han'li'sha'yan
含气水层,han'qi'shui'ceng
含水油层,han'shui'you'ceng
寒武纪,han'wu'ji
寒武系,han'wu'xi
含油水层,han'you'shui'ceng
环空容积,huan'kong'rong'ji
蓟县系,ji'xian'xi
蓟县系雾迷山组,ji'xian'xi'wu'mi'shan'zu
冀中坳陷,ji'zhong'ao'xian
甲烷,jia'wan
加重钻铤,jia'zhong'zuan'ting
渐新统,jian'xin'tong
绞车,jiao'che
接单跟,jie'dan'gen
解卡,jie'ka
接线箱,jie'xian'xiang
井口注样,jing'kou'zhu'yang
井台区,jing'tai'qu
卡瓦,ka'wa
开泵,kai'beng
孔店组,kong'dian'zu
空气压缩机,kong'qi'ya'suo'ji
空压机,kong'ya'ji
廊固凹陷,lang'gu'ao'xian
立管压力,li'guan'ya'li
立压,li'ya
砾岩,li'yan
录井,lu'jing
螺纹钻铤,luo'wen'zuan'ting
明化镇组,ming'hua'zhen'zu
明上段,ming'shang'duan
明下段,ming'xia'duan
内环空,nei'huan'kong
内容积,nei'rong'ji
泥浆泵,ni'jiang'beng
泥浆罐,ni'jiang'guan
泥盆纪,ni'pen'ji
泥盆系,ni'pen'xi
泥岩,ni'yan
泥质砂岩,ni'zhi'sha'yan
排量,pai'liang
配合接头,pei'he'jie'tou
平原组,ping'yuan'zu
坡道,po'dao
气测异常,qi'ce'yi'chang
气层,qi'ceng
气管线,qi'guan'xian
气路,qi'lu
气路流程,qi'lu'liu'cheng
气侵层,qi'qin'ceng
气水同层,qi'shui'tong'ceng
起下钻,qi'xia'zuan
潜山,qian'shan
潜山构造带,qian'shan'gou'zao'dai
氢气,qing'qi
氢气发生器,qing'qi'fa'sheng'qi
球胆注样,qiu'dan'zhu'yang
取样,qu'yang
全烃,quan'ting
全烃分析,quan'ting'fen'xi
全脱,quan'tuo
饶阳凹陷,rao'yang'ao'xian
热真空蒸馏脱气器,re'zhen'kong'zheng'liu'tuo'qi'qi
入口电导,ru'kou'dian'dao
入口密度,ru'kou'mi'du
入口区,ru'kou'qu
入口温度,ru'kou'wen'du
三叠纪,san'die'ji
三叠系,san'die'xi
色谱原图,se'pu'yuan'tu
色谱柱,se'pu'zhu
沙二段,sha'er'duan
沙河街组,sha'he'jie'zu
沙三段,sha'san'duan
沙四段,sha'si'duan
砂岩,sha'yan
沙一段,sha'yi'duan
砂质泥岩,sha'zhi'ni'yan
上第三纪,shang'di'san'ji
上第三系,shang'di'san'xi
上古生代,shang'gu'sheng'dai
上水效率,shang'shui'xiao'lv
上新统,shang'xin'tong
渗透层,shen'tou'ceng
石炭纪,shi'tan'ji
石炭系,shi'tan'xi
始新统,shi'xin'tong
水层,shui'ceng
水龙带,shui'long'dai
水眼,shui'yan
水淹层,shui'yan'ceng
苏桥,su'qiao
苏桥油田,su'qiao'you'tian
套管压力,tao'guan'ya'li
套压,tao'ya
天车,tian'che
停泵,ting'beng
烃组分,ting'zu'fen
同层,tong'ceng
外环空,wai'huan'kong
外容积,wai'rong'ji
文安斜坡,wen'an'xie'po
无磁钻铤,wu'ci'zuan'ting
细砂岩,xi'sha'yan
下第三纪,xia'di'san'ji
下第三系,xia'di'san'xi
下古生代,xia'gu'sheng'dai
下行时间,xia'xing'shi'jian
小鼠洞,xiao'shu'dong
玄武岩,xuan'wu'yan
悬重,xuan'zhong
牙轮钻头,ya'lun'zuan'tou
岩屑,yan'xie
岩屑描述,yan'xie'miao'shu
异丁烷,yi'ding'wan
乙烷,yi'wan
异戊烷,yi'wu'wan
荧光,ying'guang
油斑,you'ban
油层,you'ceng
游车,you'che
油迹,you'ji
油浸,you'jin
油气同层,you'qi'tong'ceng
油水同层,you'shui'tong'ceng
圆底烧杯,yuan'di'shao'bei
圆底烧瓶,yuan'di'shao'ping
元古代,yuan'gu'dai
元古界,yuan'gu'jie
杂色砾岩,za'se'li'yan
震旦纪,zhen'dan'ji
震旦系,zhen'dan'xi
振动筛,zhen'dong'shai
针管注样,zhen'guan'zhu'yang
正丁烷,zheng'ding'wan
正戊烷,zheng'wu'wan
志留纪,zhi'liu'ji
志留系,zhi'liu'xi
致密层,zhi'mi'ceng
中砂岩,zhong'sha'yan
中生代,zhong'sheng'dai
中生界,zhong'sheng'jie
中新统,zhong'xin'tong
侏罗纪,zhu'luo'ji
侏罗系,zhu'luo'xi
注样,zhu'yang
综合录井,zong'he'lu'jing
综合录井仪,zong'he'lu'jing'yi
钻具结构,zuan'ju'jie'gou
钻盘转速,zuan'pan'zhuan'su
钻铤,zuan'ting
钻压,zuan'ya
坐卡,zuo'ka
