八中,ba'zhong
八中道口,ba'zhong'dao'kou
保健院,bao'jian'yuan
充电加水,chong'dian'jia'shui
大修厂,da'xiu'chang
道口,dao'kou
第三幼儿园,di'san'you'er'yuan
电厂二区,dian'chang'er'qu
电厂文化宫,dian'chang'wen'hua'gong
电厂游泳馆,dian'chang'you'yong'guan
电大,dian'da
东方红小学,dong'fang'hong'xiao'xue
东风桥,dong'feng'qiao
东岗街,dong'gang'jie
东山检查站,dong'shan'jian'cha'zhan
东西苑,dong'xi'yuan
多种经营公司,duo'zhong'jing'ying'gong'si
二采,er'cai
二货运,er'huo'yun
二水源,er'shui'yuan
儿童公园,er'tong'gong'yuan
二中,er'zhong
矸石山,gan'shi'shan
干校,gan'xiao
公路处,gong'lu'chu
公路段,gong'lu'duan
古兰小区,gu'lan'xiao'qu
光学,guang'xue
国税局,guo'shui'ju
河东大桥,he'dong'da'qiao
河东粮店,he'dong'liang'dian
河口,he'kou
河口小学,he'kou'xiao'xue
河口医院,he'kou'yi'yuan
合兴,he'xing
红旗桥,hong'qi'qiao
后道百货,hou'dao'bai'huo
后道大厦,hou'dao'da'sha
后道轴承,hou'dao'zhou'cheng
滑雪场,hua'xue'chang
浑江油库,hun'jiang'you'ku
浑江站前,hun'jiang'zhan'qian
火车站,huo'che'zhan
机电厂油库,ji'dian'chang'you'ku
建安公司,jian'an'gong'si
检察院,jian'cha'yuan
建设局,jian'she'ju
建设小学,jian'she'xiao'xue
解放中学,jie'fang'zhong'xue
金河小区,jin'he'xiao'qu
锦江路市场,jin'jiang'lu'shi'chang
酒厂,jiu'chang
酒厂道口,jiu'chang'dao'kou
九中,jiu'zhong
局高中,ju'gao'zhong
局一中,ju'yi'zhong
看守所,kan'shou'suo
客运站,ke'yun'zhan
客运总站,ke'yun'zong'zhan
矿街道办事处,kuang'jie'dao'ban'shi'chu
矿区变电所,kuang'qu'bian'dian'suo
矿务局医院,kuang'wu'ju'yi'yuan
冷库,leng'ku
粮库,liang'ku
铝厂,lv'chang
贸易城,mao'yi'cheng
南平广场,nan'ping'guang'chang
农行,nong'hang
批发市场,pi'fa'shi'chang
啤酒厂,pi'jiu'chang
前道百货,qian'dao'bai'huo
前道大厦,qian'dao'da'sha
前道轴承,qian'dao'zhou'cheng
青山湖,qing'shan'hu
燃气公司,ran'qi'gong'si
人才市场,ren'cai'shi'chang
三江,san'jiang
三江大厦,san'jiang'da'sha
山货市场,shan'huo'shi'chang
山货庄,shan'huo'zhuang
商贸中心,shang'mao'zhong'xin
市宾馆,shi'bin'guan
师范,shi'fan
师范附小,shi'fan'fu'xiao
市建公司,shi'jian'gong'si
市建三公司,shi'jian'san'gong'si
十六中,shi'liu'zhong
食品厂,shi'pin'chang
市医院,shi'yi'yuan
石英桥,shi'ying'qiao
市政府,shi'zheng'fu
水泥厂,shui'ni'chang
体育场,ti'yu'chang
天富公司,tian'fu'gong'si
天星酒店,tian'xing'jiu'dian
铁路小区,tie'lu'xiao'qu
铁路医院,tie'lu'yi'yuan
通沟,tong'gou
通沟分局,tong'gou'fen'ju
通江,tong'jiang
通煤大厦,tong'mei'da'sha
通明社区,tong'ming'she'qu
同心园,tong'xin'yuan
涂料,tu'liao
团结村,tuan'jie'cun
团结小学,tuan'jie'xiao'xue
卫国小学,wei'guo'xiao'xue
五交化,wu'jiao'hua
西站,xi'zhan
向阳,xiang'yang
星泰大桥,xing'tai'da'qiao
沿江小学,yan'jiang'xiao'xue
阳光花园,yang'guang'hua'yuan
冶炼厂,ye'lian'chang
一建公司,yi'jian'gong'si
造纸厂,zao'zhi'chang
镇江小学,zhen'jiang'xiao'xue
职高,zhi'gao
中行,zhong'hang
中医院,zhong'yi'yuan
轴承道口,zhou'cheng'dao'kou
住宅公司,zhu'zhai'gong'si
总库,zong'ku
