阿凡提的故事,a'fan'ti'de'gu'shi
阿古登巴的故事,a'gu'deng'ba'de'gu'shi
阿苏巴底,a'su'ba'di
爱情故事,ai'qing'gu'shi
爱情神话,ai'qing'shen'hua
爱情叙事诗,ai'qing'xu'shi'shi
安徽大鼓,an'hui'da'gu
巴布林贝赫与民间文学,ba'bu'lin'bei'he'yu'min'jian'wen'xue
八段景,ba'duan'jing
巴拉根仓的故事,ba'la'gen'cang'de'gu'shi
白头格,bai'tou'ge
百戏,bai'xi
白族调,bai'zu'tiao
搬运号子,ban'yun'hao'zi
包公的传说,bao'gong'de'chuan'shuo
宝卷,bao'juan
比目格,bi'mu'ge
比侬耐,bi'nong'nai
变文,bian'wen
并蒂格,bing'di'ge
卜牙,bo'ya
布朗调,bu'lang'tiao
布依弹唱,bu'yi'tan'chang
捕鱼号子,bu'yu'hao'zi
采茶曲,cai'cha'qu
采茶戏,cai'cha'xi
猜谜,cai'mi
才人,cai'ren
采石号子,cai'shi'hao'zi
猜调,cai'tiao
菜谢,cai'xie
参军戏,can'jun'xi
曹娥格,cao'e'ge
茶肆酒楼,cha'si'jiu'lou
插秧号子,cha'yang'hao'zi
缠达,chan'da
缠令,chan'ling
常德丝弦,chang'de'si'xian
长工和地主的故事,chang'gong'he'di'zhu'de'gu'shi
唱哈,chang'ha
长沙弹词,chang'sha'tan'ci
唱赚,chang'zhuan
嘲讽笑话,chao'feng'xiao'hua
潮州影戏,chao'zhou'ying'xi
车水号子,che'shui'hao'zi
成语谜,cheng'yu'mi
舂米号子,chong'mi'hao'zi
穿插敷衍,chuan'cha'fu'yan
穿号子,chuan'hao'zi
川江船夫号子,chuan'jiang'chuan'fu'hao'zi
创世史诗,chuang'shi'shi'shi
词话,ci'hua
达奥,da'ao
大歌,da'ge
打歌,da'ge
大鼓,da'gu
打夯号子,da'hang'hao'zi
打篮调,da'lan'tiao
呆女婿故事,dai'nv'xu'gu'shi
单出头,dan'chu'tou
丹剧,dan'ju
单弦,dan'xian
荡湖船,dang'hu'chuan
道德寓言,dao'de'yu'yan
刀花山歌,dao'hua'shan'ge
道情,dao'qing
道情调,dao'qing'diao
道情戏,dao'qing'xi
灯谜,deng'mi
灯戏,deng'xi
地方风物传说,di'fang'feng'wu'chuan'shuo
地理谚,di'li'yan
地名谜,di'ming'mi
帝王将相传说,di'wang'jiang'xiang'chuan'shuo
叮当调,ding'dang'tiao
丁丁腔,ding'ding'qiang
定县秧歌,ding'xian'yang'ge
东北大鼓,dong'bei'da'gu
冬不拉弹唱,dong'bu'la'tan'chang
动物故事,dong'wu'gu'shi
动物寓言,dong'wu'yu'yan
独脚戏,du'jiao'xi
对歌,dui'ge
对花,dui'hua
恩施灯戏,en'shi'deng'xi
儿歌,er'ge
二郎担山捉日的传说,er'lang'dan'shan'zhuo'ri'de'chuan'shuo
二人台,er'ren'tai
二人转,er'ren'zhuan
发明神话,fa'ming'shen'hua
反封建礼教故事,fan'feng'jian'li'jiao'gu'shi
反江山的故事,fan'jiang'shan'de'gu'shi
放风筝,fang'feng'zheng
方腊起义传说,fang'la'qi'yi'chuan'shuo
飞歌,fei'ge
讽刺歌谣,feng'ci'ge'yao
讽刺寓言,feng'ci'yu'yan
凤凰调,feng'huang'tiao
凤阳花鼓,feng'yang'hua'gu
风雨云雷神话,feng'yu'yun'lei'shen'hua
嘎百福,ga'bai'fu
赶马调,gan'ma'tiao
赶五句,gan'wu'ju
擀毡歌,gan'zhan'ge
高山剧,gao'shan'ju
高棠歌,gao'tang'ge
革命领袖传说,ge'ming'ling'xiu'chuan'shuo
格言,ge'yan
工程号子,gong'cheng'hao'zi
工匠故事,gong'jiang'gu'shi
工艺传说,gong'yi'chuan'shuo
古代寓言,gu'dai'yu'yan
古歌,gu'ge
谷气,gu'qi
鼓子词,gu'zi'ci
怪孩子型故事,guai'hai'zi'xing'gu'shi
关中道情,guan'zhong'dao'qing
广西采茶戏,guang'xi'cai'cha'xi
广西零零落,guang'xi'ling'ling'luo
规戒谚,gui'jie'yan
贵州花灯戏,gui'zhou'hua'deng'xi
滚木号子,gun'mu'hao'zi
过山溜,guo'shan'liu
哈哈腔,ha'ha'qiang
哈呢哈巴,ha'ne'ha'ba
海菜腔,hai'cai'qiang
海南杖头傀儡戏,hai'nan'zhang'tou'kui'lei'xi
嗨子戏,hai'zi'xi
韩城秧歌,han'cheng'yang'ge
好来宝,hao'lai'bao
和剧,he'ju
河南道情,he'nan'dao'qing
河南曲剧,he'nan'qu'ju
河南坠子,he'nan'zhui'zi
洪山调,hong'shan'tiao
洪水神话,hong'shui'shen'hua
后稷的传说,hou'ji'de'chuan'shuo
湖北渔鼓,hu'bei'yu'gu
沪剧,hu'ju
话本,hua'ben
划船调,hua'chuan'tiao
花儿,hua'er
花鼓丁香,hua'gu'ding'xiang
花鼓戏,hua'gu'xi
画师传说,hua'shi'chuan'shuo
华佗的传说,hua'tuo'de'chuan'shuo
淮剧,huai'ju
欢,huan
幻想故事,huan'xiang'gu'shi
黄巢起义传说,huang'chao'qi'yi'chuan'shuo
黄帝的传说,huang'di'de'chuan'shuo
黄巾起义传说,huang'jin'qi'yi'chuan'shuo
黄梅采茶戏,huang'mei'cai'cha'xi
谎张三的故事,huang'zhang'san'de'gu'shi
灰姑娘型故事,hui'gu'niang'xing'gu'shi
诙谐笑话,hui'xie'xiao'hua
婚歌,hun'ge
婚礼歌,hun'li'ge
货郎儿,huo'lang'er
吉剧,ji'ju
机智人物故事,ji'zhi'ren'wu'gu'shi
加,jia
加冠格,jia'guan'ge
