靶标,ba'biao
百帕,bai'pa
保持,bao'chi
备用,bei'yong
备用刹车选择活门,bei'yong'sha'che'xuan'ze'huo'men
操作程序构型,cao'zuo'cheng'xu'gou'xing
操作软件,cao'zuo'ruan'jian
测距机,ce'ju'ji
测距设备,ce'ju'she'bei
冲压空气涡轮发电机,chong'ya'kong'qi'wo'lun'fa'dian'ji
大气数据惯性基准系统,da'qi'shu'ju'guan'xing'ji'zhun'xi'tong
大气数据基准组件,da'qi'shu'ju'ji'zhun'zu'jian
大气数据组件,da'qi'shu'ju'zu'jian
低速,di'su
地速,di'su
电配平,dian'pei'ping
电台执照,dian'tai'zhi'zhao
电子发动机控制器,dian'zi'fa'dong'ji'kong'zhi'qi
电子飞行仪表系统,dian'zi'fei'xing'yi'biao'xi'tong
电子中央飞机监控系统,dian'zi'zhong'yang'fei'ji'jian'kong'xi'tong
发电机控制组件,fa'dian'ji'kong'zhi'zu'jian
发动机风扇速度,fa'dong'ji'feng'shan'su'du
发动机核心速度,fa'dong'ji'he'xin'su'du
发动机控制组件,fa'dong'ji'kong'zhi'zu'jian
发动机指示系统,fa'dong'ji'zhi'shi'xi'tong
发动机指示与机组警告系统,fa'dong'ji'zhi'shi'yu'ji'zu'jing'gao'xi'tong
防冰加热,fang'bing'jia're
方式控制板,fang'shi'kong'zhi'ban
防滞,fang'zhi
飞机状态监控系统,fei'ji'zhuang'tai'jian'kong'xi'tong
飞信指引,fei'xin'zhi'yin
飞行管理计算机,fei'xing'guan'li'ji'suan'ji
飞行航迹向量,fei'xing'hang'ji'xiang'liang
飞行控制计算机,fei'xing'kong'zhi'ji'suan'ji
飞行数据采集组件,fei'xing'shu'ju'cai'ji'zu'jian
飞行数据获取组件,fei'xing'shu'ju'huo'qu'zu'jian
飞行指引仪,fei'xing'zhi'yin'yi
风切变,feng'qie'bian
缝翼,feng'yi
复飞,fu'fei
副驾驶,fu'jia'shi
附属组件,fu'shu'zu'jian
俯仰配平系统,fu'yang'pei'ping'xi'tong
副翼,fu'yi
辅助动力装置,fu'zhu'dong'li'zhuang'zhi
高涵道比,gao'han'dao'bi
高强度辐射场,gao'qiang'du'fu'she'chang
功能测试,gong'neng'ce'shi
汞柱,gong'zhu
构型,gou'xing
惯导,guan'dao
惯性基准,guan'xing'ji'zhun
惯性基准系统,guan'xing'ji'zhun'xi'tong
惯性基准组件,guan'xing'ji'zhun'zu'jian
惯性系统显示组件,guan'xing'xi'tong'xian'shi'zu'jian
国籍登记证,guo'ji'deng'ji'zheng
航线可更换件,hang'xian'ke'geng'huan'jian
航线信标台,hang'xian'xin'biao'tai
航向,hang'xiang
横向导航,heng'xiang'dao'hang
滑行灯,hua'xing'deng
激光陀螺,ji'guang'tuo'luo
机组舱,ji'zu'cang
加速度计,jia'su'du'ji
减推力爬升,jian'tui'li'pa'sheng
减推力起飞,jian'tui'li'qi'fei
交通警告与防撞系统,jiao'tong'jing'gao'yu'fang'zhuang'xi'tong
接收机,jie'shou'ji
近地警告计算机,jin'di'jing'gao'ji'suan'ji
近地警告系统,jin'di'jing'gao'xi'tong
紧急定位发射机,jin'ji'ding'wei'fa'she'ji
进近,jin'jin
近台,jin'tai
襟翼缝翼电子组件,jin'yi'feng'yi'dian'zi'zu'jian
静变流机,jing'bian'liu'ji
径向位置,jing'xiang'wei'zhi
绝对高度,jue'dui'gao'du
空速,kong'su
控制显示组件,kong'zhi'xian'shi'zu'jian
空中交通防撞系统,kong'zhong'jiao'tong'fang'zhuang'xi'tong
空中交通管制,kong'zhong'jiao'tong'guan'zhi
连续,lian'xu
马赫空速指示,ma'he'kong'su'zhi'shi
马赫数,ma'he'shu
模式选择组件,mo'shi'xuan'ze'zu'jian
内侧,nei'ce
粘性阻尼器,nian'xing'zu'ni'qi
爬升,pa'sheng
排气温度,pai'qi'wen'du
偏航阻尼系统,pian'hang'zu'ni'xi'tong
气象雷达系统,qi'xiang'lei'da'xi'tong
气压,qi'ya
气压高度,qi'ya'gao'du
全球定位系统,quan'qiu'ding'wei'xi'tong
燃油处理器组件,ran'you'chu'li'qi'zu'jian
燃油流量,ran'you'liu'liang
扰流板,rao'liu'ban
刹车计量活门,sha'che'ji'liang'huo'men
甚高频全向信标,shen'gao'pin'quan'xiang'xin'biao
升降舵,sheng'jiang'duo
剩余地速,sheng'yu'di'su
适航证,shi'hang'zheng
失速管理偏航阻尼系统,shi'su'guan'li'pian'hang'zu'ni'xi'tong
手轮,shou'lun
输入输入控制器,shu'ru'shu'ru'kong'zhi'qi
水平状态指示,shui'ping'zhuang'tai'zhi'shi
通用显示组件,tong'yong'xian'shi'zu'jian
图形发生器,tu'xing'fa'sheng'qi
陀螺仪,tuo'luo'yi
涡轮风扇发动机,wo'lun'feng'shan'fa'dong'ji
涡扇发动机,wo'shan'fa'dong'ji
无线电高度,wu'xian'dian'gao'du
无线电高度表,wu'xian'dian'gao'du'biao
无线电距离磁指示,wu'xian'dian'ju'li'ci'zhi'shi
下滑道,xia'hua'dao
显示电子组件,xian'shi'dian'zi'zu'jian
显示组件数据库,xian'shi'zu'jian'shu'ju'ku
相对高度,xiang'dui'gao'du
行选键,xing'xuan'jian
行选择键,xing'xuan'ze'jian
蓄压瓶,xu'ya'ping
蓄压器隔离活门,xu'ya'qi'ge'li'huo'men
巡航,xun'hang
遥控灯传感器,yao'kong'deng'chuan'gan'qi
液压,ye'ya
