阿部美幸,a'bu'mei'xing
吻上你的指尖,wen'shang'ni'de'zhi'jian
我的初恋回忆,wo'de'chu'lian'hui'yi
我的家庭教师,wo'de'jia'ting'jiao'shi
我的亲亲老爸,wo'de'qin'qin'lao'ba
我是忍者,wo'shi'ren'zhe
五百香,wu'bai'xiang
乌尔班之月,wu'er'ban'zhi'yue
舞方魅罗,wu'fang'mei'luo
无分昼夜,wu'fen'zhou'ye
午后五点的吻之雨,wu'hou'wu'dian'de'wen'zhi'yu
无尽的黑暗舞蹈,wu'jin'de'hei'an'wu'dao
无尽的情歌,wu'jin'de'qing'ge
无名飞鸟之黎明,wu'ming'fei'niao'zhi'li'ming
无声的装饰音,wu'sheng'de'zhuang'shi'yin
无邪的世界,wu'xie'de'shi'jie
午夜的太阳,wu'ye'de'tai'yang
五月绿子,wu'yue'lv'zi
舞之水仙花,wu'zhi'shui'xian'hua
西边来的箱子,xi'bian'lai'de'xiang'zi
西川树菜,xi'chuan'shu'cai
喜欢与讨厌的境界线,xi'huan'yu'tao'yan'de'jing'jie'xian
西炯子,xi'jiong'zi
吸血鬼请安静,xi'xue'gui'qing'an'jing
西洋骨董洋果子店,xi'yang'gu'dong'yang'guo'zi'dian
下村富美,xia'cun'fu'mei
夏时间,xia'shi'jian
夏树实,xia'shu'shi
夏天的终结,xia'tian'de'zhong'jie
香坂透,xiang'ban'tou
香蕉鱼,xiang'jiao'yu
香藤洋二,xiang'teng'yang'er
乡土玫瑰,xiang'tu'mei'gui
香住凉和,xiang'zhu'liang'he
香子兰,xiang'zi'lan
小出美惠子,xiao'chu'mei'hui'zi
小林智美,xiao'lin'zhi'mei
小猫华尔兹,xiao'mao'hua'er'zi
筱崎一夜,xiao'qi'yi'ye
小石川响,xiao'shi'chuan'xiang
小田切萤,xiao'tian'qie'ying
小野寺律,xiao'ye'si'lv
小野冢香穗里,xiao'ye'zhong'xiang'sui'li
小鹰和麻,xiao'ying'he'ma
邪道,xie'dao
蝎之封印,xie'zhi'feng'yin
新田佑克,xin'tian'you'ke
心跳学生会,xin'tiao'xue'sheng'hui
幸福的等级,xing'fu'de'deng'ji
星陵最恐物语,xing'ling'zui'kong'wu'yu
星与樱之祭,xing'yu'ying'zhi'ji
幸运男孩,xing'yun'nan'hai
星之结晶,xing'zhi'jie'jing
兄弟限定,xiong'di'xian'ding
秀香穗里,xiu'xiang'sui'li
绪田凉歌,xu'tian'liang'ge
眩晕,xuan'yun
学园人体炼金术,xue'yuan'ren'ti'lian'jin'shu
雪之丞事件簿,xue'zhi'cheng'shi'jian'bu
雪舟薰,xue'zhou'xun
亚历山大,ya'li'shan'da
押上美猫,ya'shang'mei'mao
雅桃子,ya'tao'zi
岩本薰,yan'ben'xun
岩城京介,yan'cheng'jing'jie
雁川,yan'chuan
言灵师,yan'ling'shi
燕尾服的天使们,yan'wei'fu'de'tian'shi'men
盐缘由生,yan'yuan'you'sheng
炎之蜃气楼,yan'zhi'shen'qi'lou
摇动世界的调律师,yao'dong'shi'jie'de'tiao'lv'shi
摇滚棒球,yao'gun'bang'qiu
妖猫,yao'mao
妖魔的封印,yao'mo'de'feng'yin
要人警护,yao'ren'jing'hu
咬沙,yao'sha
遥山之恋,yao'shan'zhi'lian
夜伽之国的王子殿下,ye'jia'zhi'guo'de'wang'zi'dian'xia
野山雪,ye'shan'xue
叶月信,ye'yue'xin
叶芝真己,ye'zhi'zhen'ji
异端之花,yi'duan'zhi'hua
异国色恋浪漫谭,yi'guo'se'lian'lang'man'tan
一切从心开始,yi'qie'cong'xin'kai'shi
一拳钟情,yi'quan'zhong'qing
依田沙江美,yi'tian'sha'jiang'mei
亿万富翁的忧郁,yi'wan'fu'weng'de'you'yu
伊乡露,yi'xiang'lu
伊乡万里,yi'xiang'wan'li
异形奇谈,yi'xing'qi'tan
以欲望为名的爱,yi'yu'wang'wei'ming'de'ai
一之濑绫子,yi'zhi'lai'ling'zi
银行员,yin'hang'yuan
银色风拂纱梦,yin'se'feng'fu'sha'meng
银色钻石,yin'se'zuan'shi
银之镇魂歌,yin'zhi'zhen'hun'ge
樱坂一丁目一番地,ying'ban'yi'ding'mu'yi'fan'di
樱城亚亚,ying'cheng'ya'ya
樱川园子,ying'chuan'yuan'zi
樱井素素子,ying'jing'su'su'zi
樱井知沙子,ying'jing'zhi'sha'zi
樱林子,ying'lin'zi
影木荣贵,ying'mu'rong'gui
樱木知沙子,ying'mu'zhi'sha'zi
樱田门的纹章,ying'tian'men'de'wen'zhang
英田纱妃,ying'tian'sha'fei
英田沙己,ying'tian'sha'ji
英田纱纪,ying'tian'sha'ji
英田纱希,ying'tian'sha'xi
英雄与恶汉,ying'xiong'yu'e'han
拥抱春天罗曼史,yong'bao'chun'tian'luo'man'shi
勇将奇谈,yong'jiang'qi'tan
永远的承诺,yong'yuan'de'cheng'nuo
永远的传说,yong'yuan'de'chuan'shuo
由比正雪,you'bi'zheng'xue
优等生,you'deng'sheng
右京达人驾到,you'jing'da'ren'jia'dao
由罗绘里,you'luo'hui'li
有那寿实,you'na'shou'shi
诱鸟,you'niao
有栖川家族恋物语,you'qi'chuan'jia'zu'lian'wu'yu
诱人水果的香味,you'ren'shui'guo'de'xiang'wei
优雅男子,you'ya'nan'zi
忧郁中的狂想曲,you'yu'zhong'de'kuang'xiang'qu
羽柴玲太,yu'chai'ling'tai
预感,yu'gan
雨宫家的幸福生活,yu'gong'jia'de'xing'fu'sheng'huo
御花少年,yu'hua'shao'nian
与君拥抱绯色恋,yu'jun'yong'bao'fei'se'lian
与郎工枕,yu'lang'gong'zhen
雨柳堂梦语,yu'liu'tang'meng'yu
御门春,yu'men'chun
御木宏美,yu'mu'hong'mei
与你相会在深夜,yu'ni'xiang'hui'zai'shen'ye
御所泉家的优雅教养,yu'suo'quan'jia'de'you'ya'jiao'yang
与野蛮人谈恋爱,yu'ye'man'ren'tan'lian'ai
羽音光辉,yu'yin'guang'hui
御园和亲猫子猫,yu'yuan'he'qin'mao'zi'mao
御园绘里依,yu'yuan'hui'li'yi
宇宙中的花,yu'zhou'zhong'de'hua
宇佐见春彦,yu'zuo'jian'chun'yan
宇佐见秋彦,yu'zuo'jian'qiu'yan
原始四重奏,yuan'shi'si'chong'zou
原兽文书,yuan'shou'wen'shu
圆屋榎英,yuan'wu'jia'ying
远野春日,yuan'ye'chun'ri
圆阵暗丸,yuan'zhen'an'wan
冤罪,yuan'zui
月村奎,yue'cun'kui
月光馆物语,yue'guang'guan'wu'yu
月华佳人,yue'hua'jia'ren
月亮与圣诞老人,yue'liang'yu'sheng'dan'lao'ren
月乃宫,yue'nai'gong
月沙漠杀人事件,yue'sha'mo'sha'ren'shi'jian
月上雏子,yue'shang'chu'zi
月夜野亮,yue'ye'ye'liang
再见我的爱,zai'jian'wo'de'ai
在满员电车中相爱,zai'man'yuan'dian'che'zhong'xiang'ai
藏王大志,zang'wang'da'zhi
早坂静,zao'ban'jing
泽城利穗,ze'cheng'li'sui
战栗情人不设防,zhan'li'qing'ren'bu'she'fang
朝日茜,zhao'ri'qian
昭月美姬,zhao'yue'mei'ji
真东砂波,zhen'dong'sha'bo
阵内和史,zhen'nei'he'shi
侦探青猫,zhen'tan'qing'mao
侦探物语,zhen'tan'wu'yu
真堂树,zhen'tang'shu
珍珠,zhen'zhu
征神记,zheng'shen'ji
指环物语,zhi'huan'wu'yu
支配我的语言,zhi'pei'wo'de'yu'yan
炙热的牢笼,zhi're'de'lao'long
执事的特权,zhi'shi'de'te'quan
志水雪,zhi'shui'xue
纸莎草书,zhi'suo'cao'shu
志野夏穗,zhi'ye'xia'sui
中川胜海,zhong'chuan'sheng'hai
中村春菊,zhong'cun'chun'ju
仲村佳树,zhong'cun'jia'shu
中村胜海,zhong'cun'sheng'hai
中世纪旅行乐团,zhong'shi'ji'lv'xing'yue'tuan
中田雅喜,zhong'tian'ya'xi
中原茉梨,zhong'yuan'mo'li
中原一也,zhong'yuan'yi'ye
竹宫惠子,zhu'gong'hui'zi
竹内理琉,zhu'nei'li'liu
主藤礼一郎,zhu'teng'li'yi'lang
主藤司,zhu'teng'si
竹田弥生,zhu'tian'mi'sheng
抓狂爸爸,zhua'kuang'ba'ba
坠落在沙漠中的一粒沙子,zhui'luo'zai'sha'mo'zhong'de'yi'li'sha'zi
椎名咲月,zhui'ming'xiao'yue
追星情缘,zhui'xing'qing'yuan
子藏屋,zi'cang'wu
子供的领分,zi'gong'de'ling'fen
自我中心纯爱,zi'wo'zhong'xin'chun'ai
最恶,zui'e
最后的华尔兹,zui'hou'de'hua'er'zi
最后的留言,zui'hou'de'liu'yan
罪人之吻,zui'ren'zhi'wen
最凶的恋人,zui'xiong'de'lian'ren
佐仓朱里,zuo'cang'zhu'li
佐佐成美,zuo'zuo'cheng'mei
佐佐木久美子,zuo'zuo'mu'jiu'mei'zi
佐佐木桢子,zuo'zuo'mu'zhen'zi
