阿步,a'bu
阿部敦,a'bu'dun
阿部丰,a'bu'feng
阿澄佳奈,a'cheng'jia'nai
阿尔克巴雷诺,a'er'ke'ba'lei'nuo
阿尔柯巴雷诺,a'er'ke'ba'lei'nuo
阿绯,a'fei
阿纲,a'gang
阿瓜,a'gua
阿扣,a'kou
阿懒,a'lan
阿兰兰,a'lan'lan
阿笠,a'li
阿笠博士,a'li'bo'shi
阿帕契,a'pa'qi
阿乾,a'qian
阿散井,a'san'jing
阿散井恋次,a'san'jing'lian'ci
阿夜,a'ye
爱川罗武,ai'chuan'luo'wu
艾多拉德,ai'duo'la'de
爱狗一族,ai'gou'yi'zu
哀君,ai'jun
艾丽斯,ai'li'si
艾琳安多拉,ai'lin'an'duo'la
哀露,ai'lu
艾鲁鲁耶利,ai'lu'lu'ye'li
艾米利亚,ai'mi'li'ya
爱上你的眼睛,ai'shang'ni'de'yan'jing
岸本,an'ben
岸本齐史,an'ben'qi'shi
暗部,an'bu
安翠欧,an'cui'ou
鞍马八云,an'ma'ba'yun
暗杀部队,an'sha'bu'dui
岸尾大辅,an'wei'da'fu
暗夜公爵,an'ye'gong'jue
暗夜男爵,an'ye'nan'jue
安元洋贵,an'yuan'yang'gui
暗之男爵,an'zhi'nan'jue
暗之守护者,an'zhi'shou'hu'zhe
奥义,ao'yi
巴达克,ba'da'ke
八番队,ba'fan'dui
八卦封印,ba'gua'feng'yin
八卦空掌,ba'gua'kong'zhang
八卦六十四掌,ba'gua'liu'shi'si'zhang
八卦掌回天,ba'gua'zhang'hui'tian
巴吉尔,ba'ji'er
巴吉鲁,ba'ji'lu
巴利安,ba'li'an
八门遁甲,ba'men'dun'jia
八千流,ba'qian'liu
八忍犬,ba'ren'quan
八十千,ba'shi'qian
巴瓦巴瓦,ba'wa'ba'wa
八尾大蛇,ba'wei'da'she
巴温特,ba'wen'te
八俣大蛇,ba'yu'da'she
八云,ba'yun
八重子,ba'zhong'zi
巴兹,ba'zi
白草莓,bai'cao'mei
白打,bai'da
白帝剑,bai'di'jian
白伏,bai'fu
白纲,bai'gang
白骸,bai'hai
百合之神,bai'he'zhi'shen
百机操演,bai'ji'cao'yan
白金圣皇,bai'jin'sheng'huang
白兰氏鸡精,bai'lan'shi'ji'jing
拜勒岗,bai'le'gang
白雷,bai'lei
白磷大蛇,bai'lin'da'she
白马探,bai'ma'tan
白魔咒,bai'mo'zhou
白鸟任三郎,bai'niao'ren'san'lang
白色的世界,bai'se'de'shi'jie
白石藏之介,bai'shi'cang'zhi'jie
白一护,bai'yi'hu
白一露,bai'yi'lu
白哉,bai'zai
白正,bai'zheng
半藏,ban'cang
斑目一角,ban'mu'yi'jiao
半虚,ban'xu
棒球笨蛋,bang'qiu'ben'dan
宝刀争夺大战,bao'dao'zheng'duo'da'zhan
宝刀争夺大作战,bao'dao'zheng'duo'da'zuo'zhan
暴风男爵,bao'feng'nan'jue
暴水冲波,bao'shui'chong'bo
爆水冲波,bao'shui'chong'bo
北斗星号,bei'dou'xing'hao
贝尔菲戈尔,bei'er'fei'ge'er
贝尔摩得,bei'er'mo'de
倍化术,bei'hua'shu
倍化之术,bei'hua'zhi'shu
贝吉塔行星,bei'ji'ta'xing'xing
北界王,bei'jie'wang
贝克街的亡灵,bei'ke'jie'de'wang'ling
贝罗纳,bei'luo'na
被识破的谎言,bei'shi'po'de'huang'yan
被隐藏的真相,bei'yin'cang'de'zhen'xiang
本堂瑛海,ben'tang'ying'hai
本堂瑛佑,ben'tang'ying'you
本堂瑛祐,ben'tang'ying'you
本田贵子,ben'tian'gui'zi
本厅刑事恋物语,ben'ting'xing'shi'lian'wu'yu
崩点,beng'dian
崩玉,beng'yu
崩掌,beng'zhang
碧安琪,bi'an'qi
比黛儿,bi'dai'er
比嘉,bi'jia
比嘉中,bi'jia'zhong
比克大魔王,bi'ke'da'mo'wang
比吕士,bi'lv'shi
比赛结束,bi'sai'jie'shu
比赛开始,bi'sai'kai'shi
碧洋琪,bi'yang'qi
变化术,bian'hua'shu
边里,bian'li
边里唯世,bian'li'wei'shi
表莲华,biao'lian'hua
冰帝,bing'di
兵粮丸,bing'liang'wan
冰轮丸,bing'lun'wan
兵器匣,bing'qi'xia
并盛,bing'sheng
并盛町,bing'sheng'ding
并盛校歌,bing'sheng'xiao'ge
并盛中学,bing'sheng'zhong'xue
并足雷同,bing'zu'lei'tong
波本,bo'ben
狛村队长,bo'cun'dui'zhang
狛村左阵,bo'cun'zuo'zhen
波风皆人,bo'feng'jie'ren
波风水门,bo'feng'shui'men
博士的初恋,bo'shi'de'chu'lian
波维诺,bo'wei'nuo
