安装,an'zhuang
北科,bei'ke
必佳,bi'jia
编制办法,bian'zhi'ban'fa
不可预见费,bu'ke'yu'jian'fei
材料,cai'liao
材料费,cai'liao'fei
采暖,cai'nuan
财务费用,cai'wu'fei'yong
陈青来,chen'qing'lai
城建维护费,cheng'jian'wei'hu'fei
抽筋,chou'jin
抽料,chou'liao
抽样,chou'yang
单价分析表,dan'jia'fen'xi'biao
当地,dang'di
电气,dian'qi
调遣费,diao'qian'fei
定额,ding'e
冬季施工增加费,dong'ji'shi'gong'zeng'jia'fei
翻样,fan'yang
分项工程预算表,fen'xiang'gong'cheng'yu'suan'biao
辅材,fu'cai
辅助生产,fu'zhu'sheng'chan
概算,gai'suan
概算定额,gai'suan'ding'e
钢筋,gang'jin
钢筋翻样,gang'jin'fan'yang
高原施工增加费,gao'yuan'shi'gong'zeng'jia'fei
工程造价,gong'cheng'zao'jia
工地转移费,gong'di'zhuan'yi'fei
供给,gong'ji
工料机,gong'liao'ji
估算,gu'suan
管理费,guan'li'fei
广联达,guang'lian'da
规费,gui'fei
国民收入核算,guo'min'shou'ru'he'suan
海德,hai'de
海威,hai'wei
海文,hai'wen
夯填,hang'tian
恒智天成,heng'zhi'tian'cheng
宏观经济模型,hong'guan'jing'ji'mo'xing
宏观经济运行分析,hong'guan'jing'ji'yun'xing'fen'xi
花岗石,hua'gang'shi
回填土,hui'tian'tu
货币供求,huo'bi'gong'qiu
货币均衡,huo'bi'jun'heng
计划利润,ji'hua'li'run
计价,ji'jia
计价与控制,ji'jia'yu'kong'zhi
给排水,ji'pai'shui
计日工,ji'ri'gong
计日工汇总,ji'ri'gong'hui'zong
技术经济指标,ji'shu'jing'ji'zhi'biao
机械,ji'xie
机械费,ji'xie'fei
机械台班,ji'xie'tai'ban
机械挖土方,ji'xie'wa'tu'fang
价格信息,jia'ge'xin'xi
架空隔热层,jia'kong'ge're'ceng
价值工程,jia'zhi'gong'cheng
间接费,jian'jie'fei
监理费,jian'li'fei
建筑经济,jian'zhu'jing'ji
建筑经济学,jian'zhu'jing'ji'xue
匠易通,jiang'yi'tong
教育附加费,jiao'yu'fu'jia'fei
节点,jie'dian
结算,jie'suan
金润,jin'run
精建,jing'jian
决算,jue'suan
竣工图,jun'gong'tu
均衡价格,jun'heng'jia'ge
科瑞,ke'rui
劳动定额,lao'dong'ding'e
立面图,li'mian'tu
利润,li'run
两贴费用,liang'tie'fei'yong
临时设施费,lin'shi'she'shi'fei
鲁班,lu'ban
幕墙,mu'qiang
品茗,pin'ming
平法,ping'fa
平面图,ping'mian'tu
平整场地,ping'zheng'chang'di
剖面图,pou'mian'tu
企业管理费,qi'ye'guan'li'fei
清单,qing'dan
清华斯维尔,qing'hua'si'wei'er
青苗补偿费,qing'miao'bu'chang'fei
取费,qu'fei
取暖补贴,qu'nuan'bu'tie
人工,ren'gong
人工费,ren'gong'fei
人工挖土方,ren'gong'wa'tu'fang
日月,ri'yue
砂石,sha'shi
设备安装,she'bei'an'zhuang
设计费,she'ji'fei
设计图,she'ji'tu
神机,shen'ji
生产成本论,sheng'chan'cheng'ben'lun
市场结构理论,shi'chang'jie'gou'li'lun
市场需求,shi'chang'xu'qiu
施工定额,shi'gong'ding'e
施工辅助费,shi'gong'fu'zhu'fei
施工技术装备费,shi'gong'ji'shu'zhuang'bei'fei
施工图,shi'gong'tu
施工图预算,shi'gong'tu'yu'suan
税金,shui'jin
水泥,shui'ni
水泥扶散基金,shui'ni'fu'san'ji'jin
斯维尔,si'wei'er
松填,song'tian
塑钢门,su'gang'men
探亲路费,tan'qin'lu'fei
天仁,tian'ren
天正,tian'zheng
通风,tong'feng
同望,tong'wang
通则,tong'ze
投标价,tou'biao'jia
投资概算,tou'zi'gai'suan
投资估算,tou'zi'gu'suan
投资估算指标,tou'zi'gu'suan'zhi'biao
土建,tu'jian
纬衡,wei'heng
维锦,wei'jin
屋面,wu'mian
下料,xia'liao
下料版,xia'liao'ban
现场经费,xian'chang'jing'fei
消费者行为理论,xiao'fei'zhe'xing'wei'li'lun
消耗量,xiao'hao'liang
新思,xin'si
信息价,xin'xi'jia
行车干扰施工增加费,xing'che'gan'rao'shi'gong'zeng'jia'fei
修正概算,xiu'zheng'gai'suan
沿海地区施工增加费,yan'hai'di'qu'shi'gong'zeng'jia'fei
夜间施工增加费,ye'jian'shi'gong'zeng'jia'fei
易表算量,yi'biao'suan'liang
亿通,yi'tong
营业税,ying'ye'shui
雨季施工增加费,yu'ji'shi'gong'zeng'jia'fei
预算,yu'suan
预算定额,yu'suan'ding'e
暂定金额,zan'ding'jin'e
造价,zao'jia
造价编制费,zao'jia'bian'zhi'fei
征地拆迁费,zheng'di'chai'qian'fei
指标,zhi'biao
直接费,zhi'jie'fei
智通,zhi'tong
主材,zhu'cai
主副食运费补贴,zhu'fu'shi'yun'fei'bu'tie
筑业,zhu'ye
专项暂定金额,zhuan'xiang'zan'ding'jin'e
装饰,zhuang'shi
综合费率,zong'he'fei'lv
