矮人看戏何曾见,ai'ren'kan'xi'he'ceng'jian
按之不迟,an'zhi'bu'chi
百日田干田父愁,bai'ri'tian'gan'tian'fu'chou
白头灯影凉宵里,bai'tou'deng'ying'liang'xiao'li
报道先生春睡美,bao'dao'xian'sheng'chun'shui'mei
本是同根复同气,ben'shi'tong'gen'fu'tong'qi
闭眼任苍苍,bi'yan'ren'cang'cang
便合潜身不出门,bian'he'qian'shen'bu'chu'men
鬓难留黑,bin'nan'liu'hei
不必嫁春风,bu'bi'jia'chun'feng
不任汩鸿,bu'ren'gu'hong
不深不浅种荷花,bu'shen'bu'qian'zhong'he'hua
不是花中偏爱菊,bu'shi'hua'zhong'pian'ai'ju
不与物情违,bu'yu'wu'qing'wei
不知身也在云间,bu'zhi'shen'ye'zai'yun'jian
不知天上忆人间,bu'zhi'tian'shang'yi'ren'jian
蚕要温和麦要寒,can'yao'wen'he'mai'yao'han
沧浪之水清兮,cang'lang'zhi'shui'qing'xi
沧浪之水浊兮,cang'lang'zhi'shui'zhuo'xi
草木得常理,cao'mu'de'chang'li
草木在人间,cao'mu'zai'ren'jian
池鱼思故渊,chi'yu'si'gu'yuan
春花落尽蜂不窥,chun'hua'luo'jin'feng'bu'kui
春云为马,chun'yun'wei'ma
此花开尽更无花,ci'hua'kai'jin'geng'wu'hua
此日中流自在行,ci'ri'zhong'liu'zi'zai'hang
赐也能言未识真,ci'ye'neng'yan'wei'shi'zhen
带易成宽,dai'yi'cheng'kuan
但令无剪伐,dan'ling'wu'jian'fa
当须量马力,dang'xu'liang'ma'li
道人轻打五更钟,dao'ren'qing'da'wu'geng'zhong
东风毕竟亦无情,dong'feng'bi'jing'yi'wu'qing
东风到处物皆春,dong'feng'dao'chu'wu'jie'chun
东风多在向阳枝,dong'feng'duo'zai'xiang'yang'zhi
东西相笑无已时,dong'xi'xiang'xiao'wu'yi'shi
都是随人说短长,dou'shi'sui'ren'shuo'duan'chang
都蔗虽甘,dou'zhe'sui'gan
多为溪雷一夜奔,duo'wei'xi'lei'yi'ye'ben
凡物各自有根本,fan'wu'ge'zi'you'gen'ben
芳林新叶催陈叶,fang'lin'xin'ye'cui'chen'ye
非必丝与竹,fei'bi'si'yu'zhu
凫胫不愿续,fu'jing'bu'yuan'xu
共在人间说天上,gong'zai'ren'jian'shuo'tian'shang
好花看到半开时,hao'hua'kan'dao'ban'kai'shi
好似人生各有时,hao'si'ren'sheng'ge'you'shi
何不课而行之,he'bu'ke'er'xing'zhi
后人观古书,hou'ren'guan'gu'shu
狐死必首丘,hu'si'bi'shou'qiu
花时随早晚,hua'shi'sui'zao'wan
会见拂云长,hui'jian'fu'yun'chang
羁鸟恋旧林,ji'niao'lian'jiu'lin
既雨晴亦佳,ji'yu'qing'yi'jia
家国兴亡自有时,jia'guo'xing'wang'zi'you'shi
尽日寻春不见春,jin'ri'xun'chun'bu'jian'chun
近水楼台先得月,jin'shui'lou'tai'xian'de'yue
久旱雨亦好,jiu'han'yu'yi'hao
君不见芳树枝,jun'bu'jian'fang'shu'zhi
君不见梁上泥,jun'bu'jian'liang'shang'ni
可以濯我缨,ke'yi'zhuo'wo'ying
可以濯我足,ke'yi'zhuo'wo'zu
劳之不疾,lao'zhi'bu'ji
量长复校短,liang'chang'fu'xiao'duan
流水前波让后波,liu'shui'qian'bo'rang'hou'bo
漫说文章价定,man'shuo'wen'zhang'jia'ding
满头晴雪共难消,man'tou'qing'xue'gong'nan'xiao
芒鞋踏遍陇头云,mang'xie'ta'bian'long'tou'yun
茂陵何事在人间,mao'ling'he'shi'zai'ren'jian
美酒饮教微醉后,mei'jiu'yin'jiao'wei'zui'hou
每随己境地,mei'sui'ji'jing'di
梅先菊后何须较,mei'xian'ju'hou'he'xu'jiao
莫向西湖踏残雪,mo'xiang'xi'hu'ta'can'xue
南北东西只一天,nan'bei'dong'xi'zhi'yi'tian
难将一人手,nan'jiang'yi'ren'shou
难教一物违,nan'jiao'yi'wu'wei
南山已见雾昏昏,nan'shan'yi'jian'wu'hun'hun
鸟飞反故乡兮,niao'fei'fan'gu'xiang'xi
片云会得无心否,pian'yun'hui'de'wu'xin'fou
前林晓忽花全放,qian'lin'xiao'hu'hua'quan'fang
钱王一何思,qian'wang'yi'he'si
佥曰何忧,qian'yue'he'you
巧言虽美,qiao'yan'sui'mei
请看功名富贵,qing'kan'gong'ming'fu'gui
秋风始高燕不栖,qiu'feng'shi'gao'yan'bu'qi
秋风为驷,qiu'feng'wei'si
蚯蚓虾蟆也出来,qiu'yin'ha'ma'ye'chu'lai
去来有时节,qu'lai'you'shi'jie
全凭老干为扶持,quan'ping'lao'gan'wei'fu'chi
人间万事细如毛,ren'jian'wan'shi'xi'ru'mao
人瘦尚可肥,ren'shou'shang'ke'fei
日出扶桑一丈高,ri'chu'fu'sang'yi'zhang'gao
若说神仙求便得,ruo'shuo'shen'xian'qiu'bian'de
山川无改时,shan'chuan'wu'gai'shi
山水有清音,shan'shui'you'qing'yin
山雨欲来风满楼,shan'yu'yu'lai'feng'man'lou
伤瓜莫伤蔓,shang'gua'mo'shang'man
伤蔓子生稀,shang'man'zi'sheng'xi
深处种菱浅种稻,shen'chu'zhong'ling'qian'zhong'dao
神物风云各有时,shen'wu'feng'yun'ge'you'shi
始得君马全,shi'de'jun'ma'quan
师何以尚之,shi'he'yi'shang'zhi
士俗不可医,shi'su'bu'ke'yi
霜露荣悴之,shuang'lu'rong'cui'zhi
水无西注,shui'wu'xi'zhu
顺人人心悦,shun'ren'ren'xin'yue
天地长不没,tian'di'chang'bu'mei
天地无穷极,tian'di'wu'qiong'ji
天理从来屈有信,tian'li'cong'lai'qu'you'xin
天有尽头,tian'you'jin'tou
弯弓射潮头,wan'gong'she'chao'tou
为有源头活水来,wei'you'yuan'tou'huo'shui'lai
问渠那得清如许,wen'qu'na'de'qing'ru'xu
我但行藏任天理,wo'dan'xing'cang'ren'tian'li
我与山灵相对笑,wo'yu'shan'ling'xiang'dui'xiao
误将心许汉阴人,wu'jiang'xin'xu'han'yin'ren
吴人何苦怨西施,wu'ren'he'ku'yuan'xi'shi
巫山一何高,wu'shan'yi'he'gao
溪云初起日沉阁,xi'yun'chu'qi'ri'chen'ge
先天天意从,xian'tian'tian'yi'cong
向来枉费推移力,xiang'lai'wang'fei'tui'yi'li
向阳花木易为春,xiang'yang'hua'mu'yi'wei'chun
新竹高于旧竹枝,xin'zhu'gao'yu'jiu'zhu'zhi
掩得天下目,yan'de'tian'xia'mu
眼看别峰云雾起,yan'kan'bie'feng'yun'wu'qi
眼前物理苦难猜,yan'qian'wu'li'ku'nan'cai
夜坐西窗雨一斋,ye'zuo'xi'chuang'yu'yi'zhai
一局残棋见六朝,yi'ju'can'qi'jian'liu'chao
一声大震龙蛇起,yi'sheng'da'zhen'long'she'qi
易识浮生理,yi'shi'fu'sheng'li
阴阳转相因,yin'yang'zhuan'xiang'yin
英雄心事无今古,ying'xiong'xin'shi'wu'jin'gu
用之必灭,yong'zhi'bi'mie
有何卑下有何高,you'he'bei'xia'you'he'gao
有甚大低昂,you'shen'da'di'ang
欲知吾道廓,yu'zhi'wu'dao'kuo
云梦一何低,yun'meng'yi'he'di
杖之必折,zhang'zhi'bi'zhe
折戟沉沙铁未销,zhe'ji'chen'sha'tie'wei'xiao
只合行将去,zhi'he'xing'jiang'qu
只消一雨百无忧,zhi'xiao'yi'yu'bai'wu'you
种禾终不成豆苗,zhong'he'zhong'bu'cheng'dou'miao
自将磨洗认前朝,zi'jiang'mo'xi'ren'qian'chao
纵是闲花自开落,zong'shi'xian'hua'zi'kai'luo
做天莫做四月天,zuo'tian'mo'zuo'si'yue'tian
