阿福,a'fu
阿龔,a'gong
阿茲海默,a'zi'hai'mo
愛人動物,ai'ren'dong'wu
愛在波西米亞,ai'zai'bo'xi'mi'ya
安溥,an'pu
百年孤寂,bai'nian'gu'ji
白日出沒的月球,bai'ri'chu'mo'de'yue'qiu
百日告別,bai'ri'gao'bie
被雨困住的城市,bei'yu'kun'zhu'de'cheng'shi
被雨傷透,bei'yu'shang'tou
背著你,bei'zhu'ni
彼得與狼,bi'de'yu'lang
不存在的情人,bu'cun'zai'de'qing'ren
蟬想,chan'xiang
遲到千年,chi'dao'qian'nian
穿墻人,chuan'qiang'ren
帶我走,dai'wo'zou
但是夢只會更遠,dan'shi'meng'zhi'kuai'geng'yuan
當我們一起走過,dang'wo'men'yi'qi'zou'guo
島唄,dao'bai
低低星垂,di'di'xing'chui
東京餐館的,dong'jing'can'guan'de
獨處的時候,du'chu'de'shi'hou
對殺人狂指控,dui'sha'ren'kuang'zhi'kong
多希望你在,duo'xi'wang'ni'zai
飛行時光,fei'xing'shi'guang
飛魚,fei'yu
各站停靠,ge'zhan'ting'kao
跟著你到天邊,gen'zhu'ni'dao'tian'bian
紅鞋女孩,gong'xie'nv'hai
龔鈺祺,gong'yu'qi
好好愛你,hao'hao'ai'ni
何景揚,he'jing'yang
哼唱光年,heng'chang'guang'nian
花房姑娘,hua'fang'gu'niang
回車諾比的夢,hui'ju'nuo'bi'de'meng
寂寞的時候,ji'mo'de'shi'hou
家凱,jia'kai
簡單生活,jian'shan'sheng'huo
降落練習存在孿生基因,jiang'luo'lian'xi'cun'zai'luan'sheng'ji'yin
焦安溥,jiao'an'pu
交響夢,jiao'xiang'meng
近未來,jin'wei'lai
可愛的玫瑰花,ke'ai'de'mei'gui'hua
空氣中的視聽與幻覺,kong'qi'zhong'de'shi'ting'yu'huan'jue
控制狂,kong'zhi'kuang
快樂頌,kuai'yue'song
藍眼睛,lan'yan'jing
浪漫派,lang'man'pai
冷井情深,leng'jing'qing'shen
林暐哲,lin'wei'zhe
劉家凱,liu'jia'kai
刘天王,liu'tian'wang
綠色機密,lv'se'ji'mi
美錯,mei'cuo
無言歌,mo'yan'ge
沒有人愛,mo'you'ren'ai
無與倫比的美麗,mo'yu'lun'bi'de'mei'li
牧神搭上春色的火車,mu'shen'da'shang'chun'se'de'huo'ju
你被寫在我的歌裡,ni'bei'xie'zai'wo'de'ge'li
你和我的時光,ni'he'wo'de'shi'guang
你講的話,ni'jiang'de'hua
你喔,ni'wo
你心裡一個,ni'xin'li'yi'ge
你在煩惱什麼,ni'zai'fan'nao'shen'mo
陪我歌唱,pei'wo'ge'chang
片刻永恆,pian'ke'yong'heng
牽阮的手,qian'ruan'de'shou
墻外的風景,qiang'wai'de'feng'jing
讓我做你的家,rang'wo'zuo'ni'de'jia
融雪之前,rong'xue'zhi'qian
如果凝結就是愛,ru'guo'ning'jie'jiu'shi'ai
山頂黑狗兄,shan'ding'hei'gou'xiong
少年維特的煩惱,shao'nian'wei'te'de'fan'nao
史俊威,shi'jun'wei
十年一刻,shi'nian'yi'ke
拾穗,shi'sui
是我的海,shi'wo'de'hai
說了再見,shuo'le'zai'xian
四季狂想,si'ji'kuang'xiang
蘇打綠同名專輯,su'da'lv'tong'ming'zhuan'ji
他舉起右手點名,ta'ju'qi'you'shou'dian'ming
他夏了夏天,ta'xia'le'xia'tian
天天晴朗,tian'tian'qing'lang
痛快的哀艷,tong'kuai'de'ai'yan
偷閒的翅膀,tou'xian'de'chi'bang
微光,wei'guang
韋瓦第計劃,wei'wa'di'ji'hua
暐哲,wei'zhe
