八一站,ba'yi'zhan
百合,bai'he
百汇市场,bai'hui'shi'chang
百江市场,bai'jiang'shi'chang
边检站,bian'jian'zhan
彪记羊肉餐馆,biao'ji'yang'rou'can'guan
彪记羊肉馆,biao'ji'yang'rou'guan
长福路,chang'fu'lu
长沙公园,chang'sha'gong'yuan
长沙幼儿园,chang'sha'you'er'yuan
长师,chang'shi
长师附小,chang'shi'fu'xiao
长镇路口,chang'zhen'lu'kou
成人中专,cheng'ren'zhong'zhuan
城市广场,cheng'shi'guang'chang
赤坎,chi'kan
赤坎站,chi'kan'zhan
大同,da'tong
荻海站,di'hai'zhan
地税局,di'shui'ju
电力大厦,dian'li'da'sha
电视大厦,dian'shi'da'sha
电信局,dian'xin'ju
东方豪庭,dong'fang'hao'ting
东升,dong'sheng
东溪加油站,dong'xi'jia'you'zhan
东兴路口,dong'xing'lu'kou
发电厂,fa'dian'chang
防疫站,fang'yi'zhan
风采,feng'cai
风采花园,feng'cai'hua'yuan
风采侨中,feng'cai'qiao'zhong
风采中学,feng'cai'zhong'xue
冯谢路口,feng'xie'lu'kou
妇幼保健院,fu'you'bao'jian'yuan
岗美墟,gang'mei'xu
高速路口,gao'su'lu'kou
公安大楼,gong'an'da'lou
工业园,gong'ye'yuan
购书中心,gou'shu'zhong'xin
购物街北,gou'wu'jie'bei
购物街南,gou'wu'jie'nan
购物街中,gou'wu'jie'zhong
购物中心,gou'wu'zhong'xin
国防大厦,guo'fang'da'sha
果园村,guo'yuan'cun
海富花园,hai'fu'hua'yuan
海景酒店,hai'jing'jiu'dian
河清理,he'qing'li
河清里,he'qing'li
红进广场,hong'jin'guang'chang
虹桥路口,hong'qiao'lu'kou
后溪,hou'xi
华润万家,hua'run'wan'jia
花园酒店,hua'yuan'jiu'dian
嘉荣商场,jia'rong'shang'chang
检测站,jian'ce'zhan
建设局,jian'she'ju
教伦中学,jiao'lun'zhong'xue
金汇广场,jin'hui'guang'chang
金鸡,jin'ji
金侨城,jin'qiao'cheng
金桥城,jin'qiao'cheng
金山公园,jin'shan'gong'yuan
金山中学,jin'shan'zhong'xue
津园,jin'yuan
金中广场,jin'zhong'guang'chang
迳头管区,jing'tou'guan'qu
开锋,kai'feng
开平大厦,kai'ping'da'sha
开平一中,kai'ping'yi'zhong
开侨中学,kai'qiao'zhong'xue
劳保局,lao'bao'ju
勒冲管区,le'chong'guan'qu
勒冲站,le'chong'zhan
联竹,lian'zhu
龙背,long'bei
龙东,long'dong
龙塘,long'tang
梅园,mei'yuan
面粉厂,mian'fen'chang
幕村管区,mu'cun'guan'qu
幕沙中,mu'sha'zhong
南联,nan'lian
南楼,nan'lou
牛眠沙,niu'mian'sha
农民城路口,nong'min'cheng'lu'kou
泮村小学,pan'cun'xiao'xue
泮村中学,pan'cun'zhong'xue
汽车站,qi'che'zhan
齐塘,qi'tang
侨路,qiao'lu
侨园,qiao'yuan
青少宫,qing'shao'gong
人和路,ren'he'lu
人民医院,ren'min'yi'yuan
肉联厂,rou'lian'chang
三埠区府,san'bu'qu'fu
三江大道北,san'jiang'da'dao'bei
三江大道南,san'jiang'da'dao'nan
三江大道中,san'jiang'da'dao'zhong
三江桥头,san'jiang'qiao'tou
三联,san'lian
世纪之舟,shi'ji'zhi'zhou
矢山,shi'shan
石油公司,shi'you'gong'si
市政府,shi'zheng'fu
曙光西,shu'guang'xi
曙光中,shu'guang'zhong
水口客运站,shui'kou'ke'yun'zhan
水口侨联,shui'kou'qiao'lian
水口外贸,shui'kou'wai'mao
司法局,si'fa'ju
寺前墟,si'qian'xu
思始市场,si'shi'shi'chang
松溪路口,song'xi'lu'kou
台山路口,tai'shan'lu'kou
潭江大厦,tan'jiang'da'sha
塘良路口,tang'liang'lu'kou
体育馆,ti'yu'guan
天富豪庭,tian'fu'hao'ting
卫东管区,wei'dong'guan'qu
为星药业,wei'xing'yao'ye
五龙,wu'long
西郊路,xi'jiao'lu
蚬岗,xian'gang
祥荻桥头,xiang'di'qiao'tou
祥荻中,xiang'di'zhong
祥和路,xiang'he'lu
祥龙路,xiang'long'lu
祥龙中,xiang'long'zhong
祥兴市场,xiang'xing'shi'chang
向阳路口,xiang'yang'lu'kou
祥苑邮政局,xiang'yuan'you'zheng'ju
新安路口,xin'an'lu'kou
新昌公园,xin'chang'gong'yuan
新昌女人街,xin'chang'nv'ren'jie
新昌桥头,xin'chang'qiao'tou
新昌市场,xin'chang'shi'chang
新昌中医院,xin'chang'zhong'yi'yuan
新地村,xin'di'cun
新宇丰制衣厂,xin'yu'feng'zhi'yi'chang
幸福市场,xing'fu'shi'chang
兴时年,xing'shi'nian
兴耀花园,xing'yao'hua'yuan
沿江东路,yan'jiang'dong'lu
样和路,yang'he'lu
义祠,yi'ci
义祠站,yi'ci'zhan
怡景区,yi'jing'qu
怡景园,yi'jing'yuan
依利安达,yi'li'an'da
银海市场,yin'hai'shi'chang
邮政局,you'zheng'ju
张立群医院,zhang'li'qun'yi'yuan
振华墟,zhen'hua'xu
中股,zhong'gu
中和中,zhong'he'zhong
中山管区,zhong'shan'guan'qu
中山花园,zhong'shan'hua'yuan
中山市场,zhong'shan'shi'chang
中心医院,zhong'xin'yi'yuan
中颐海伦堡,zhong'yi'hai'lun'bao
中医院,zhong'yi'yuan
忠源中学,zhong'yuan'zhong'xue
祝华坊,zhu'hua'fang
