艾菊,ai'ju
矮牵牛,ai'qian'niu
桉树,an'shu
八角金盘,ba'jiao'jin'pan
霸王鞭,ba'wang'bian
八仙花,ba'xian'hua
白车轴草,bai'che'zhou'cao
百合类,bai'he'lei
白鹤芋,bai'he'yu
白花紫露草,bai'hua'zi'lu'cao
白及,bai'ji
白鹃梅,bai'juan'mei
白兰花,bai'lan'hua
百里香,bai'li'xiang
百脉根,bai'mai'gen
白千层,bai'qian'ceng
百日草,bai'ri'cao
白三叶,bai'san'ye
白穗花,bai'sui'hua
白头翁,bai'tou'weng
白云锦,bai'yun'jin
百子莲,bai'zi'lian
半边莲,ban'bian'lian
斑点梅笠草,ban'dian'mei'li'cao
斑鸠菊,ban'jiu'ju
瓣蕊唐松草,ban'rui'tang'song'cao
斑叶香芋,ban'ye'xiang'yu
半支莲,ban'zhi'lian
报春花,bao'chun'hua
宝绿,bao'lv
贝壳花,bei'ke'hua
闭鞘姜,bi'qiao'jiang
变叶木,bian'ye'mu
扁叶芋,bian'ye'yu
杓兰,biao'lan
别名长春花,bie'ming'chang'chun'hua
别名春梅,bie'ming'chun'mei
别名黄华,bie'ming'huang'hua
别名凌波仙子,bie'ming'ling'bo'xian'zi
别名木芍药,bie'ming'mu'shao'yao
别名玉茗花,bie'ming'yu'ming'hua
薄荷,bo'he
玻璃菊,bo'li'ju
博落回,bo'luo'hui
波斯菊,bo'si'ju
卜若地,bu'ruo'di
彩叶草,cai'ye'cao
草菖蒲,cao'chang'pu
草地风毛菊,cao'di'feng'mao'ju
草珊瑚,cao'shan'hu
草原龙胆,cao'yuan'long'dan
侧金盏花,ce'jin'zhan'hua
长春花,chang'chun'hua
常春藤,chang'chun'teng
常春油麻藤,chang'chun'you'ma'teng
常见花卉的别名,chang'jian'hua'hui'de'bie'ming
菖蒲,chang'pu
巢凤梨,chao'feng'li
赪凤梨,cheng'feng'li
柽柳,cheng'liu
赪桐,cheng'tong
稠李,chou'li
雏菊,chu'ju
串金鱼,chuan'jin'yu
垂盆草,chui'pen'cao
春兰,chun'lan
慈姑,ci'gu
刺桐,ci'tong
葱兰,cong'lan
丛生风铃草,cong'sheng'feng'ling'cao
簇生山柳菊,cu'sheng'shan'liu'ju
翠菊,cui'ju
翠雀花,cui'que'hua
大花葱,da'hua'cong
大花蕙兰,da'hua'hui'lan
大花龙胆,da'hua'long'dan
大花美人蕉,da'hua'mei'ren'jiao
大花婆婆纳,da'hua'po'po'na
