白渡河,bai'du'he
白芒河,bai'mang'he
白盆珠水库,bai'pen'zhu'shui'ku
柏埔河,bai'pu'he
白沙河,bai'sha'he
白石河,bai'shi'he
白藤湖,bai'teng'hu
白云水,bai'yun'shui
浜江,bang'jiang
宝溪水,bao'xi'shui
北江,bei'jiang
波罗河,bo'luo'he
波罗坑,bo'luo'keng
沧江河,cang'jiang'he
曹江河,cao'jiang'he
草潭干渠,cao'tan'gan'qu
草尾洋河,cao'wei'yang'he
涔天河水库,cen'tian'he'shui'ku
长河水库,chang'he'shui'ku
长江河,chang'jiang'he
长潭,chang'tan
陈村水道,chen'cun'shui'dao
程江,cheng'jiang
澄江河,cheng'jiang'he
澄溪,cheng'xi
赤石河,chi'shi'he
船塘河,chuan'tang'he
大冲口,da'chong'kou
大岗沥,da'gang'li
大河,da'he
大角头水道,da'jiao'tou'shui'dao
大迳河,da'jing'he
大魁河,da'kui'he
大南海,da'nan'hai
大桥河,da'qiao'he
大沙河水渠,da'sha'he'shui'qu
大水,da'shui
大水桥干渠,da'shui'qiao'gan'qu
大潭河,da'tan'he
大涌河,da'yong'he
大沅水库,da'yuan'shui'ku
淡水河,dan'shui'he
倒运海水道,dao'yun'hai'shui'dao
德胜河,de'sheng'he
东安河,dong'an'he
东岸河,dong'an'he
东宝河,dong'bao'he
东干渠,dong'gan'qu
东海,dong'hai
东河,dong'he
东江,dong'jiang
东江河,dong'jiang'he
东江南支流,dong'jiang'nan'zhi'liu
东留溪,dong'liu'xi
东平河,dong'ping'he
东深河,dong'shen'he
东溪,dong'xi
都江河,dou'jiang'he
鹅坪河,e'ping'he
凤凰水库,feng'huang'shui'ku
枫江,feng'jiang
凤江水,feng'jiang'shui
枫树坝水库,feng'shu'ba'shui'ku
峰头水库,feng'tou'shui'ku
凤溪水库,feng'xi'shui'ku
佛山水道,fo'shan'shui'dao
抚江,fu'jiang
富石水库,fu'shi'shui'ku
凫洲河,fu'zhou'he
干河,gan'he
甘竹河,gan'zhu'he
高干渠,gao'gan'qu
高坡水库,gao'po'shui'ku
高溪,gao'xi
公村河,gong'cun'he
公庄水,gong'zhuang'shui
古城河,gu'cheng'he
古骨水库,gu'gu'shui'ku
桂河,gui'he
圭江,gui'jiang
桂江,gui'jiang
桂岭江,gui'ling'jiang
桂洲水道,gui'zhou'shui'dao
海洲水道,hai'zhou'shui'dao
韩江,han'jiang
韩江东溪,han'jiang'dong'xi
韩江西溪,han'jiang'xi'xi
鹤地水库,he'di'shui'ku
贺江,he'jiang
合面狮水库,he'mian'shi'shui'ku
合水水库,he'shui'shui'ku
横东河,heng'dong'he
横门水道,heng'men'shui'dao
洪奇沥,hong'qi'li
葫芦水库,hu'lu'shui'ku
湖罗冲,hu'luo'chong
虎跳门水道,hu'tiao'men'shui'dao
花山溪,hua'shan'xi
黄厝草溪,huang'cuo'cao'xi
黄洞河,huang'dong'he
黄冈河,huang'gang'he
黄华河,huang'hua'he
黄华江,huang'hua'jiang
黄江,huang'jiang
黄陂河,huang'pi'he
黄沙水库,huang'sha'shui'ku
黄潭河,huang'tan'he
黄田江,huang'tian'jiang
黄斋江,huang'zhai'jiang
吉潭河,ji'tan'he
鸡啼门水道,ji'ti'men'shui'dao
鸡鸦水道,ji'ya'shui'dao
建城河,jian'cheng'he
鉴江,jian'jiang
鉴西江,jian'xi'jiang
江华水,jiang'hua'shui
江门水道,jiang'men'shui'dao
洚水河,jiang'shui'he
蕉林河,jiao'lin'he
蕉门水道,jiao'men'shui'dao
金场水,jin'chang'shui
锦江,jin'jiang
锦江水库,jin'jiang'shui'ku
金溪,jin'xi
锦溪,jin'xi
金银河,jin'yin'he
九峰溪,jiu'feng'xi
九姜河,jiu'jiang'he
九曲河,jiu'qu'he
九嶷河,jiu'yi'he
九洲江,jiu'zhou'jiang
濑溪,lai'xi
榄核河,lan'he'he
雷州青年运河,lei'zhou'qing'nian'yun'he
雷州青年运河东海河,lei'zhou'qing'nian'yun'he'dong'hai'he
雷州青年运河东运河,lei'zhou'qing'nian'yun'he'dong'yun'he
雷州青年运河西运河,lei'zhou'qing'nian'yun'he'xi'yun'he
丽江,li'jiang
沥沁沙水道,li'qin'sha'shui'dao
里溪河,li'xi'he
联安水库,lian'an'shui'ku
连城河,lian'cheng'he
莲花山水道,lian'hua'shan'shui'dao
濂江,lian'jiang
练江,lian'jiang
连平河,lian'ping'he
凉港河,liang'gang'he
梁化河,liang'hua'he
麟潭江,lin'tan'jiang
陵江,ling'jiang
凌江,ling'jiang
六堡河,liu'bao'he
骝岗冲,liu'gang'chong
六官水,liu'guan'shui
六麻河,liu'ma'he
流溪河,liu'xi'he
流溪河水库,liu'xi'he'shui'ku
龙江,long'jiang
龙颈水库,long'jing'shui'ku
龙潭河,long'tan'he
龙潭水库,long'tan'shui'ku
龙塘河,long'tang'he
龙头河,long'tou'he
龙溪,long'xi
渌水河,lu'shui'he
芦溪,lu'xi
螺河,luo'he
罗江,luo'jiang
罗寨水库,luo'zhai'shui'ku
麻江,ma'jiang
马尾河,ma'wei'he
马圩河,ma'xu'he
梅河,mei'he
袂花江,mei'hua'jiang
梅江,mei'jiang
梅潭河,mei'tan'he
梅西水库,mei'xi'shui'ku
墨江,mo'jiang
莫西运河,mo'xi'yun'he
漠阳江,mo'yang'jiang
木溪河,mu'xi'he
南渡河,nan'du'he
南花溪,nan'hua'xi
南江,nan'jiang
南水沥,nan'shui'li
南水水库,nan'shui'shui'ku
南溪河,nan'xi'he
南溪坑,nan'xi'keng
宁江,ning'jiang
沤江,ou'jiang
蟠龙河,pan'long'he
泡水,pao'shui
淇江,qi'jiang
岐岭河,qi'ling'he
琴江,qin'jiang
青龙河,qing'long'he
青溪河,qing'xi'he
秋溪河,qiu'xi'he
秋香江,qiu'xiang'jiang
泉水水库,quan'shui'shui'ku
热水河,re'shui'he
仁化河,ren'hua'he
仁居河,ren'ju'he
榕江,rong'jiang
榕江北河,rong'jiang'bei'he
榕江河,rong'jiang'he
榕江南河,rong'jiang'nan'he
儒洞河,ru'dong'he
三合冲,san'he'chong
三夹海,san'jia'hai
三坑水库,san'keng'shui'ku
三利溪,san'li'xi
三丫江,san'ya'jiang
沙河,sha'he
沙角沥,sha'jiao'li
沙琅江,sha'lang'jiang
沙田河,sha'tian'he
沙湾水道,sha'wan'shui'dao
沙心冲,sha'xin'chong
上八水库,shang'ba'shui'ku
上横沥,shang'heng'li
上小河,shang'xiao'he
深圳河,shen'zhen'he
深圳水库,shen'zhen'shui'ku
石陂面溪,shi'bei'mian'xi
石窟河,shi'ku'he
石马河,shi'ma'he
石岐河,shi'qi'he
石头河,shi'tou'he
寿长河,shou'chang'he
水市水库,shui'shi'shui'ku
顺德水道,shun'de'shui'dao
舜水,shun'shui
思良江,si'liang'jiang
四县市联合总干渠,si'xian'shi'lian'he'zong'gan'qu
松木山水库,song'mu'shan'shui'ku
松源河,song'yuan'he
松竹河,song'zhu'he
绥江,sui'jiang
潭江,tan'jiang
潭水河,tan'shui'he
潭下河,tan'xia'he
潭洲水道,tan'zhou'shui'dao
汤溪水库,tang'xi'shui'ku
桃江,tao'jiang
田基沙沥,tian'ji'sha'li
田流水,tian'liu'shui
天堂山水库,tian'tang'shan'shui'ku
汀江,ting'jiang
土乐水库,tu'le'shui'ku
外砂河,wai'sha'he
温公水库,wen'gong'shui'ku
汶罗河,wen'luo'he
翁江,weng'jiang
涡水河,wo'shui'he
五华河,wu'hua'he
武江,wu'jiang
雾江河,wu'jiang'he
武水,wu'shui
武水河,wu'shui'he
梧桐河,wu'tong'he
西福河,xi'fu'he
西干渠,xi'gan'qu
西河,xi'he
西江,xi'jiang
西林河,xi'lin'he
溪美溪,xi'mei'xi
西山河,xi'shan'he
西溪河,xi'xi'he
西支江,xi'zhi'jiang
霞峰溪,xia'feng'xi
下小河,xia'xiao'he
显岗水库,xian'gang'shui'ku
象溪,xiang'xi
向阳水库,xiang'yang'shui'ku
小北江,xiao'bei'jiang
小江河,xiao'jiang'he
小榄水道,xiao'lan'shui'dao
小沥河,xiao'li'he
新丰江,xin'feng'jiang
新丰江水库,xin'feng'jiang'shui'ku
新津河,xin'jin'he
新兴江,xin'xing'jiang
绣江,xiu'jiang
寻乌河,xun'wu'he
亚山江,ya'shan'jiang
雁田水库,yan'tian'shui'ku
杨梅河,yang'mei'he
洋溪河,yang'xi'he
义昌河,yi'chang'he
义容河,yi'rong'he
益塘水库,yi'tang'shui'ku
永定河,yong'ding'he
油罗口水库,you'luo'kou'shui'ku
友谊河,you'yi'he
渔涝河,yu'lao'he
圆墩河,yuan'dun'he
悦城河,yue'cheng'he
岳湖潭,yue'hu'tan
增江,zeng'jiang
漳江,zhang'jiang
章江,zhang'jiang
浙江河,zhe'jiang'he
镇岗河,zhen'gang'he
镇海水,zhen'hai'shui
镇海水渠,zhen'hai'shui'qu
浈江,zhen'jiang
浈水,zhen'shui
织河,zhi'he
中部排水渠,zhong'bu'pai'shui'qu
中河,zhong'he
钟水,zhong'shui
忠信水,zhong'xin'shui
中州河,zhong'zhou'he
中洲河,zhong'zhou'he
珠江,zhu'jiang
浊水河,zhuo'shui'he
紫坭河,zi'ni'he
左干渠,zuo'gan'qu
