薄层扫描,bao'ceng'sao'miao
比释动能,bi'shi'dong'neng
比特,bi'te
表面阴影显示,biao'mian'yin'ying'xian'shi
并行采集,bing'xing'cai'ji
波粒二象性,bo'li'er'xiang'xing
波谱,bo'pu
采集时间,cai'ji'shi'jian
层厚,ceng'hou
层间距,ceng'jian'ju
超导体,chao'dao'ti
弛豫,chi'yu
重叠扫描,chong'die'sao'miao
重复时间,chong'fu'shi'jian
重建函数,chong'jian'han'shu
重建时间,chong'jian'shi'jian
重建算法,chong'jian'suan'fa
窗宽,chuang'kuan
窗位,chuang'wei
磁场,ci'chang
磁共振,ci'gong'zhen
磁矩,ci'ju
磁敏感,ci'min'gan
磁体,ci'ti
磁旋比,ci'xuan'bi
达峰时间,da'feng'shi'jian
当量剂量,dang'liang'ji'liang
刀锋技术,dao'feng'ji'shu
低剂量扫描,di'ji'liang'sao'miao
电子对效应,dian'zi'dui'xiao'ying
迭代法,die'dai'fa
定位扫描,ding'wei'sao'miao
定位像,ding'wei'xiang
动态扫描,dong'tai'sao'miao
断层扫描,duan'ceng'sao'miao
多平面重组,duo'ping'mian'chong'zu
俄歇效应,e'xie'xiao'ying
反投影法,fan'tou'ying'fa
反转恢复,fan'zhuan'hui'fu
反转时间,fan'zhuan'shi'jian
放大扫描,fang'da'sao'miao
仿真内窥镜,fang'zhen'nei'kui'jing
非螺旋扫描,fei'luo'xuan'sao'miao
附加滤过,fu'jia'lv'guo
傅里叶变换,fu'li'ye'bian'huan
高分辨率扫描,gao'fen'bian'lv'sao'miao
高压波形,gao'ya'bo'xing
高压发生器,gao'ya'fa'sheng'qi
固有滤过,gu'you'lv'guo
管电流,guan'dian'liu
管电压,guan'dian'ya
光电效应,guang'dian'xiao'ying
光核反应,guang'he'fan'ying
鬼影,gui'ying
过采样,guo'cai'yang
核素,he'su
呼吸门控,hu'xi'men'kong
化学位移,hua'xue'wei'yi
回波时间,hui'bo'shi'jian
灰阶,hui'jie
焦点,jiao'dian
解析法,jie'xi'fa
进动,jin'dong
静磁场,jing'ci'chang
距离防护,ju'li'fang'hu
矩阵,ju'zhen
卷积核,juan'ji'he
卷褶,juan'zhe
康普顿效应,kang'pu'dun'xiao'ying
空间分辨力,kong'jian'fen'bian'li
快速自旋回波,kuai'su'zi'xuan'hui'bo
拉莫尔,la'mo'er
螺距,luo'ju
螺旋扫描,luo'xuan'sao'miao
滤波,lv'bo
滤波函数,lv'bo'han'shu
滤过器,lv'guo'qi
密度分辨率,mi'du'fen'bian'lv
弥散,mi'san
魔方技术,mo'fang'ji'shu
模数转换,mo'shu'zhuan'huan
钼靶,mu'ba
频率编码,pin'lv'bian'ma
屏蔽防护,ping'bi'fang'hu
平面回波,ping'mian'hui'bo
铅当量,qian'dang'liang
球管,qiu'guan
曲面重建,qu'mian'chong'jian
确定性效应,que'ding'xing'xiao'ying
热容量,re'rong'liang
容积扫描,rong'ji'sao'miao
容积效应,rong'ji'xiao'ying
容积再现法,rong'ji'zai'xian'fa
柔线圈,rou'xian'quan
散热率,san're'lv
散射角,san'she'jiao
射频脉冲,she'pin'mai'chong
射线,she'xian
实际焦点,shi'ji'jiao'dian
时间防护,shi'jian'fang'hu
时间飞跃法,shi'jian'fei'yue'fa
时间分辨率,shi'jian'fen'bian'lv
视野,shi'ye
数模转换,shu'mo'zhuan'huan
双能扫描,shuang'neng'sao'miao
水成像,shui'cheng'xiang
随机性效应,sui'ji'xing'xiao'ying
探测器,tan'ce'qi
碳刷,tan'shua
特斯拉,te'si'la
梯度磁场,ti'du'ci'chang
梯度回波,ti'du'hui'bo
梯度线圈,ti'du'xian'quan
体素,ti'su
体线圈,ti'xian'quan
调制传递函数,tiao'zhi'chuan'di'han'shu
听眶线,ting'kuang'xian
听眉线,ting'mei'xian
听眦线,ting'zi'xian
伪影,wei'ying
吸收剂量,xi'shou'ji'liang
线圈,xian'quan
像素,xiang'su
相位编码,xiang'wei'bian'ma
心电门控,xin'dian'men'kong
信噪比,xin'zao'bi
压水,ya'shui
压脂,ya'zhi
延迟扫描,yan'chi'sao'miao
阳极靶面,yang'ji'ba'mian
阳极倾角,yang'ji'qing'jiao
阳极热容量,yang'ji're'rong'liang
阳极散热率,yang'ji'san're'lv
影像数据,ying'xiang'shu'ju
永磁体,yong'ci'ti
有效剂量,you'xiao'ji'liang
有效焦点,you'xiao'jiao'dian
原始数据,yuan'shi'shu'ju
噪声,zao'sheng
增强扫描,zeng'qiang'sao'miao
照射量,zhao'she'liang
振幅,zhen'fu
指脉,zhi'mai
主磁场,zhu'ci'chang
准直器,zhun'zhi'qi
自旋运动,zi'xuan'yun'dong
最大密度投影,zui'da'mi'du'tou'ying
最小密度投影,zui'xiao'mi'du'tou'ying
