阿摩司,a'mo'si
暗利,an'li
巴卜,ba'bu
八布迦,ba'bu'jia
巴底买,ba'di'mai
巴顿,ba'dun
巴多罗买,ba'duo'luo'mai
巴哈摩押,ba'ha'mo'ya
巴柯,ba'ke
巴拉,ba'la
巴拉巴,ba'la'ba
巴拉但,ba'la'dan
巴拉加,ba'la'jia
巴拉迦,ba'la'jia
巴兰,ba'lan
巴勒,ba'le
巴勒哈南,ba'le'ha'nan
巴力,ba'li
巴利斯,ba'li'si
巴利亚,ba'li'ya
巴录,ba'lu
八罗巴,ba'luo'ba
巴米拿,ba'mi'na
巴拿,ba'na
巴拿巴,ba'na'ba
巴尼,ba'ni
巴萨,ba'sa
巴撒巴,ba'sa'ba
巴沙,ba'sha
巴珊大他,ba'shan'da'ta
拔示巴,ba'shi'ba
巴施户珥,ba'shi'hu'er
巴实抹,ba'shi'mo
巴瓦伊,ba'wa'yi
巴西莱,ba'xi'lai
巴洗律,ba'xi'lv
巴西亚,ba'xi'ya
巴西雅,ba'xi'ya
巴耶稣,ba'ye'su
巴约拿,ba'yue'na
半尼其,ban'ni'qi
比拜,bi'bai
比达,bi'da
比大黑,bi'da'hei
比大蓿,bi'da'xu
比但,bi'dan
比底雅,bi'di'ya
比珥,bi'er
比歌拉,bi'ge'la
比革他,bi'ge'ta
比革瓦伊,bi'ge'wa'yi
比基利,bi'ji'li
比加,bi'jia
比加辖,bi'jia'xia
比结,bi'jie
比拉,bi'la
比拉迦,bi'la'jia
比拉雅,bi'la'ya
比勒,bi'le
比勒达,bi'le'da
比利,bi'li
比利家,bi'li'jia
比利迦,bi'li'jia
比利亚,bi'li'ya
比利雅大,bi'li'ya'da
比列,bi'lie
比路大,bi'lu'da
比罗达巴拉但,bi'luo'da'ba'la'dan
比拿亚,bi'na'ya
比拿雅,bi'na'ya
比嫩,bi'nen
比尼努,bi'ni'nu
比尼亚,bi'ni'ya
比挪,bi'nuo
比撒列,bi'sa'lie
比撒威,bi'sa'wei
比赛,bi'sai
比沙,bi'sha
比斯他,bi'si'ta
比所玳,bi'suo'dai
比提雅,bi'ti'ya
比悉,bi'xi
比亚利雅,bi'ya'li'ya
参孙,can'sun
大比大,da'bi'da
大拉,da'la
大利拉,da'li'la
大利乌,da'li'wu
大马哩,da'ma'li
大坍,da'tan
大卫,da'wei
但以理,dan'yi'li
底波拉,di'bo'la
俄巴底亚,e'ba'di'ya
俄陀聂,e'tuo'nie
