安溪乡,an'xi'xiang
岙头村,ao'tou'cun
白墩村,bai'dun'cun
白龙山街道,bai'long'shan'jie'dao
包山村,bao'shan'cun
背村,bei'cun
北溪村,bei'xi'cun
菖浦砻村,chang'pu'long'cun
长田村,chang'tian'cun
长汀村,chang'ting'cun
陈村村,chen'cun'cun
陈家村,chen'jia'cun
陈坞村,chen'wu'cun
程宅村,cheng'zhai'cun
赤石村,chi'shi'cun
赤石乡,chi'shi'xiang
崇头村,chong'tou'cun
崇头镇,chong'tou'zhen
村头村,cun'tou'cun
大村,da'cun
大岗山村,da'gang'shan'cun
大南山村,da'nan'shan'cun
大牛村,da'niu'cun
大坪村,da'ping'cun
大湾村,da'wan'cun
大徐村,da'xu'cun
大源村,da'yuan'cun
大源口村,da'yuan'kou'cun
担布坑村,dan'bu'keng'cun
靛青山村,dian'qing'shan'cun
店子村,dian'zi'cun
东岱村,dong'dai'cun
渡蛟村,du'jiao'cun
饭甑砻村,fan'zeng'long'cun
凤凰山街道,feng'huang'shan'jie'dao
枫桶岗村,feng'tong'gang'cun
浮云街道,fu'yun'jie'dao
浮云社区,fu'yun'she'qu
高定村,gao'ding'cun
高山村,gao'shan'cun
高畲村,gao'she'cun
高胥村,gao'xu'cun
隔溪寮村,ge'xi'liao'cun
古竹村,gu'zhu'cun
规溪村,gui'xi'cun
贵溪村,gui'xi'cun
贵庄村,gui'zhuang'cun
河坑村,he'keng'cun
河上村,he'shang'cun
横山头村,heng'shan'tou'cun
红光村,hong'guang'cun
后村,hou'cun
后山村,hou'shan'cun
湖滨村,hu'bin'cun
黄处村,huang'chu'cun
黄地村,huang'di'cun
黄家地村,huang'jia'di'cun
黄家畲村,huang'jia'she'cun
黄水碓村,huang'shui'dui'cun
黄庄村,huang'zhuang'cun
回龙山村,hui'long'shan'cun
建林村,jian'lin'cun
建升村,jian'sheng'cun
建源村,jian'yuan'cun
解放社区,jie'fang'she'qu
金村村,jin'cun'cun
金山下村,jin'shan'xia'cun
金水坑村,jin'shui'keng'cun
紧水滩镇,jin'shui'tan'zhen
局村村,ju'cun'cun
坑根村,keng'gen'cun
坑下村,keng'xia'cun
李山前村,li'shan'qian'cun
栗溪村,li'xi'cun
联合村,lian'he'cun
莲塘村,lian'tang'cun
临海村,lin'hai'cun
林山村,lin'shan'cun
林山下村,lin'shan'xia'cun
岭足村,ling'zu'cun
龙渡村,long'du'cun
龙门村,long'men'cun
砻铺村,long'pu'cun
砻头村,long'tou'cun
麻村,ma'cun
梅砻村,mei'long'cun
梅山村,mei'shan'cun
梅湾村,mei'wan'cun
梅源村,mei'yuan'cun
梅竹村,mei'zhu'cun
睦田村,mu'tian'cun
木樨花村,mu'xi'hua'cun
南洞村,nan'dong'cun
南坑村,nan'keng'cun
南山村,nan'shan'cun
潘山头村,pan'shan'tou'cun
盘条口村,pan'tiao'kou'cun
坪地村,ping'di'cun
坪岗村,ping'gang'cun
平里村,ping'li'cun
巧云村,qiao'yun'cun
勤俭村,qin'jian'cun
青阳门社区,qing'yang'men'she'qu
泉溪村,quan'xi'cun
瑞滩村,rui'tan'cun
箬溪社区,ruo'xi'she'qu
三门村,san'men'cun
三望栏村,san'wang'lan'cun
桑岭村,sang'ling'cun
沙铺村,sha'pu'cun
沙溪村,sha'xi'cun
杉板坑村,shan'ban'keng'cun
山脚村,shan'jiao'cun
上村村,shang'cun'cun
商坑下村,shang'keng'xia'cun
上坪村,shang'ping'cun
沈岸村,shen'an'cun
沈村村,shen'cun'cun
沈庄村,shen'zhuang'cun
石门坑村,shi'men'keng'cun
石浦村,shi'pu'cun
石水缸村,shi'shui'gang'cun
石塘村,shi'tang'cun
石塘坑村,shi'tang'keng'cun
石塘镇,shi'tang'zhen
蔬菜村,shu'cai'cun
双港村,shuang'gang'cun
水碓村,shui'dui'cun
水竹村,shui'zhu'cun
苏坑村,su'keng'cun
滩下村,tan'xia'cun
桃子坑村,tao'zi'keng'cun
田村,tian'cun
田铺村,tian'pu'cun
天堂坑村,tian'tang'keng'cun
瓦窑村,wa'yao'cun
外村,wai'cun
王荫山村,wang'yin'shan'cun
乌弄坑村,wu'nong'keng'cun
雾溪村,wu'xi'cun
雾溪乡,wu'xi'xiang
西坑村,xi'keng'cun
溪口村,xi'kou'cun
西弄村,xi'nong'cun
下村,xia'cun
下村村,xia'cun'cun
夏家村,xia'jia'cun
下坑村,xia'keng'cun
下武村,xia'wu'cun
霞晓桥村,xia'xiao'qiao'cun
象山村,xiang'shan'cun
项山村,xiang'shan'cun
小顺村,xiao'shun'cun
小徐村,xiao'xu'cun
新华社区,xin'hua'she'qu
新建村,xin'jian'cun
新林村,xin'lin'cun
新岭村,xin'ling'cun
徐湖村,xu'hu'cun
严山村,yan'shan'cun
岩下村,yan'xia'cun
杨村村,yang'cun'cun
杨家山村,yang'jia'shan'cun
叶村,ye'cun
叶村坪村,ye'cun'ping'cun
叶山头村,ye'shan'tou'cun
阴岩村,yin'yan'cun
元和街道,yuan'he'jie'dao
元和社区,yuan'he'she'qu
云坛村,yun'tan'cun
云章村,yun'zhang'cun
张川村,zhang'chuan'cun
张化村,zhang'hua'cun
张家地村,zhang'jia'di'cun
张兰村,zhang'lan'cun
张源头村,zhang'yuan'tou'cun
张庄村,zhang'zhuang'cun
柘园村,zhe'yuan'cun
中山社区,zhong'shan'she'qu
朱村村,zhu'cun'cun
竹坑村,zhu'keng'cun
朱宅村,zhu'zhai'cun
竹子坪村,zhu'zi'ping'cun
庄前村,zhuang'qian'cun
梓坊村,zi'fang'cun
