阿尔伯特史怀哲,a'er'bo'te'shi'huai'zhe
阿尔法组,a'er'fa'zu
阿古斯,a'gu'si
阿古斯大尉,a'gu'si'da'wei
阿拉伯联盟议长,a'la'bo'lian'meng'yi'zhang
布莱克,bu'lai'ke
布莱克布尔,bu'lai'ke'bu'er
沉船湾,chen'chuan'wan
成大校草,cheng'da'xiao'cao
重逢乌鲁克,chong'feng'wu'lu'ke
窗边索吻,chuang'bian'suo'wen
丹尼尔,dan'ni'er
丹尼尔医生,dan'ni'er'yi'sheng
东海部队,dong'hai'bu'dui
冻龄美女,dong'ling'mei'nv
腹腔内出血,fu'qiang'nei'chu'xie
海星医疗队,hai'xing'yi'liao'dui
海星医院,hai'xing'yi'yuan
韩剧,han'ju
积极仲基,ji'ji'zhong'ji
姜暮烟,jiang'mu'yan
姜信日,jiang'xin'ri
金恩淑,jin'en'shu
晋久,jin'jiu
金敏硕,jin'min'shuo
金起范,jin'qi'fan
金元锡,jin'yuan'xi
金智媛,jin'zhi'yuan
开腹手术,kai'fu'shou'shu
恐怖分子,kong'bu'fen'zi
孔下士,kong'xia'shi
孔哲镐,kong'zhe'gao
蓝洞,lan'dong
李光洙,li'guang'zhu
李艺花,li'yi'hua
李应福,li'ying'fu
李珍基,li'zhen'ji
李致勋,li'zhi'xun
联合国维和部队,lian'he'guo'wei'he'bu'dui
撩妹,liao'mei
撩妹技能,liao'mei'ji'neng
烈性炸弹,lie'xing'zha'dan
刘时镇,liu'shi'zhen
柳时镇,liu'shi'zhen
陆军特战司令部,lu'jun'te'zhan'si'ling'bu
陆战队,lu'zhan'dui
美军三角洲,mei'jun'san'jiao'zhou
魔法订单,mo'fa'ding'dan
帕蒂玛,pa'di'ma
帕提侬神庙,pa'ti'nong'shen'miao
铅中毒,qian'zhong'du
乔妹,qiao'mei
青瓦台,qing'wa'tai
全秀珍,quan'xiu'zhen
十字韧带,shi'zi'ren'dai
双重饵雷,shuang'chong'er'lei
双宋,shuang'song
死亡商人,si'wang'shang'ren
宋慧乔,song'hui'qiao
宋仲基,song'zhong'ji
塔利班,ta'li'ban
太白部队,tai'bai'bu'dui
特战部队,te'zhan'bu'dui
天台吻,tian'tai'wen
铁血精诚,tie'xue'jing'cheng
温暖彼岸,wen'nuan'bi'an
五金店,wu'jin'dian
乌鲁克,wu'lu'ke
昔日战友,xi'ri'zhan'you
徐大荣,xu'da'rong
悬崖脱险,xuan'ya'tuo'xian
一级防御警报,yi'ji'fang'yu'jing'bao
尹吉俊,yin'ji'jun
尹美莱,yin'mei'lai
尹明珠,yin'ming'zhu
扎金索斯,zha'jin'suo'si
赵太官,zhao'tai'guan
针锋相对,zhen'feng'xiang'dui
正义的暴力,zheng'yi'de'bao'li
智囊仲基,zhi'nang'zhong'ji
治愈系罗曼史,zhi'yu'xi'luo'man'shi
仲基欧巴,zhong'ji'ou'ba
