插件,cha'jian
盗版服,dao'ban'fu
地皮,di'pi
凋零,diao'ling
躲猫猫,duo'mao'mao
海岛,hai'dao
红石矿石,hong'shi'kuang'shi
饥饿游戏,ji'e'you'xi
金镐,jin'gao
金剑,jin'jian
空岛,kong'dao
跨服传送,kua'fu'chuan'song
快捷菜单,kuai'jie'cai'dan
离线模式,li'xian'mo'shi
每周快照,mei'zhou'kuai'zhao
命令方块,ming'ling'fang'kuai
末影水晶,mo'ying'shui'jing
木镐,mu'gao
木剑,mu'jian
青青之岛,qing'qing'zhi'dao
圈地,quan'di
石镐,shi'gao
石剑,shi'jian
刷怪笼,shua'guai'long
铁镐,tie'gao
铁剑,tie'jian
压测,ya'ce
站墙,zhan'qiang
战桥,zhan'qiao
正版服,zheng'ban'fu
正版帐号,zheng'ban'zhang'hao
职业大乱斗,zhi'ye'da'luan'dou
主世界,zhu'shi'jie
钻石镐,zuan'shi'gao
钻石剑,zuan'shi'jian
