鞍形山口,an'xing'shan'kou
奥陶纪,ao'tao'ji
白垩纪,bai'e'ji
白霜,bai'shuang
半常绿森林,ban'chang'lv'sen'lin
半干旱地区,ban'gan'han'di'qu
板根,ban'gen
半荒漠,ban'huang'mo
斑晶,ban'jing
板块构造,ban'kuai'gou'zao
斑粝岩,ban'li'yan
斑纹带,ban'wen'dai
斑岩,ban'yan
板岩,ban'yan
斑状结构,ban'zhuang'jie'gou
暴风雪,bao'feng'xue
饱和空气,bao'he'kong'qi
保护色作用,bao'hu'se'zuo'yong
北半球,bei'ban'qiu
被动性康乐,bei'dong'xing'kang'le
北回归线,bei'hui'gui'xian
北极,bei'ji
北太平洋漂流,bei'tai'ping'yang'piao'liu
本初子午线,ben'chu'zi'wu'xian
崩堤,beng'di
崩积层,beng'ji'ceng
比热,bi're
鼻尾丘,bi'wei'qiu
变性土,bian'xing'tu
变质岩,bian'zhi'yan
变质作用,bian'zhi'zuo'yong
辫状河,bian'zhuang'he
表层流,biao'ceng'liu
表皮,biao'pi
表土,biao'tu
冰川沉积物,bing'chuan'chen'ji'wu
冰川地貌,bing'chuan'di'mao
冰川作用,bing'chuan'zuo'yong
冰底碛,bing'di'qi
冰斗,bing'dou
冰斗湖,bing'dou'hu
冰冠气候,bing'guan'qi'hou
冰核丘,bing'he'qiu
冰后隙,bing'hou'xi
冰砾阶地,bing'li'jie'di
冰砾泥,bing'li'ni
冰碛,bing'qi
冰碛平原,bing'qi'ping'yuan
冰碛平原水系,bing'qi'ping'yuan'shui'xi
冰蚀槽,bing'shi'cao
冰水沉积物,bing'shui'chen'ji'wu
冰楔作用,bing'xie'zuo'yong
冰堰湖,bing'yan'hu
冰缘,bing'yuan
冰沼土,bing'zhao'tu
剥蚀,bo'shi
播云,bo'yun
不称河,bu'chen'he
不对称褶曲,bu'dui'chen'zhe'qu
捕虏岩,bu'lu'yan
不能生物降解,bu'neng'sheng'wu'jiang'jie
不透水岩,bu'tou'shui'yan
残丘,can'qiu
残余风化层,can'yu'feng'hua'ceng
草甸土,cao'dian'tu
层积云,ceng'ji'yun
层理,ceng'li
层云,ceng'yun
常态分布,chang'tai'fen'bu
长狭潮道,chang'xia'chao'dao
潮汐带,chao'xi'dai
潮汐能,chao'xi'neng
尘暴,chen'bao
沉积物,chen'ji'wu
沉积岩,chen'ji'yan
城市蚕食,cheng'shi'can'shi
城市蔓延,cheng'shi'man'yan
城市形态,cheng'shi'xing'tai
成土作用,cheng'tu'zuo'yong
成岩作用,cheng'yan'zuo'yong
赤道,chi'dao
赤道无风带,chi'dao'wu'feng'dai
赤道雨林,chi'dao'yu'lin
持水量,chi'shui'liang
赤铁矿,chi'tie'kuang
冲沟,chong'gou
冲积平原,chong'ji'ping'yuan
臭氧层,chou'yang'ceng
抽样技巧,chou'yang'ji'qiao
除草,chu'cao
除草剂,chu'cao'ji
垂直成层结构,chui'zhi'cheng'ceng'jie'gou
垂直距离,chui'zhi'ju'li
春分,chun'fen
瓷土,ci'tu
丛生草,cong'sheng'cao
粗腐殖质,cu'fu'zhi'zhi
粗粒凝灰岩,cu'li'ning'hui'yan
粗砾滩,cu'li'tan
粗玄岩,cu'xuan'yan
粗质地土壤,cu'zhi'di'tu'rang
大理石,da'li'shi
大陆地壳,da'lu'di'qiao
大陆碰撞,da'lu'peng'zhuang
大陆破裂,da'lu'po'lie
大陆气团,da'lu'qi'tuan
大农场,da'nong'chang
大气结构,da'qi'jie'gou
大气扰动,da'qi'rao'dong
大洋地壳,da'yang'di'qiao
代谢,dai'xie
带状湖,dai'zhuang'hu
带状聚落,dai'zhuang'ju'luo
氮循环,dan'xun'huan
单一作物耕种,dan'yi'zuo'wu'geng'zhong
刀耕火种法,dao'geng'huo'zhong'fa
倒钩状水系,dao'gou'zhuang'shui'xi
导线,dao'xian
等高线,deng'gao'xian
等级大小层系,deng'ji'da'xiao'ceng'xi
等深线,deng'shen'xian
等温层,deng'wen'ceng
等压线,deng'ya'xian
等雨量线,deng'yu'liang'xian
地表径流,di'biao'jing'liu
地槽,di'cao
地层,di'ceng
低潮线,di'chao'xian
地盾,di'dun
地理惯性,di'li'guan'xing
地理信息系统,di'li'xin'xi'xi'tong
地面辐射,di'mian'fu'she
底盘,di'pan
底碛,di'qi
地堑,di'qian
地壳均衡,di'qiao'jun'heng
地壳运动,di'qiao'yun'dong
地球公转,di'qiu'gong'zhuan
地球仪,di'qiu'yi
地球自转,di'qiu'zi'zhuan
地热能,di're'neng
第三纪,di'san'ji
地势,di'shi
第四产业,di'si'chan'ye
第四纪,di'si'ji
底土层,di'tu'ceng
地图符号,di'tu'fu'hao
低温气候,di'wen'qi'hou
地文因素,di'wen'yin'su
地峡,di'xia
地下河,di'xia'he
地下水,di'xia'shui
地陷,di'xian
地形抬升,di'xing'tai'sheng
低压槽,di'ya'cao
低压系统,di'ya'xi'tong
地衣,di'yi
地震级数,di'zhen'ji'shu
地震仪,di'zhen'yi
地震源,di'zhen'yuan
地志,di'zhi
地质年表,di'zhi'nian'biao
地质年代,di'zhi'nian'dai
地质学,di'zhi'xue
地轴,di'zhou
地轴倾角,di'zhou'qing'jiao
地转风,di'zhuan'feng
淀积层,dian'ji'ceng
电离,dian'li
跌水潭,die'shui'tan
顶极群落,ding'ji'qun'luo
定量分析,ding'liang'fen'xi
定性分析,ding'xing'fen'xi
冻融作用,dong'rong'zuo'yong
动态平衡,dong'tai'ping'heng
动物区系,dong'wu'qu'xi
冻原气候,dong'yuan'qi'hou
冬至,dong'zhi
豆科作物,dou'ke'zuo'wu
陡坡,dou'po
断层角砾岩,duan'ceng'jiao'li'yan
断层线崖,duan'ceng'xian'ya
对流层,dui'liu'ceng
对流层顶,dui'liu'ceng'ding
对流雨,dui'liu'yu
对数,dui'shu
盾状火山,dun'zhuang'huo'shan
夺流河,duo'liu'he
多年生植物,duo'nian'sheng'zhi'wu
多年生作物,duo'nian'sheng'zuo'wu
多雨,duo'yu
厄尔尼诺现象,e'er'ni'nuo'xian'xiang
二叠纪,er'die'ji
伐木,fa'mu
泛古陆,fan'gu'lu
反聚集力,fan'ju'ji'li
反馈环,fan'kui'huan
反气旋式环流,fan'qi'xuan'shi'huan'liu
防波堤,fang'bo'di
防护林带,fang'hu'lin'dai
防火道,fang'huo'dao
飞白岩,fei'bai'yan
非地带性土壤,fei'di'dai'xing'tu'rang
废料回收,fei'liao'hui'shou
非生物环境,fei'sheng'wu'huan'jing
分汊率,fen'cha'lv
粪肥,fen'fei
焚风,fen'feng
分洪道,fen'hong'dao
分解生物,fen'jie'sheng'wu
粉砂壤土,fen'sha'rang'tu
分数比例尺,fen'shu'bi'li'chi
分水岭,fen'shui'ling
风暴大浪,feng'bao'da'lang
风化层,feng'hua'ceng
风积物,feng'ji'wu
风棱石,feng'leng'shi
锋面降水,feng'mian'jiang'shui
风蚀土脊,feng'shi'tu'ji
风蚀洼地,feng'shi'wa'di
风蚀柱,feng'shi'zhu
蜂窝状风化,feng'wo'zhuang'feng'hua
风向标,feng'xiang'biao
风向频度图,feng'xiang'pin'du'tu
风眼,feng'yan
腹地,fu'di
覆盖物,fu'gai'wu
负偏态,fu'pian'tai
辐射雾,fu'she'wu
腐生动物,fu'sheng'dong'wu
腐生植物,fu'sheng'zhi'wu
浮石,fu'shi
浮土,fu'tu
浮坞,fu'wu
负相关,fu'xiang'guan
浮游动物,fu'you'dong'wu
浮游生物,fu'you'sheng'wu
浮游植物,fu'you'zhi'wu
腐质,fu'zhi
钙层土,gai'ceng'tu
钙成土,gai'cheng'tu
钙质岩,gai'zhi'yan
感观环境,gan'guan'huan'jing
感热,gan're
干盐湖,gan'yan'hu
干燥作用,gan'zao'zuo'yong
高地,gao'di
高地气候,gao'di'qi'hou
高岗,gao'gang
高积云,gao'ji'yun
高岭土,gao'ling'tu
高山草甸土,gao'shan'cao'dian'tu
高原,gao'yuan
隔火路,ge'huo'lu
格网座标,ge'wang'zuo'biao
格状水系,ge'zhuang'shui'xi
根茎,gen'jing
更新世,geng'xin'shi
共生,gong'sheng
沟灌,gou'guan
构造运动,gou'zao'yun'dong
古地磁,gu'di'ci
谷风,gu'feng
古生代,gu'sheng'dai
古新世,gu'xin'shi
灌丛休耕法,guan'cong'xiu'geng'fa
灌木,guan'mu
光合作用,guang'he'zuo'yong
光化学氧化剂,guang'hua'xue'yang'hua'ji
轨道,gui'dao
硅化,gui'hua
硅铝层,gui'lv'ceng
硅镁层,gui'mei'ceng
过饱和,guo'bao'he
过度放牧,guo'du'fang'mu
海岸地貌,hai'an'di'mao
海滨线,hai'bin'xian
海堤,hai'di
海角,hai'jiao
海门口,hai'men'kou
海面升降运动,hai'mian'sheng'jiang'yun'dong
海蚀平台,hai'shi'ping'tai
海蚀隙,hai'shi'xi
海蚀柱,hai'shi'zhu
海峡,hai'xia
海啸,hai'xiao
