啊扎,a'zha
挨嗲了,ai'dia'le
矮罗落,ai'luo'luo
矮山堂,ai'shan'tang
挨兆,ai'zhao
巴麻油,ba'ma'you
霸腿,ba'tui
把爷,ba'ye
扮古古靓,ban'gu'gu'liang
板火,ban'huo
板路,ban'lu
雹雹车,bao'bao'che
爆秧,bao'yang
保爷,bao'ye
背食,bei'shi
绷绷,beng'beng
彪油,biao'you
剥落货,bo'luo'huo
波丝,bo'si
财马五,cai'ma'wu
产马,chan'ma
扯板路,che'ban'lu
扯大炮,che'da'pao
吃芒芒,chi'mang'mang
穿条子,chuan'tiao'zi
搓起,cuo'qi
打标枪,da'biao'qiang
打赖死,da'lai'si
打狼当,da'lang'dang
打迷子,da'mi'zi
歹马老板,dai'ma'lao'ban
代销店,dai'xiao'dian
当队长,dang'dui'zhang
屌杠,diao'gang
丁丁,ding'ding
顶顶广,ding'ding'guang
豆子鬼,dou'zi'gui
逗子鬼,dou'zi'gui
飞铜,fei'tong
坟直,fen'zhi
嘎嘎,ga'ga
嘎子窝,ga'zi'wo
改佬,gai'lao
赶单,gan'dan
干马辣,gan'ma'la
干死马,gan'si'ma
搞屎棍,gao'shi'gun
搞幽,gao'you
给你一骨雷,gei'ni'yi'gu'lei
狗屌,gou'diao
狗卵屎,gou'luan'shi
狗如,gou'ru
刮出来,gua'chu'lai
寡水,gua'shui
拐子,guai'zi
锅烧,guo'shao
哈里哈捣,ha'li'ha'dao
哈里哈气,ha'li'ha'qi
哈卵,ha'luan
好歹,hao'dai
好捞,hao'lao
好卵,hao'luan
好卵蠢,hao'luan'chun
好卵烦,hao'luan'fan
好卵好,hao'luan'hao
红河,hong'he
侯背,hou'bei
级管,ji'guan
挤老米,ji'lao'mi
讲点别的,jiang'dian'bie'de
嚼牙巴,jiao'ya'ba
脚鱼,jiao'yu
解古,jie'gu
精杂,jing'za
倔妈鬼叫,jue'ma'gui'jiao
军干,jun'gan
开边,kai'bian
克料子,ke'liao'zi
克死麻,ke'si'ma
空档,kong'dang
扣拜,kou'bai
扩索,kuo'suo
阔以,kuo'yi
赖豪,lai'hao
来一斗,lai'yi'dou
烂麻包,lan'ma'bao
廊子,lang'zi
廊子辣,lang'zi'la
老发,lao'fa
老盖,lao'gai
老杆子,lao'gan'zi
老考米,lao'kao'mi
老派,lao'pai
老屁眼,lao'pi'yan
老油条,lao'you'tiao
勒杯,le'bei
雷嘚,lei'de
累堆,lei'dui
燎菜,liao'cai
撩拐,liao'guai
料了克,liao'le'ke
料你一顿,liao'ni'yi'dun
伶精,ling'jing
拢边,long'bian
龙奶,long'nai
拢无,long'wu
卤粉,lu'fen
炉子,lu'zi
卵吊,luan'diao
卵崽,luan'zai
裸水,luo'shui
麻包,ma'bao
蚂拐,ma'guai
蚂拐跳塘,ma'guai'tiao'tang
麻直,ma'zhi
冒单,mao'dan
卯钓,mao'diao
猫冬瓜,mao'dong'gua
毛乃及,mao'nai'ji
毛秀才,mao'xiu'cai
么一下,me'yi'xia
妹得,mei'de
没晓得,mei'xiao'de
妹崽,mei'zai
蒙蒙凉枪,meng'meng'liang'qiang
米赖,mi'lai
密密,mi'mi
咪咪摸摸,mi'mi'mo'mo
灭食,mie'shi
莫过,mo'guo
莫克,mo'ke
木倒,mu'dao
母改,mu'gai
哪凯,na'kai
男把爷,nan'ba'ye
内码,nei'ma
鸟崽,niao'zai
女把爷,nv'ba'ye
胖盖,pang'gai
咆吁,pao'xu
炮子扩,pao'zi'kuo
痞发,pi'fa
枪银,qiang'yin
翘辫子,qiao'bian'zi
切粉,qie'fen
鳅鱼下面,qiu'yu'xia'mian
日头,ri'tou
勺得,shao'de
烧甲子,shao'jia'zi
熟手熟脚,shu'shou'shu'jiao
甩古,shuai'gu
甩脱,shuai'tuo
谁龙蹦,shui'long'beng
水人,shui'ren
岁告,sui'gao
谈板路,tan'ban'lu
糖包鸡屎,tang'bao'ji'shi
桃舅娘,tao'jiu'niang
铜匠,tong'jiang
窝芭芭,wo'ba'ba
我拐,wo'guai
我后,wo'hou
我晓得,wo'xiao'de
窝夜屎,wo'ye'shi
我崽,wo'zai
雾树,wu'shu
席豁,xi'huo
下米,xia'mi
闲事狗,xian'shi'gou
小橄榄,xiao'gan'lan
歇凉,xie'liang
醒昂醒昂,xing'ang'xing'ang
醒得好,xing'de'hao
醒橄榄,xing'gan'lan
醒龙,xing'long
嘘拐,xu'guai
血狗,xue'gou
压马路,ya'ma'lu
秧子,yang'zi
药费,yao'fei
也嘿,ye'hei
野崽,ye'zai
依妖,yi'yao
瘾饱饱,yin'bao'bao
有搞,you'gao
走野,zou'ye
