八中,ba'zhong
白草堰,bai'cao'yan
百货大楼,bai'huo'da'lou
白家庄,bai'jia'zhuang
柏井四村,bai'jing'si'cun
白泉中学,bai'quan'zhong'xue
办公楼,ban'gong'lou
磅房,bang'fang
保安,bao'an
保晋文化园,bao'jin'wen'hua'yuan
北郊钢材市场,bei'jiao'gang'cai'shi'chang
北岭坡,bei'ling'po
北山公园,bei'shan'gong'yuan
北阳胜,bei'yang'sheng
北暂石,bei'zan'shi
北庄口,bei'zhuang'kou
滨河公交车场,bin'he'gong'jiao'che'chang
滨江房地产,bin'jiang'fang'di'chan
殡仪馆,bin'yi'guan
菜市场,cai'shi'chang
侧石,ce'shi
常家沟口,chang'jia'gou'kou
长岭,chang'ling
陈家庄村口,chen'jia'zhuang'cun'kou
陈家庄口,chen'jia'zhuang'kou
辰祥房地产,chen'xiang'fang'di'chan
城建开发公司,cheng'jian'kai'fa'gong'si
城区政府,cheng'qu'zheng'fu
城市广场,cheng'shi'guang'chang
翠枫山,cui'feng'shan
大都会名店,da'du'hui'ming'dian
大连路信用社,da'lian'lu'xin'yong'she
大麦峪,da'mai'yu
大西庄,da'xi'zhuang
大阳泉,da'yang'quan
大阳泉矿,da'yang'quan'kuang
大阳泉信用社,da'yang'quan'xin'yong'she
电工机械厂,dian'gong'ji'xie'chang
电影院,dian'ying'yuan
东白岸村口,dong'bai'an'cun'kou
东方驾校,dong'fang'jia'xiao
东方幼儿园,dong'fang'you'er'yuan
东风,dong'feng
东关,dong'guan
东关花园,dong'guan'hua'yuan
东升,dong'sheng
东升市场,dong'sheng'shi'chang
东锁簧,dong'suo'huang
东锁簧村,dong'suo'huang'cun
段家庄口,duan'jia'zhuang'kou
二电厂,er'dian'chang
二矿宾馆,er'kuang'bin'guan
二矿广场,er'kuang'guang'chang
二矿剧场,er'kuang'ju'chang
二矿医院,er'kuang'yi'yuan
二院,er'yuan
凤凰城,feng'huang'cheng
冯家庄,feng'jia'zhuang
妇产医院,fu'chan'yi'yuan
福利院,fu'li'yuan
妇幼站,fu'you'zhan
干休所,gan'xiu'suo
高速公路阳泉服务区,gao'su'gong'lu'yang'quan'fu'wu'qu
高压电瓷厂,gao'ya'dian'ci'chang
圪套,ge'tao
工钢,gong'gang
公共交通总公司,gong'gong'jiao'tong'zong'gong'si
公共交通总公司临时停车点,gong'gong'jiao'tong'zong'gong'si'lin'shi'ting'che'dian
工商大厦,gong'shang'da'sha
工业学校,gong'ye'xue'xiao
古北口,gu'bei'kou
古贝口,gu'bei'kou
谷头村口,gu'tou'cun'kou
谷头口,gu'tou'kou
固庄矿,gu'zhuang'kuang
官道沟,guan'dao'gou
官道沟桥,guan'dao'gou'qiao
冠庄村,guan'zhuang'cun
冠庄垴,guan'zhuang'nao
冠庄影壁,guan'zhuang'ying'bi
光大银行,guang'da'yin'hang
广电大厦,guang'dian'da'sha
贵石沟,gui'shi'gou
贵石沟村,gui'shi'gou'cun
贵石沟村委会,gui'shi'gou'cun'wei'hui
汉河沟,han'he'gou
韩庄,han'zhuang
豪门家私,hao'men'jia'si
河底,he'di
河南口,he'nan'kou
河神庙,he'shen'miao
河下综合市场,he'xia'zong'he'shi'chang
