按板,an'ban
粑粑,ba'ba
巴巴跌子,ba'ba'die'zi
把浇,ba'jiao
百不咋儿,bai'bu'za'er
棒棒,bang'bang
报烂,bao'lan
背兴,bei'xing
奔茶木,ben'cha'mu
别幅,bie'fu
剥气虫,bo'qi'chong
不但啊,bu'dan'a
不咋,bu'za
长虫,chang'chong
迟骂糊,chi'ma'hu
闯国,chuang'guo
戳苯,chuo'ben
撺忙,cuan'mang
大东沿子,da'dong'yan'zi
大闺妮,da'gui'ni
耷拉,da'la
当价,dang'jia
敌包,di'bao
点子,dian'zi
东沿子,dong'yan'zi
对合,dui'he
对晓,dui'xiao
耳碎,er'sui
粪筐,fen'kuang
噶古,ga'gu
干件,gan'jian
干哕,gan'yue
胳夹,ge'jia
隔业,ge'ye
胳肘窝,ge'zhou'wo
古对,gu'dui
刮刮有,gua'gua'you
瓜子,gua'zi
怪好,guai'hao
过年,guo'nian
哈门,ha'men
海拉巴儿,hai'la'ba'er
海碗,hai'wan
汉门,han'men
喝拉,he'la
黑呀,hei'ya
哄不准,hong'bu'zhun
哄里,hong'li
后儿个,hou'er'ge
后年,hou'nian
胡龙,hu'long
胡沁,hu'qin
黄鼬,huang'you
唧唧尿,ji'ji'niao
尖赌,jian'du
降巴,jiang'ba
姜巴,jiang'ba
疥和马,jie'he'ma
结记,jie'ji
今儿个,jin'er'ge
砍亏,kan'kui
可腿盖,ke'tui'gai
裤除,ku'chu
筐筐,kuang'kuang
蓝板,lan'ban
烂套子,lan'tao'zi
浪叫,lang'jiao
里头,li'tou
凉么找,liang'me'zhao
拢子,long'zi
滤须,lv'xu
蚂蚱,ma'zha
茅道眼,mao'dao'yan
煤火镩,mei'huo'cuan
闷潜,men'qian
明儿个,ming'er'ge
木家,mu'jia
木闹儿,mu'nao'er
奶贺,nai'he
能带,neng'dai
腻外,ni'wai
蔫读,nian'du
年剩,nian'sheng
娘白脚子,niang'bai'jiao'zi
娘门儿,niang'men'er
鸟泡,niao'pao
排排,pai'pai
耪掘,pang'jue
屁户蛋儿,pi'hu'dan'er
皮脸,pi'lian
篇脸,pian'lian
破蒲翅,po'pu'chi
前年,qian'nian
前日个儿,qian'ri'ge'er
蛐蛐扇,qu'qu'shan
让子,rang'zi
上头,shang'tou
勺子,shao'zi
使废,shi'fei
使里慌,shi'li'huang
耍个来急子,shua'ge'lai'ji'zi
谁要来,shui'yao'lai
苏珠儿,su'zhu'er
涕户,ti'hu
添屁户,tian'pi'hu
条著,tiao'zhu
吐鲁找,tu'lu'zhao
秃添友子,tu'tian'you'zi
外头,wai'tou
忘混,wang'hun
翁鞋,weng'xie
无字,wu'zi
细粉,xi'fen
吸溜,xi'liu
瞎蓝,xia'lan
下头地呀,xia'tou'di'ya
闲垫,xian'dian
小妮儿,xiao'ni'er
小小儿,xiao'xiao'er
蝎虎儿,xie'hu'er
淹板,yan'ban
言对儿,yan'dui'er
眼器,yan'qi
言是,yan'shi
窑洞,yao'dong
夜个儿,ye'ge'er
夜里黑呀,ye'li'hei'ya
一出子,yi'chu'zi
胰子,yi'zi
月别幅,yue'bie'fu
咋儿蓝,za'er'lan
铡刀,zha'dao
窄不楞子,zhai'bu'leng'zi
粘鲜,zhan'xian
真几吧草蛋,zhen'ji'ba'cao'dan
蒸饼,zheng'bing
支冷,zhi'leng
箸儿,zhu'er
捉虎,zhuo'hu
嘴嘴,zui'zui
