巴南区,ba'nan'qu
丛林镇,cong'lin'zhen
东林街道,dong'lin'jie'dao
关坝镇,guan'ba'zhen
黑山镇,hei'shan'zhen
江津区,jiang'jin'qu
金桥镇,jin'qiao'zhen
南川区,nan'chuan'qu
南桐镇,nan'tong'zhen
綦江区,qi'jiang'qu
青年镇,qing'nian'zhen
石林镇,shi'lin'zhen
桐梓县,tong'zi'xian
万东镇,wan'dong'zhen
万盛街道,wan'sheng'jie'dao
万盛经济技术开发区,wan'sheng'jing'ji'ji'shu'kai'fa'qu
万盛经开区,wan'sheng'jing'kai'qu
万盛区,wan'sheng'qu
