八一大队,ba'yi'da'dui
褒河,bao'he
褒河车站,bao'he'che'zhan
褒河汽车站,bao'he'qi'che'zhan
北大商城,bei'da'shang'cheng
北街口,bei'jie'kou
北门口,bei'men'kou
北区,bei'qu
北团结,bei'tuan'jie
北团结什字,bei'tuan'jie'shi'zi
北团结中段,bei'tuan'jie'zhong'duan
朝阳厂,chao'yang'chang
车管所,che'guan'suo
陈家营,chen'jia'ying
陈家营什字,chen'jia'ying'shi'zi
崔家沟,cui'jia'gou
地质大队,di'zhi'da'dui
东门桥,dong'men'qiao
东塔,dong'ta
东塔北路,dong'ta'bei'lu
东塔北路什字,dong'ta'bei'lu'shi'zi
东塔什字,dong'ta'shi'zi
二十里铺,er'shi'li'pu
飞机场,fei'ji'chang
风景路,feng'jing'lu
凤栖小区,feng'qi'xiao'qu
妇幼医院,fu'you'yi'yuan
高客站,gao'ke'zhan
古汉台,gu'han'tai
汉八中,han'ba'zhong
汉二中,han'er'zhong
汉烟二厂,han'yan'er'chang
汉一中,han'yi'zhong
汉圆宾馆,han'yuan'bin'guan
汉中客车厂,han'zhong'ke'che'chang
汉中卫校,han'zhong'wei'xiao
汉中中学,han'zhong'zhong'xue
虎桥路,hu'qiao'lu
虎桥路什字,hu'qiao'lu'shi'zi
虎桥西路,hu'qiao'xi'lu
虎桥西路口,hu'qiao'xi'lu'kou
化工厂,hua'gong'chang
花台小区,hua'tai'xiao'qu
黄家塘,huang'jia'tang
惠民小区,hui'min'xiao'qu
火车站,huo'che'zhan
教育学院,jiao'yu'xue'yuan
劳动西路,lao'dong'xi'lu
劳动西路口,lao'dong'xi'lu'kou
莲湖路,lian'hu'lu
梁州路口,liang'zhou'lu'kou
民主街,min'zhu'jie
明珠路,ming'zhu'lu
明珠路口,ming'zhu'lu'kou
南门,nan'men
南区,nan'qu
楠竹圆,nan'zhu'yuan
牛家桥,niu'jia'qiao
农科所,nong'ke'suo
农校,nong'xiao
前进路,qian'jin'lu
前进西路,qian'jin'xi'lu
前进西路口,qian'jin'xi'lu'kou
前进中路,qian'jin'zhong'lu
桥北广场,qiao'bei'guang'chang
人民路,ren'min'lu
人民路什字,ren'min'lu'shi'zi
人民路中段,ren'min'lu'zhong'duan
三二一医院,san'er'yi'yi'yuan
三局家属院,san'ju'jia'shu'yuan
三里村,san'li'cun
陕西理工学院,shan'xi'li'gong'xue'yuan
商业大厦,shang'ye'da'xia
审计局,shen'ji'ju
神龙度假村,shen'long'du'jia'cun
盛隆家具城,sheng'long'jia'ju'cheng
石马坡,shi'ma'po
市政府,shi'zheng'fu
水果批发市场,shui'guo'pi'fa'shi'chang
体育场,ti'yu'chang
天汉东路,tian'han'dong'lu
天台路,tian'tai'lu
天台路什字,tian'tai'lu'shi'zi
望江北路,wang'jiang'bei'lu
望江路,wang'jiang'lu
望江路口,wang'jiang'lu'kou
卫校,wei'xiao
文明小区,wen'ming'xiao'qu
西门口,xi'men'kou
下街,xia'jie
新桥,xin'qiao
兴汉路,xing'han'lu
兴汉住宅小区,xing'han'zhu'zhai'xiao'qu
兴源湖宾馆,xing'yuan'hu'bin'guan
兴源湖公园,xing'yuan'hu'gong'yuan
椰岛新村,ye'dao'xin'cun
耶岛新村,ye'dao'xin'cun
一八路口,yi'ba'lu'kou
一厂路口,yi'chang'lu'kou
邮电大楼,you'dian'da'lou
邮政局,you'zheng'ju
塬上,yuan'shang
运达商城,yun'da'shang'cheng
张宅,zhang'zhai
职高,zhi'gao
钟楼,zhong'lou
中心广场,zhong'xin'guang'chang
中心医院,zhong'xin'yi'yuan
周宅,zhou'zhai
宗营镇,zong'ying'zhen
