阿富汗白玉,a'fu'han'bai'yu
阿富汗玉,a'fu'han'yu
澳洲玉,ao'zhou'yu
巴山玉,ba'shan'yu
白底青,bai'di'qing
百鹤玉,bai'he'yu
白玛瑙,bai'ma'nao
白玉,bai'yu
白玉之冠,bai'yu'zhi'guan
保健石,bao'jian'shi
鲍文玉,bao'wen'yu
碧玉,bi'yu
冰种,bing'zhong
昌化石,chang'hua'shi
长寿石,chang'shou'shi
丁香紫玉,ding'xiang'zi'yu
东陵石,dong'ling'shi
豆种,dou'zhong
独山玉,du'shan'yu
独玉,du'yu
翡翠花佩,fei'cui'hua'pei
非洲玉,fei'zhou'yu
芙蓉种,fu'rong'zhong
干青种,gan'qing'zhong
光玉髓,guang'yu'sui
贵翠,gui'cui
硅孔雀石,gui'kong'que'shi
汉白玉,han'bai'yu
含角闪石玉,han'jiao'shan'shi'yu
河磨玉,he'mo'yu
和田玉,he'tian'yu
黑玛瑙,hei'ma'nao
黑玉,hei'yu
红玛瑙,hong'ma'nao
红玉髓,hong'yu'sui
湖北绿松石,hu'bei'lv'song'shi
虎皮玉,hu'pi'yu
花青种,hua'qing'zhong
花玉,hua'yu
黄独玉,huang'du'yu
会理玉,hui'li'yu
金山玉,jin'shan'yu
金丝种,jin'si'zhong
酒泉岫玉,jiu'quan'xiu'yu
酒泉玉,jiu'quan'yu
菊花石,ju'hua'shi
莒南玉,ju'nan'yu
孔雀石,kong'que'shi
昆仑岫玉,kun'lun'xiu'yu
昆仑玉,kun'lun'yu
蓝玛瑙,lan'ma'nao
蓝水种翡翠,lan'shui'zhong'fei'cui
蓝田玉,lan'tian'yu
蓝纹石,lan'wen'shi
蓝纹玉,lan'wen'yu
老坑种,lao'keng'zhong
灵璧玉,ling'bi'yu
陵川玉,ling'chuan'yu
绿白独玉,lv'bai'du'yu
绿独玉,lv'du'yu
绿辉石,lv'hui'shi
绿辉石玉,lv'hui'shi'yu
绿玛瑙,lv'ma'nao
绿松石,lv'song'shi
绿玉髓,lv'yu'sui
马来玉,ma'lai'yu
玛纳斯碧玉,ma'na'si'bi'yu
马牙种,ma'ya'zhong
梅花玉,mei'hua'yu
蜜蜡黄玉,mi'la'huang'yu
密玉,mi'yu
麽西西,mo'xi'xi
墨玉,mo'yu
木纹玉,mu'wen'yu
钠长石玉,na'chang'shi'yu
钠铬辉石,na'ge'hui'shi
钠铬辉石玉,na'ge'hui'shi'yu
南方岫玉,nan'fang'xiu'yu
南方玉,nan'fang'yu
南阳玉,nan'yang'yu
尼沙普尔绿松石,ni'sha'pu'er'lv'song'shi
澎湖文石,peng'hu'wen'shi
祁连玉,qi'lian'yu
青白玉,qing'bai'yu
青独玉,qing'du'yu
青海玉,qing'hai'yu
青金石,qing'jin'shi
青田石,qing'tian'shi
青玉,qing'yu
磬云石,qing'yun'shi
染色玉髓,ran'se'yu'sui
软玉,ruan'yu
软玉之王,ruan'yu'zhi'wang
闪玉,shan'yu
蛇纹石玉,she'wen'shi'yu
蛇纹石质玉,she'wen'shi'zhi'yu
石英质玉,shi'ying'zhi'yu
手镯,shou'zhuo
水钙铝榴石质玉,shui'gai'lv'liu'shi'zhi'yu
水沫子,shui'mo'zi
水头,shui'tou
台湾翠,tai'wan'cui
糖玉,tang'yu
铁龙生,tie'long'sheng
图章石,tu'zhang'shi
文石玉,wen'shi'yu
乌钢石,wu'gang'shi
新疆绿松石,xin'jiang'lv'song'shi
信宜玉,xin'yi'yu
岫玉,xiu'yu
血滴石,xue'di'shi
血玉髓,xue'yu'sui
羊脂玉,yang'zhi'yu
夜光杯,ye'guang'bei
叶腊石质玉,ye'la'shi'zhi'yu
硬玉,ying'yu
油青种,you'qing'zhong
玉石之冠,yu'shi'zhi'guan
云石,yun'shi
质地,zhi'di
智利玉,zhi'li'yu
中国玉,zhong'guo'yu
紫独玉,zi'du'yu
