阿公,a'gong
阿婆,a'po
挨夜,ai'ye
半乖哩,ban'guai'li
帮衬,bang'chen
背得的,bei'de'de
北瓜,bei'gua
背时,bei'shi
冰冷个,bing'leng'ge
博脆个,bo'cui'ge
博士,bo'shi
薄事做,bo'shi'zuo
不要架得势,bu'yao'jia'de'shi
差发里,cha'fa'li
沉倒,chen'dao
吃价,chi'jia
吃铜,chi'tong
厨倌师付,chu'guan'shi'fu
出世,chu'shi
搓骂,cuo'ma
大伯,da'bo
打荐,da'jian
大妈,da'ma
搭胖个,da'pang'ge
打平伙,da'ping'huo
打破计,da'po'ji
大师付,da'shi'fu
打油打酒,da'you'da'jiu
打月子,da'yue'zi
哒粘个,da'zhan'ge
当昼,dang'zhou
得壮个,de'zhuang'ge
灯个得,deng'ge'de
弟得,di'de
地门,di'men
爹爹,die'die
斗劲,dou'jin
二百五,er'bai'wu
发生焦,fa'sheng'jiao
翻牙膏,fan'ya'gao
纺线,fang'xian
飞滚个,fei'gun'ge
肥子,fei'zi
愤塞,fen'sai
风快个,feng'kuai'ge
讽人,feng'ren
伏的个里,fu'de'ge'li
冨嫩个,fu'nen'ge
服送,fu'song
该里,gai'li
干脚的,gan'jiao'de
更瘦个,geng'shou'ge
公家,gong'jia
姑爷,gu'ye
刮淡个,gua'dan'ge
鬼道,gui'dao
过劲,guo'jin
哈舅得,ha'jiu'de
好结棍,hao'jie'gun
好老,hao'lao
好呕银嘎,hao'ou'yin'ga
好生里,hao'sheng'li
好烊,hao'yang
何个,he'ge
贺姑娘,he'gu'niang
河泥,he'ni
贺娘,he'niang
后门,hou'men
忽热个,hu're'ge
活得,huo'de
几多点把哩,ji'duo'dian'ba'li
鸡公,ji'gong
鸡公力,ji'gong'li
鸡母,ji'mu
继娘,ji'niang
鸡囚,ji'qiu
即呀蹦蹦,ji'ya'beng'beng
继爷,ji'ye
讲口,jiang'kou
焦干个,jiao'gan'ge
浇湿个,jiao'shi'ge
绞子,jiao'zi
紧一,jin'yi
警古,jing'gu
精肉,jing'rou
旧年,jiu'nian
揪韧个,jiu'ren'ge
揪酸个,jiu'suan'ge
咀劲,ju'jin
橘绿个,ju'lv'ge
开头发始,kai'tou'fa'shi
壳硬个,ke'ying'ge
来个,lai'ge
老庚,lao'geng
老公,lao'gong
老婆,lao'po
老座,lao'zuo
伶利,ling'li
溜软个,liu'ruan'ge
略滑个,lue'hua'ge
麻平个,ma'ping'ge
茅次,mao'ci
棉袄,mian'ao
篾乌个,mie'wu'ge
姆妈,mu'ma
那望里,na'wang'li
男客,nan'ke
娘子人,niang'zi'ren
牛栏,niu'lan
弄饭,nong'fan
诺诺诺,nuo'nuo'nuo
女得,nv'de
女客,nv'ke
女仂,nv'le
乓松个,pang'song'ge
飘轻个,piao'qing'ge
其到,qi'dao
起椒发脉,qi'jiao'fa'mai
起造,qi'zao
齐整,qi'zheng
去归,qu'gui
缺薄,que'bo
日头,ri'tou
色薄个,se'bo'ge
涩个,se'ge
森黄个,sen'huang'ge
杀辣,sha'la
闪电,shan'dian
善个,shan'ge
上毛,shang'mao
上昼,shang'zhou
婶得,shen'de
什个,shen'ge
石鸡,shi'ji
手捏子,shou'nie'zi
叔得,shu'de
唆咀,suo'ju
挞厚个,ta'hou'ge
特试,te'shi
铁紧个,tie'jin'ge
停当,ting'dang
同年娘,tong'nian'niang
同年爷,tong'nian'ye
秃紫个,tu'zi'ge
团前,tuan'qian
脱厚个,tuo'hou'ge
脱重个,tuo'zhong'ge
哇事,wa'shi
哇诉你,wa'su'ni
外花,wai'hua
喂饭,wei'fan
舞饭,wu'fan
屋里咯,wu'li'ge
屋里人,wu'li'ren
洗面,xi'mian
瞎杠,xia'gang
下昼,xia'zhou
现前年,xian'qian'nian
现世,xian'shi
香个,xiang'ge
新妇,xin'fu
行时,xing'shi
宣红个,xuan'hong'ge
宣甜个,xuan'tian'ge
雪白个,xue'bai'ge
牙崽仂,ya'zai'le
眼黄,yan'huang
眼睛光,yan'jing'guang
眼浅,yan'qian
样鸡,yang'ji
洋碱,yang'jian
洋辣椒,yang'la'jiao
姨爹,yi'die
一径里走,yi'jing'li'zou
姨妹得,yi'mei'de
姨娘,yi'niang
一下里,yi'xia'li
伊呀,yi'ya
伊呀斯斯,yi'ya'si'si
硬咀包,ying'ju'bao
圆个,yuan'ge
月光,yue'guang
崽仂,zai'le
灶前,zao'qian
早先,zao'xian
崭劲,zhan'jin
丈人公,zhang'ren'gong
丈人婆,zhang'ren'po
招高,zhao'gao
着式子,zhe'shi'zi
作爆,zuo'bao
做肉,zuo'rou
