爱咳嗽,ai'ke'sou
白度,bai'du
包饭,bao'fan
包子,bao'zi
边伯贤,bian'bo'xian
灿白,can'bai
灿涅,can'nie
灿勋,can'xun
长沙王子,chang'sha'wang'zi
沉迷,chen'mi
城堡,cheng'bao
重返二十岁,chong'fan'er'shi'sui
村民,cun'min
村长,cun'zhang
大哥,da'ge
大牛,da'niu
迪欧,di'ou
都暻秀,dou'jing'xiu
都宇直,dou'yu'zhi
繁星,fan'xing
海浪,hai'lang
黑钟,hei'zhong
黄子韬,huang'zi'tao
金俊勉,jin'jun'mian
金珉硕,jin'min'shuo
金钟大,jin'zhong'da
金钟仁,jin'zhong'ren
京城鹿少,jing'cheng'lu'shao
开度,kai'du
开爷,kai'ye
孔雀哥哥,kong'que'ge'ge
理智饭,li'zhi'fan
龙会飞,long'hui'fei
卤蛋,lu'dan
鹿饭,lu'fan
鹿晗,lu'han
玛丽莲萌鹿,ma'li'lian'meng'lu
梅格妮,mei'ge'ni
每个你,mei'ge'ni
没关系是爱情,mei'guan'xi'shi'ai'qing
绵队,mian'dui
棉麻,mian'ma
奶包,nai'bao
脑残粉,nao'can'fen
牛白,niu'bai
牛灿,niu'can
牛度,niu'du
牛开,niu'kai
牛绵,niu'mian
牛色,niu'se
牛桃,niu'tao
屏幕饭,ping'mu'fan
朴灿烈,pu'can'lie
倩倩,qian'qian
前线饭,qian'xian'fan
仁妹,ren'mei
时间煮雨,shi'jian'zhu'yu
守护,shou'hu
双吴,shuang'wu
桃绵,tao'mian
桃色,tao'se
唯十二,wei'shi'er
吴凡,wu'fan
吴皇,wu'huang
吴世勋,wu'shi'xun
吴亦凡,wu'yi'fan
行星饭,xing'xing'fan
勋白,xun'bai
勋凡,xun'fan
驯鹿,xun'lu
英雄,ying'xiong
有一个地方只有我们知道,you'yi'ge'di'fang'zhi'you'wo'men'zhi'dao
仔锅,zai'guo
澡澡熊,zao'zao'xiong
张艺兴,zhang'yi'xing
