阿目走店,a'mu'zou'dian
安驾,an'jia
跋杯,ba'bei
拜佛,bai'fo
败家仔,bai'jia'zai
拜老公,bai'lao'gong
拜老爷,bai'lao'ye
白仁,bai'ren
半斤八两免相嫌,ban'jin'ba'liang'mian'xiang'xian
半路债,ban'lu'zhai
绑回,bang'hui
绑人,bang'ren
曝粟,bao'su
北赤脚,bei'chi'jiao
北字掠无磨蜞,bei'zi'lue'wu'mo'qi
奔咘客牛听,ben'bu'ke'niu'ting
泵风,beng'feng
笔盒,bi'he
比脚划手,bi'jiao'hua'shou
鼻空,bi'kong
扁豆,bian'dou
别人草粿别人糖,bie'ren'cao'hua'bie'ren'tang
饼药,bing'yao
饼药粉,bing'yao'fen
薄壳,bo'qiao
补泥,bu'ni
布田,bu'tian
菜脯,cai'pu
财气死,cai'qi'si
菜栽,cai'zai
参详,can'xiang
草猴,cao'hou
茶米,cha'mi
茶三酒四剔桃二,cha'san'jiu'si'ti'tao'er
拆药,chai'yao
池个,chi'ge
痴哥,chi'ge
痴哥仔,chi'ge'zai
池江,chi'jiang
池块,chi'kuai
齿漱,chi'shu
匙油,chi'you
臭脚惜,chou'jiao'xi
抽踢死,chou'ti'si
除人,chu'ren
除人虫,chu'ren'chong
除人定,chu'ren'ding
出日,chu'ri
刺毛风虫,ci'mao'feng'chong
刺仔,ci'zai
搭车,da'che
大官,da'guan
大姆,da'mu
大人,da'ren
大人伯未起奴仔先镇椅,da'ren'bo'wei'qi'nu'zai'xian'zhen'yi
大人弯奴囝直,da'ren'wan'nu'nan'zhi
大声百喉,da'sheng'bai'hou
大头好脸,da'tou'hao'lian
哒惜,da'xi
大细胆,da'xi'dan
大细目,da'xi'mu
袋粪,dai'fen
带柳丝,dai'liu'si
担到有影甲有迹,dan'dao'you'ying'jia'you'ji
担破无酒食,dan'po'wu'jiu'shi
倒手边,dao'shou'bian
底边,di'bian
地豆,di'dou
睇风水,di'feng'shui
地缸,di'gang
地个,di'ge
地块,di'kuai
睇日,di'ri
地珍时,di'zhen'shi
帝政,di'zheng
地主爷,di'zhu'ye
店店,dian'dian
电毛,dian'mao
电土,dian'tu
吊瓜,diao'gua
东司头老石部愈老愈臭,dong'si'tou'lao'shi'bu'yu'lao'yu'chou
肚困,du'kun
独目,du'mu
肚痛,du'tong
短帐,duan'zhang
对岁,dui'sui
对唔住,dui'wu'zhu
恶人先告状,e'ren'xian'gao'zhuang
饭床,fan'chuang
番葱,fan'cong
番瓜,fan'gua
番梨,fan'li
番茄,fan'qie
番薯,fan'shu
放尿,fang'niao
放屎,fang'shi
飞薐,fei'leng
飞龙,fei'long
肥水迈流过北人田,fei'shui'mai'liu'guo'bei'ren'tian
分碟,fen'die
粉豆,fen'dou
粉鸟,fen'niao
风颱,feng'tai
父二母仔,fu'er'mu'zai
扶浪趴,fu'lang'pa
敢担住赢,gan'dan'zhu'ying
钢笔水,gang'bi'shui
戆过只水鸭,gang'guo'zhi'shui'ya
膏笔,gao'bi
格尺,ge'chi
个镜,ge'jing
蛤婆,ge'po
割粙,ge'zhou
割猪肉,ge'zhu'rou
梗着,geng'zhe
弓蕉,gong'jiao
工铜,gong'tong
狗蚁,gou'yi
瓜棚,gua'peng
拐脚,guai'jiao
怪浪,guai'lang
官着,guan'zhe
滚水,gun'shui
过了七月半日头短条线,guo'le'qi'yue'ban'ri'tou'duan'tiao'xian
过年,guo'nian
过身,guo'shen
过衰,guo'shuai
过纸,guo'zhi
好咧来莫咧歇,hao'lie'lai'mo'lie'xie
好囝免用多多仔饿死父,hao'nan'mian'yong'duo'duo'zai'e'si'fu
好孬,hao'nao
荷兰豆,he'lan'dou
鹤然,he'ran
赫下物,he'xia'wu
红柿,hong'shi
喉哒,hou'da
喉搭,hou'da
后生仔,hou'sheng'zai
胡溜,hu'liu
胡蝇,hu'ying
粿板,hua'ban
哗甫,hua'fu
划鼠,hua'shu
环头死绝,huan'tou'si'jue
欢唔知,huan'wu'zhi
欢喜,huan'xi
欢有,huan'you
灰匙,hui'chi
会闲,hui'xian
活头,huo'tou
鸡安,ji'an
鸡母,ji'mu
鸡母皮,ji'mu'pi
激心,ji'xin
激血,ji'xue
鸡仔,ji'zai
甲被扇风,jia'bei'shan'feng
家私,jia'si
艰苦,jian'ku
脚仓绑蛤丩惹蛇,jiao'cang'bang'ge'jiu're'she
脚车,jiao'che
胶刀,jiao'dao
胶地,jiao'di
胶地人,jiao'di'ren
角瓜,jiao'gua
胶那,jiao'na
脚皮欠路债,jiao'pi'qian'lu'zhai
胶扫,jiao'sao
脚头,jiao'tou
角头,jiao'tou
脚鱼,jiao'yu
胶爪,jiao'zhao
胶只,jiao'zhi
金胡神假蜜蜂,jin'hu'shen'jia'mi'feng
金龙,jin'long
今年番薯唔比旧年芋,jin'nian'fan'shu'wu'bi'jiu'nian'yu
惊到支尾好晾裳,jing'dao'zhi'wei'hao'liang'shang
惊好着死,jing'hao'zhe'si
惊死,jing'si
酒精兀,jiu'jing'wu
锯弦,ju'xian
壳苦正矮成祖,ke'ku'zheng'ai'cheng'zu
口壶,kou'hu
来忒桃,lai'tei'tao
来以好,lai'yi'hao
老娼打拳唔就势,lao'chang'da'quan'wu'jiu'shi
老公,lao'gong
老禾埠,lao'he'bu
老嫲,lao'ma
老妈宫粽球食定正知,lao'ma'gong'zong'qiu'shi'ding'zheng'zhi
老热,lao're
老实终古在,lao'shi'zhong'gu'zai
老实终须在,lao'shi'zhong'xu'zai
老政府,lao'zheng'fu
乐毛,le'mao
乐皮,le'pi
雷同天时,lei'tong'tian'shi
力落,li'luo
粒球,li'qiu
莲果,lian'guo
凉水,liang'shui
临钱水点点滴,lin'qian'shui'dian'dian'di
林檎,lin'qin
领被,ling'bei
领父,ling'fu
领母,ling'mu
流鼻,liu'bi
漏屎,lou'shi
路仔,lu'zai
掠鱼,lue'yu
罗哩,luo'li
落堂,luo'tang
落雨,luo'yu
落种,luo'zhong
卖海鲜,mai'hai'xian
卖想,mai'xiang
迈照些,mai'zhao'xie
门枪,men'qiang
门扇后,men'shan'hou
米萝,mi'luo
蜜婆,mi'po
面布,mian'bu
眠床,mian'chuang
面盆,mian'pen
棉嘴边,mian'zui'bian
乜个,mie'ge
墨斗,mo'dou
某虎狮,mou'hu'shi
谋龙,mou'long
谋狮,mou'shi
目镜,mu'jing
目眉,mu'mei
目眯眯,mu'mi'mi
目涩死,mu'se'si
木仔,mu'zai
目汁,mu'zhi
耐拐,nai'guai
孬看死,nao'kan'si
脑莫,nao'mo
鸟梨,niao'li
奴仔,nu'zai
拍电子,pai'dian'zi
拍乒乓,pai'ping'pang
拍球,pai'qiu
拍粟,pai'su
拍铁,pai'tie
拍万六,pai'wan'liu
哌仔,pai'zai
