阿里山脊蛇,a'li'shan'ji'she
八莫过树蛇,ba'mo'guo'shu'she
八线腹链蛇,ba'xian'fu'lian'she
百步蛇,bai'bu'she
白唇竹叶青蛇,bai'chun'zhu'ye'qing'she
百花锦蛇,bai'hua'jin'she
白花蛇,bai'hua'she
白环蛇,bai'huan'she
白眶蛇,bai'kuang'she
白链蛇,bai'lian'she
白眉腹链蛇,bai'mei'fu'lian'she
白条锦蛇,bai'tiao'jin'she
白头钩盲蛇,bai'tou'gou'mang'she
白头蝰,bai'tou'kui
半环扁尾海蛇,ban'huan'bian'wei'hai'she
扁尾海蛇,bian'wei'hai'she
菜花原柔头蝮,cai'hua'yuan'rou'tou'fu
草腹链蛇,cao'fu'lian'she
草原蝰,cao'yuan'kui
侧条后棱蛇,ce'tiao'hou'leng'she
察隅烙铁头蛇,cha'yu'lao'tie'tou'she
长吻海蛇,chang'wen'hai'she
赤峰锦蛇,chi'feng'jin'she
赤链华游蛇,chi'lian'hua'you'she
赤链蛇,chi'lian'she
崇安斜鳞蛇,chong'an'xie'lin'she
纯绿翠青蛇,chun'lv'cui'qing'she
翠青蛇,cui'qing'she
大盲蛇,da'mang'she
淡灰海蛇,dan'hui'hai'she
滇西蛇,dian'xi'she
吊灯扑,diao'deng'pu
东方沙蟒,dong'fang'sha'mang
东疆沙蟒,dong'jiang'sha'mang
东亚腹链蛇,dong'ya'fu'lian'she
短尾蝮,duan'wei'fu
钝头蛇,dun'tou'she
钝尾两头蛇,dun'wei'liang'tou'she
繁花林蛇,fan'hua'lin'she
翻身花,fan'shen'hua
方花小头蛇,fang'hua'xiao'tou'she
放丝蛇,fang'si'she
粉链蛇,fen'lian'she
腹斑腹链蛇,fu'ban'fu'lian'she
腹斑水蛇,fu'ban'shui'she
福建钝头蛇,fu'jian'dun'tou'she
福建后棱蛇,fu'jian'hou'leng'she
福建颈斑蛇,fu'jian'jing'ban'she
福建丽纹蛇,fu'jian'li'wen'she
高原蝮,gao'yuan'fu
钩盲蛇,gou'mang'she
挂墩后棱蛇,gua'dun'hou'leng'she
管状小头蛇,guan'zhuang'xiao'tou'she
