阿老,a'lao
白伯骅,bai'bo'hua
白庚岩,bai'geng'yan
白蕉,bai'jiao
白磊,bai'lei
白雪石,bai'xue'shi
白云乡,bai'yun'xiang
毕建勋,bi'jian'xun
曾弗,ceng'fu
曾宓,ceng'mi
常朝晖,chang'zhao'hui
陈葆棣,chen'bao'di
陈大羽,chen'da'yu
陈佩秋,chen'pei'qiu
陈少梅,chen'shao'mei
陈天然,chen'tian'ran
陈玉圃,chen'yu'pu
陈之佛,chen'zhi'fo
陈子奋,chen'zi'fen
陈子庄,chen'zi'zhuang
程十发,cheng'shi'fa
崔如琢,cui'ru'zhuo
戴卫,dai'wei
邓林,deng'lin
董寿平,dong'shou'ping
董希文,dong'xi'wen
杜应强,du'ying'qiang
杜滋龄,du'zi'ling
范曾,fan'zeng
方楚雄,fang'chu'xiong
方增先,fang'zeng'xian
费新我,fei'xin'wo
冯大中,feng'da'zhong
冯远,feng'yuan
丰子恺,feng'zi'kai
傅抱石,fu'bao'shi
付梅影,fu'mei'ying
付强,fu'qiang
付以新,fu'yi'xin
高剑父,gao'jian'fu
关良,guan'liang
关山月,guan'shan'yue
郭味渠,guo'wei'qu
郭怡孮,guo'yi'cong
韩美林,han'mei'lin
何海霞,he'hai'xia
何加林,he'jia'lin
何家英,he'jia'ying
何水法,he'shui'fa
华其敏,hua'qi'min
黄君璧,huang'jun'bi
黄秋园,huang'qiu'yuan
黄永玉,huang'yong'yu
霍春阳,huo'chun'yang
纪连彬,ji'lian'bin
贾广健,jia'guang'jian
贾又福,jia'you'fu
姜宝林,jiang'bao'lin
蒋采萍,jiang'cai'ping
江寒汀,jiang'han'ting
江文湛,jiang'wen'zhan
蒋兆和,jiang'zhao'he
金鸿钧,jin'hong'jun
金树勇,jin'shu'yong
孔维克,kong'wei'ke
孔仲起,kong'zhong'qi
赖少其,lai'shao'qi
李宝林,li'bao'lin
李可染,li'ke'ran
李叔同,li'shu'tong
黎雄才,li'xiong'cai
林风眠,lin'feng'mian
林容生,lin'rong'sheng
林岫,lin'xiu
林墉,lin'yong
刘炳森,liu'bing'sen
刘勃舒,liu'bo'shu
刘大为,liu'da'wei
刘国辉,liu'guo'hui
刘文西,liu'wen'xi
龙瑞,long'rui
陆俨少,lu'yan'shao
陆一飞,lu'yi'fei
陆抑非,lu'yi'fei
卢禹舜,lu'yu'shun
马振声,ma'zhen'sheng
梅墨生,mei'mo'sheng
苗重安,miao'chong'an
尼玛泽仁,ni'ma'ze'ren
聂欧,nie'ou
潘公凯,pan'gong'kai
潘天寿,pan'tian'shou
彭先诚,peng'xian'cheng
溥心畲,pu'xin'she
齐白石,qi'bai'shi
启功,qi'gong
启骧,qi'xiang
钱来忠,qian'lai'zhong
钱瘦铁,qian'shou'tie
秦天柱,qin'tian'zhu
任率英,ren'lv'ying
沈鹏,shen'peng
沈耀初,shen'yao'chu
施大畏,shi'da'wei
史国良,shi'guo'liang
石鲁,shi'lu
史孟生,shi'meng'sheng
石齐,shi'qi
宋雨桂,song'yu'gui
宋玉麟,song'yu'lin
苏百钧,su'bai'jun
苏葆桢,su'bao'zhen
孙其峰,sun'qi'feng
唐辉,tang'hui
汤文选,tang'wen'xuan
汤小铭,tang'xiao'ming
唐勇力,tang'yong'li
田黎明,tian'li'ming
王成喜,wang'cheng'xi
王个簃,wang'ge'yi
王明明,wang'ming'ming
王为政,wang'wei'zheng
王西京,wang'xi'jing
王雪涛,wang'xue'tao
王迎春,wang'ying'chun
王有政,wang'you'zheng
王子武,wang'zi'wu
魏传义,wei'chuan'yi
魏紫熙,wei'zi'xi
翁振新,weng'zhen'xin
吴昌硕,wu'chang'shuo
吴东魁,wu'dong'kui
吴茀之,wu'fu'zhi
吴冠中,wu'guan'zhong
吴山明,wu'shan'ming
吴作人,wu'zuo'ren
肖朗,xiao'lang
谢之光,xie'zhi'guang
谢稚柳,xie'zhi'liu
徐悲鸿,xu'bei'hong
徐培晨,xu'pei'chen
徐湛,xu'zhan
晏济元,yan'ji'yuan
杨力舟,yang'li'zhou
杨明义,yang'ming'yi
杨善深,yang'shan'shen
杨晓阳,yang'xiao'yang
杨延文,yang'yan'wen
叶毓中,ye'yu'zhong
喻继高,yu'ji'gao
于希宁,yu'xi'ning
于右任,yu'you'ren
于志学,yu'zhi'xue
袁武,yuan'wu
袁运生,yuan'yun'sheng
张大千,zhang'da'qian
张仃,zhang'ding
张海,zhang'hai
张仁芝,zhang'ren'zhi
赵少昂,zhao'shao'ang
赵望云,zhao'wang'yun
赵振川,zhao'zhen'chuan
郑乃珖,zheng'nai'guang
周华君,zhou'hua'jun
周思聪,zhou'si'cong
朱理存,zhu'li'cun
朱培尔,zhu'pei'er
