阿爸,a'ba
阿灿,a'can
阿哥,a'ge
阿公,a'gong
阿妈,a'ma
阿嫲,a'ma
阿婆,a'po
阿嫂,a'sao
阿叔,a'shu
阿仙奴,a'xian'nu
阿些斯奥,a'xie'si'ao
阿爷,a'ye
矮瓜,ai'gua
嗌交,ai'jiao
爱锡,ai'xi
矮细,ai'xi
挨夜,ai'ye
捱夜,ai'ye
暗暗沉沉,an'an'chen'chen
安士,an'shi
凹凹凸凸,ao'ao'tu'tu
巴闭,ba'bi
八卦,ba'gua
拔兰地,ba'lan'di
芭蕾,ba'lei
巴黎圣日门,ba'li'sheng'ri'men
巴士,ba'shi
巴斯蒂亚,ba'si'di'ya
巴仙,ba'xian
把心唔定,ba'xin'wu'ding
拜拜,bai'bai
白蘭地,bai'lan'di
白蒙蒙,bai'meng'meng
白晒晒,bai'shai'shai
白雪雪,bai'xue'xue
百厌,bai'yan
白粥,bai'zhou
百足,bai'zu
班戟,ban'ji
煲电话粥,bao'dian'hua'zhou
保齡,bao'ling
北姑,bei'gu
背脊,bei'ji
北芪,bei'qi
崩口人忌崩口碗,beng'kou'ren'ji'beng'kou'wan
鼻哥,bi'ge
鼻哥窿,bi'ge'long
畀面,bi'mian
畀面制,bi'mian'zhi
碧咸,bi'xian
闭翳,bi'yi
边度,bian'du
边个,bian'ge
槟榔,bing'lang
病猫,bing'mao
擘大口,bo'da'kou
波尔多,bo'er'duo
驳骨,bo'gu
菠萝,bo'luo
搏命,bo'ming
波士,bo'shi
膊头,bo'tou
卜卜脆,bu'bu'cui
布甸,bu'dian
不溜,bu'liu
不喽,bu'lou
不特止,bu'te'zhi
擦鞋,ca'xie
菜牌,cai'pai
差池,cha'chi
查实,cha'shi
插苏,cha'su
差唔多,cha'wu'duo
长拉拉,chang'la'la
长气,chang'qi
抄更偷鸡,chao'geng'tou'ji
炒鱿鱼,chao'you'yu
车大奅,che'da'pao
车呔,che'dai
扯猫尾,che'mao'wei
车衫,che'shan
痴缠,chi'chan
匙羹,chi'geng
匙羹褛,chi'geng'lv
黐线,chi'xian
豉油,chi'you
冲凉,chong'liang
舂瘟鸡,chong'wen'ji
仇口,chou'kou
出粮,chu'liang
传呼机,chuan'hu'ji
吹水,chui'shui
吹胀,chui'zhang
唇膏,chun'gao
凑啱,cou'yan
措措埋埋,cuo'cuo'mai'mai
大笨象,da'ben'xiang
打赤脚,da'chi'jiao
大出血,da'chu'xue
打大赤肋,da'da'chi'lei
打底,da'di
打掂,da'dian
打个冷,da'ge'leng
大葛楼,da'ge'lou
打横,da'heng
大蕉,da'jiao
打交,da'jiao
大佬,da'lao
打冷震,da'leng'zhen
打冷震打噎,da'leng'zhen'da'ye
大粒佬,da'li'lao
大褛,da'lv
打乞嗤,da'qi'chi
大洗,da'xi
大牙,da'ya
打噎,da'ye
大屿山,da'yu'shan
带子,dai'zi
单车,dan'che
单单打打,dan'dan'da'da
但凡,dan'fan
凼凼,dang'dang
刀仔,dao'zai
得个吉,de'ge'ji
德律风,de'lv'feng
得戚,de'qi
得人惊,de'ren'jing
的式,de'shi
得闲,de'xian
第次,di'ci
底裤,di'ku
底裤高争鞋,di'ku'gao'zheng'xie
的确良,di'que'liang
第日,di'ri
底衫,di'shan
的士,di'shi
睇衰,di'shuai
睇水,di'shui
地拖,di'tuo
地下铁路,di'xia'tie'lu
睇医生,di'yi'sheng
嗲嗲渧,dia'dia'ti
电单车,dian'dan'che
典地,dian'di
电发,dian'fa
点解,dian'jie
电脑,dian'nao
电心,dian'xin
点样,dian'yang
钓鱼台,diao'yu'tai
爹哋,die'di
跌落地都要楋翻揸沙,die'luo'di'dou'yao'la'fan'zha'sha
跌眼镜,die'yan'jing
定过抬油,ding'guo'tai'you
顶颈,ding'jing
顶你个肺,ding'ni'ge'fei
冻亲,dong'qin
豆粉,dou'fen
豆角,dou'jiao
豆拎,dou'lin
斗零,dou'ling
豆皮,dou'pi
唞气,dou'qi
豆仔,dou'zai
督背脊,du'bei'ji
笃背脊,du'bei'ji
肚屙,du'e
肚腩,du'nan
多箩箩,duo'luo'luo
多士,duo'shi
屙尿,e'niao
呃人,e'ren
屙屎,e'shi
屙屎屙尿,e'shi'e'niao
厄水,e'shui
奀瘦,en'shou
而家,er'jia
耳屎,er'shi
二五仔,er'wu'zai
耳仔,er'zai
