阿通,a'tong
阿万音铃羽,a'wan'yin'ling'yu
阿虚,a'xu
爱丽丝菲尔,ai'li'si'fei'er
埃罗芒阿老师,ai'luo'mang'a'lao'shi
把你变成小鸟的零食,ba'ni'bian'cheng'xiao'niao'de'ling'shi
坂本辰马,ban'ben'chen'ma
阪口大助,ban'kou'da'zhu
坂上智代,ban'shang'zhi'dai
坂田银时,ban'tian'yin'shi
保志总一朗,bao'zhi'zong'yi'lang
北高,bei'gao
贝伦魔女,bei'lun'mo'nv
北条沙都子,bei'tiao'sha'dou'zi
北条悟史,bei'tiao'wu'shi
笨蛋测验召唤兽,ben'dan'ce'yan'zhao'huan'shou
哔哩哔哩,bi'li'bi'li
便当,bian'dang
冰果,bing'guo
不作死就不会死,bu'zuo'si'jiu'bu'hui'si
茶风林,cha'feng'lin
柴刀女,chai'dao'nv
长谷川,chang'gu'chuan
朝比奈实玖瑠,chao'bi'nai'shi'jiu'liu
朝仓凉子,chao'cang'liang'zi
超电磁炮,chao'dian'ci'pao
惩罚游戏,cheng'fa'you'xi
赤坂卫,chi'ban'wei
冲田总悟,chong'tian'zong'wu
初号机,chu'hao'ji
初号机再启动,chu'hao'ji'zai'qi'dong
雏见泽,chu'jian'ze
雏见泽大灭亡,chu'jian'ze'da'mie'wang
雏见泽大灾难,chu'jian'ze'da'zai'nan
雏见泽风土病,chu'jian'ze'feng'tu'bing
雏见泽症候群,chu'jian'ze'zheng'hou'qun
川澄绫子,chuan'cheng'ling'zi
春原阳平,chun'yuan'yang'ping
大坝战争,da'ba'zhan'zheng
大石藏人,da'shi'cang'ren
大原沙耶香,da'yuan'sha'ye'xiang
大冢明夫,da'zhong'ming'fu
蛋黄酱盖饭,dan'huang'jiang'gai'fan
弹丸论破,dan'wan'lun'po
当麻,dang'ma
刀锋女王,dao'feng'nv'wang
德川茂茂,de'chuan'mao'mao
登势,deng'shi
地球侵略,di'qiu'qin'lue
地下祭具殿,di'xia'ji'ju'dian
电磁炮,dian'ci'pao
电击文库,dian'ji'wen'ku
定春,ding'chun
钉宫理惠,ding'gong'li'hui
洞爷湖,dong'ye'hu
断罪,duan'zui
恶魔奶爸,e'mo'nai'ba
恶心帅,e'xin'shuai
二号机,er'hao'ji
发病,fa'bing
反叛的鲁路修,fan'pan'de'lu'lu'xiu
番犬,fan'quan
飞碟社,fei'die'she
菲利斯喵喵,fei'li'si'miao'miao
冈部伦太郎,gang'bu'lun'tai'lang
冈崎朋也,gang'qi'peng'ye
冈崎汐,gang'qi'xi
高坂京介,gao'ban'jing'jie
高坂穗乃果,gao'ban'sui'nai'guo
高板桐乃,gao'ban'tong'nai
高桥美佳子,gao'qiao'mei'jia'zi
高杉晋助,gao'shan'jin'zhu
葛西,ge'xi
工口游戏,gong'kou'you'xi
宫野真守,gong'ye'zhen'shou
宫泽有纪宁,gong'ze'you'ji'ning
谷川流,gu'chuan'liu
孤岛症候群,gu'dao'zheng'hou'qun
古河渚,gu'he'zhu
古泉一树,gu'quan'yi'shu
古手梨花,gu'shou'li'hua
古手神社,gu'shou'shen'she
关俊彦,guan'jun'yan
广桥凉,guang'qiao'liang
光守护的小镇,guang'shou'hu'de'xiao'zhen
光玉,guang'yu
鬼牌,gui'pai
鬼婆婆,gui'po'po
桂小太郎,gui'xiao'tai'lang
圭一,gui'yi
鬼隐,gui'yin
鬼之血脉,gui'zhi'xue'mai
哈呜,ha'wu
海猫,hai'mao
海猫鸣泣之时,hai'mao'ming'qi'zhi'shi
寒蝉,han'chan
寒蝉鸣泣之时,han'chan'ming'qi'zhi'shi
和泉纱雾,he'quan'sha'wu
和泉正宗,he'quan'zheng'zong
鹤屋学姐,he'wu'xue'jie
黑猫,hei'mao
黑塔利亚,hei'ta'li'ya
恒松步,heng'song'bu
后藤邑子,hou'teng'yi'zi
花名仍未闻,hua'ming'reng'wei'wen
花泽香菜,hua'ze'xiang'cai
荒川爆笑团,huang'chuan'bao'xiao'tuan
荒川桥下,huang'chuan'qiao'xia
祭具殿,ji'ju'dian
吉田松阳,ji'tian'song'yang
榎本温子,jia'ben'wen'zi
甲斐田裕子,jia'fei'tian'yu'zi
加奈子,jia'nai'zi
监督,jian'du
间桐慎二,jian'tong'shen'er
间桐雁夜,jian'tong'yan'ye
间桐樱,jian'tong'ying
角川书店,jiao'chuan'shu'dian
节操社,jie'cao'she
禁忌之恋,jin'ji'zhi'lian
今井麻美,jin'jing'ma'mei
金井美香,jin'jing'mei'xiang
今千秋,jin'qian'qiu
禁书目录,jin'shu'mu'lu
近藤勋,jin'teng'xun
京阿尼,jing'a'ni
京都动画,jing'du'dong'hua
京介,jing'jie
囧虚,jiong'xu
久宇舞弥,jiu'yu'wu'mi
凯瑟琳,kai'se'lin
拷问室,kao'wen'shi
克里斯蒂娜,ke'li'si'di'na
空白永不败北,kong'bai'yong'bu'bai'bei
空之境界,kong'zhi'jing'jie
堀江由衣,ku'jiang'you'yi
浪川大辅,lang'chuan'da'fu
梨花,li'hua
梨花大人,li'hua'da'ren
梨花酱,li'hua'jiang
礼奈,li'nai
凉宫春日,liang'gong'chun'ri
凉宫春日的消失,liang'gong'chun'ri'de'xiao'shi
凉宫春日的忧郁,liang'gong'chun'ri'de'you'yu
凉宫春日物语,liang'gong'chun'ri'wu'yu
绫波丽,ling'bo'li
铃村健一,ling'cun'jian'yi
零号机,ling'hao'ji
绫濑,ling'lai
六等星之夜,liu'deng'xing'zhi'ye
琉克,liu'ke
柳生九兵卫,liu'sheng'jiu'bing'wei
龙宫礼奈,long'gong'li'nai
龙崎,long'qi
陆奥,lu'ao
萝莉控,luo'li'kong
绿川光,lv'chuan'guang
漫无止尽的八月,man'wu'zhi'jin'de'ba'yue
茅原实里,mao'yuan'shi'li
妹控,mei'kong
梅露露,mei'lu'lu
魅音,mei'yin
门胁舞以,men'xie'wu'yi
萌神,meng'shen
迷宫的法则,mi'gong'de'fa'ze
弥海砂,mi'hai'sha
迷糊餐厅,mi'hu'can'ting
咪啪,mi'pa
咪啪魔女,mi'pa'mo'nv
绵流祭,mian'liu'ji
明日香,ming'ri'xiang
命运长夜,ming'yun'chang'ye
命运石之门,ming'yun'shi'zhi'men
命运守护夜,ming'yun'shou'hu'ye
魔法禁书目录,mo'fa'jin'shu'mu'lu
某科学的超电磁炮,mou'ke'xue'de'chao'dian'ci'pao
牧濑红莉栖,mu'lai'hong'li'qi
那花,na'hua
奈落的花,nai'luo'de'hua
男人变态有什么错,nan'ren'bian'tai'you'shen'me'cuo
南小鸟,nan'xiao'niao
男子高中的日常,nan'zi'gao'zhong'de'ri'chang
能登麻美子,neng'deng'ma'mei'zi
你看起来很好吃,ni'kan'qi'lai'hen'hao'chi
平贺源外,ping'he'yuan'wai
平胸绫,ping'xiong'ling
平野绫,ping'ye'ling
漆原琉华,qi'yuan'liu'hua
前原圭一,qian'yuan'gui'yi
亲吻姐姐,qin'wen'jie'jie
青木静香,qing'mu'jing'xiang
秋蝉,qiu'chan
秋蝉鸣泣之时,qiu'chan'ming'qi'zhi'shi
人类补完计划,ren'lei'bu'wan'ji'hua
日升动画,ri'sheng'dong'hua
日野聪,ri'ye'cong
入江医生,ru'jiang'yi'sheng
入江诊所,ru'jiang'zhen'suo
萨达哈鲁,sa'da'ha'lu
三木真一郎,san'mu'zhen'yi'lang
三十四号文书,san'shi'si'hao'wen'shu
三四大魔王,san'si'da'mo'wang
三味线,san'wei'xian
桑岛法子,sang'dao'fa'zi
桑谷夏子,sang'gu'xia'zi
沙都子,sha'dou'zi
纱织,sha'zhi
山口胜平,shan'kou'sheng'ping
杉山纪彰,shan'shan'ji'zhang
山寺宏一,shan'si'hong'yi
杉田智和,shan'tian'zhi'he
上条当麻,shang'tiao'dang'ma
神谷浩史,shen'gu'hao'shi
神乐,shen'le
神奈延年,shen'nai'yan'nian
神社主报应,shen'she'zhu'bao'ying
神田朱未,shen'tian'zhu'wei
神威,shen'wei
时间的碎片,shi'jian'de'sui'pian
十四,shi'si
石田彰,shi'tian'zhang
石头门,shi'tou'men
使徒,shi'tu
使徒来袭,shi'tu'lai'xi
诗音,shi'yin
石原立也,shi'yuan'li'ye
寿限无,shou'xian'wu
寺门通,si'men'tong
寺田绫乃,si'tian'ling'nai
死亡笔记,si'wang'bi'ji
松本和香子,song'ben'he'xiang'zi
松冈由贵,song'gang'you'gui
松阳老师,song'yang'lao'shi
速水奖,su'shui'jiang
藤村大河,teng'cun'da'he
藤林椋,teng'lin'liang
藤林杏,teng'lin'xing
田村,tian'cun
田村大魔王,tian'cun'da'mo'wang
田村由加莉,tian'cun'you'jia'li
田村由香里,tian'cun'you'xiang'li
桐乃,tong'nai
同人游戏,tong'ren'you'xi
桐生萌郁,tong'sheng'meng'yu
土方十四郎,tu'fang'shi'si'lang
团子大家族,tuan'zi'da'jia'zu
完结的世界,wan'jie'de'shi'jie
万事屋,wan'shi'wu
韦伯,wei'bo
卫宫切嗣,wei'gong'qie'si
卫宫士郎,wei'gong'shi'lang
未来都市,wei'lai'du'shi
未来日记,wei'lai'ri'ji
未闻花名,wei'wen'hua'ming
文字冒险游戏,wen'zi'mao'xian'you'xi
文字推理游戏,wen'zi'tui'li'you'xi
我的妹妹不可能这么可爱,wo'de'mei'mei'bu'ke'neng'zhe'me'ke'ai
我们仍未知那年所见的花的名字,wo'men'reng'wei'zhi'na'nian'suo'jian'de'hua'de'ming'zi
五更琉璃,wu'geng'liu'li
无头骑士异闻录,wu'tou'qi'shi'yi'wen'lu
夏目友人帐,xia'mu'you'ren'zhang
下屋则子,xia'wu'ze'zi
陷阱大师,xian'jing'da'shi
线下聚会,xian'xia'ju'hui
相乐美佐枝,xiang'le'mei'zuo'zhi
小林,xiao'lin
小林优,xiao'lin'you
小山力也,xiao'shan'li'ye
小野大腐,xiao'ye'da'fu
小野大辅,xiao'ye'da'fu
新世纪福音战士,xin'shi'ji'fu'yin'zhan'shi
新垣樽助,xin'yuan'zun'zhu
星尘魔女梅露露,xing'chen'mo'nv'mei'lu'lu
兴梠里美,xing'lv'li'mei
型月,xing'yue
兄控,xiong'kong
虚妹,xu'mei
雪山症候群,xue'shan'zheng'hou'qun
雪野五月,xue'ye'wu'yue
言峰绮礼,yan'feng'qi'li
