霸王鞭,ba'wang'bian
白波菊,bai'bo'ju
白菖蒲,bai'chang'pu
百合花,bai'he'hua
白菊花,bai'ju'hua
白鹃梅,bai'juan'mei
白兰花,bai'lan'hua
半边莲,ban'bian'lian
并蒂莲,bing'di'lian
并列型,bing'lie'xing
茶花,cha'hua
插花,cha'hua
雏菊,chu'ju
翠菊,cui'ju
大丽菊,da'li'ju
吊兰,diao'lan
丁香,ding'xiang
杜鹃,du'juan
对称型,dui'chen'xing
凤仙花,feng'xian'hua
风信子,feng'xin'zi
枫叶,feng'ye
芙蓉,fu'rong
扶桑,fu'sang
橄榄花,gan'lan'hua
桂花,gui'hua
国花,guo'hua
海棠,hai'tang
含笑花,han'xiao'hua
贺春梅,he'chun'mei
红百合,hong'bai'he
红斑虞美人,hong'ban'yu'mei'ren
红菊,hong'ju
蝴蝶兰,hu'die'lan
鸡冠花,ji'guan'hua
夹竹桃,jia'zhu'tao
剪春罗,jian'chun'luo
剪秋罗,jian'qiu'luo
姜花,jiang'hua
锦带花,jin'dai'hua
锦葵,jin'kui
金银花,jin'yin'hua
金盏花,jin'zhan'hua
金针花,jin'zhen'hua
君子花,jun'zi'hua
康乃馨,kang'nai'xin
喇叭花,la'ba'hua
腊梅,la'mei
莲花,lian'hua
铃兰,ling'lan
凌霄花,ling'xiao'hua
榴莲,liu'lian
龙胆,long'dan
龙葵,long'kui
龙舌兰,long'she'lan
马蒂莲,ma'di'lian
马兰,ma'lan
马蹄兰,ma'ti'lan
玫瑰,mei'gui
美人蕉,mei'ren'jiao
墨菊,mo'ju
茉莉,mo'li
牡丹,mu'dan
木芙蓉,mu'fu'rong
木莲,mu'lian
茑萝,niao'luo
苹果花,ping'guo'hua
铺地锦,pu'di'jin
蒲公英,pu'gong'ying
蒲葵,pu'kui
牵牛花,qian'niu'hua
千日红,qian'ri'hong
倾斜型,qing'xie'xing
琼花,qiong'hua
秋海棠,qiu'hai'tang
日本樱花,ri'ben'ying'hua
山杜鹃,shan'du'juan
芍药,shao'yao
矢车菊,shi'che'ju
石榴花,shi'liu'hua
石南,shi'nan
水百合,shui'bai'he
水浮莲,shui'fu'lian
睡莲,shui'lian
水仙,shui'xian
水芋,shui'yu
探春花,tan'chun'hua
昙花,tan'hua
桃花,tao'hua
天竺葵,tian'zhu'kui
万寿菊,wan'shou'ju
望春花,wang'chun'hua
王莲,wang'lian
勿忘我花,wu'wang'wo'hua
五月花,wu'yue'hua
下垂型,xia'chui'xing
仙客来,xian'ke'lai
仙人掌,xian'ren'zhang
香橙花,xiang'cheng'hua
香豌豆花,xiang'wan'dou'hua
杏花,xing'hua
雪莲,xue'lian
雁来红,yan'lai'hong
洋绣球,yang'xiu'qiu
洋紫荆,yang'zi'jing
野风信子,ye'feng'xin'zi
野菊,ye'ju
夜来香,ye'lai'xiang
野牵牛,ye'qian'niu
野蔷薇,ye'qiang'wei
野樱,ye'ying
一串红,yi'chuan'hong
迎春花,ying'chun'hua
樱花,ying'hua
罂粟花,ying'su'hua
郁金香,yu'jin'xiang
玉兰,yu'lan
虞美人,yu'mei'ren
玉簪花,yu'zan'hua
月桂,yue'gui
月季花,yue'ji'hua
珍珠花,zhen'zhu'hua
直立型,zhi'li'xing
直上型,zhi'shang'xing
珠兰,zhu'lan
紫丁香,zi'ding'xiang
紫罗兰,zi'luo'lan
紫苑,zi'yuan
