八婆,ba'po
摆平,bai'ping
办酒酒,ban'jiu'jiu
板马日的,ban'ma'ri'de
扳沙,ban'sha
板眼,ban'yan
抱的儿子不心疼,bao'de'er'zi'bu'xin'teng
蹦蹦,beng'beng
扁担,bian'dan
瘪脑壳,bie'nao'ke
不接条,bu'jie'tiao
不清白,bu'qing'bai
不识黑,bu'shi'hei
不是那个事,bu'shi'na'ge'shi
不屑谈得,bu'xie'tan'de
不在点,bu'zai'dian
不贼,bu'zei
不中神,bu'zhong'shen
槽子来了,cao'zi'lai'le
岔巴子,cha'ba'zi
长胯子,chang'kua'zi
潮水平,chao'shui'ping
扯皮拉筋,che'pi'la'jin
扯耶子,che'ye'zi
称透,cheng'tou
吃弹子,chi'dan'zi
吃干饭的,chi'gan'fan'de
吃花生米,chi'hua'sheng'mi
吃软饭的,chi'ruan'fan'de
抽条,chou'tiao
凑角,cou'jiao
撮反水,cuo'fan'shui
撮虾子,cuo'xia'zi
答白算数,da'bai'suan'shu
打赤巴,da'chi'ba
打撮牌,da'cuo'pai
搭倒,da'dao
打嗝,da'ge
打晃晃,da'huang'huang
打平和,da'ping'he
大水冲了龙王庙,da'shui'chong'le'long'wang'miao
打挑瓜,da'tiao'gua
搭头,da'tou
带彩,dai'cai
带一脚,dai'yi'jiao
单挑,dan'tiao
胆子粗,dan'zi'cu
凼子,dang'zi
德罗,de'luo
嘀嘀嗒,di'di'da
嘀哆,di'duo
地脑壳,di'nao'ke
电麻木,dian'ma'mu
点子话,dian'zi'hua
掉得大,diao'de'da
掉底子,diao'di'zi
谍务,die'wu
斗地主,dou'di'zhu
抖狠,dou'hen
豆里,dou'li
斗里,dou'li
赌狠,du'hen
对挖,dui'wa
屙粑粑,e'ba'ba
屙尿,e'niao
烦搭倒了,fan'da'dao'le
翻呛,fan'qiang
翻翘,fan'qiao
翻洋,fan'yang
放棉条点,fang'mian'tiao'dian
服水,fu'shui
浮子,fu'zi
嘎巴子,ga'ba'zi
搞不清白,gao'bu'qing'bai
搞定,gao'ding
搞么事,gao'me'shi
搞么斯唦,gao'me'si'sha
狗肉上不了正席,gou'rou'shang'bu'liao'zheng'xi
刮气,gua'qi
挂眼科,gua'yan'ke
拐子,guai'zi
馆子,guan'zi
鬼款,gui'kuan
过家家,guo'jia'jia
裹筋,guo'jin
过早,guo'zao
哈数,ha'shu
好吃街,hao'chi'jie
耗油,hao'you
荷包暖和,he'bao'nuan'huo
喝点水,he'dian'shui
乎人,hu'ren
糊汤米酒,hu'tang'mi'jiu
花浪子,hua'lang'zi
坏货,huai'huo
晃晃,huang'huang
混倒过,hun'dao'guo
几大个方子,ji'da'ge'fang'zi
几大个意思,ji'da'ge'yi'si
家家,jia'jia
捡倒,jian'dao
拣的当买的,jian'de'dang'mai'de
贱三爷,jian'san'ye
尖子,jian'zi
讲胃口,jiang'wei'kou
嚼叽,jiao'ji
嚼腮,jiao'sai
接条,jie'tiao
紧媚紧媚,jin'mei'jin'mei
惊昂鬼叫,jing'ang'gui'jiao
掬倒,ju'dao
佧把长,ka'ba'chang
开弹子房,kai'dan'zi'fang
开方子,kai'fang'zi
开了和,kai'le'he
口条,kou'tiao
胯子,kua'zi
来菜,lai'cai
癞子,lai'zi
老菜苔,lao'cai'tai
老几,lao'ji
老姆妈,lao'mu'ma
老娘,lao'niang
老亲娘,lao'qin'niang
老亲爷,lao'qin'ye
老油条,lao'you'tiao
擂倒,lei'dao
擂肥,lei'fei
利唰,li'shua
里头,li'tou
撩撇,liao'pie
灵醒,ling'xing
流猫尿,liu'mao'niao
麻木,ma'mu
麻脑壳,ma'nao'ke
码卡子,ma'qia'zi
麻子,ma'zi
瞒倒,man'dao
蛮向阳,man'xiang'yang
蛮扎得,man'zha'de
蛮扎实,man'zha'shi
铆倒,mao'dao
茅赖,mao'lai
铆起,mao'qi
冇学熟,mao'xue'shu
么事,me'shi
么斯,me'si
么样,me'yang
没得,mei'de
没得么捞么,mei'de'me'lao'me
媒地媒气地,mei'di'mei'qi'de
闷倒怀里,men'dao'huai'li
闷罐子,men'guan'zi
闷鸡子啄白米,men'ji'zi'zhuo'bai'mi
棉条,mian'tiao
面窝,mian'wo
那谈鬼,na'tan'gui
拿我们当点混,na'wo'men'dang'dian'hun
闹醒幌,nao'xing'huang
闹眼子,nao'yan'zi
闹药,nao'yao
闹窑,nao'yao
你黑我,ni'hei'wo
你莫跟老子翻,ni'mo'gen'lao'zi'fan
你吓我,ni'xia'wo
你要么样,ni'yao'me'yang
念条,nian'tiao
娘娘,niang'niang
呕气,ou'qi
跑得快,pao'de'kuai
跑梭,pao'suo
屁耙了地,pi'ba'le'di
屁的屁气,pi'de'pi'qi
屁得有瘾,pi'dei'you'yin
屁机,pi'ji
屁机油,pi'ji'you
皮袢,pi'pan
坯子坏了,pi'zi'huai'le
骗你是地上爬的,pian'ni'shi'di'shang'pa'de
撇脚,pie'jiao
撇胯子,pie'kua'zi
