阿夜,a'ye
变身,bian'shen
大地,da'di
黛雅,dai'ya
辺里唯世,dao'li'wei'shi
二阶堂悠,er'jie'tang'you
方块,fang'kuai
坏蛋,huai'dan
坏甜心,huai'tian'xin
绘琉,hui'liu
结木弥耶,jie'mu'mi'ye
节奏,jie'zou
美琪,mei'qi
谜之蛋,mi'zhi'dan
胚胎,pei'tai
皮皮,pi'pi
奇迹,qi'ji
日奈森亚梦,ri'nai'sen'ya'meng
三条海里,san'tiao'hai'li
三条由佳里,san'tiao'you'jia'li
守护蛋,shou'hu'dan
守护甜心,shou'hu'tian'xin
手鞠,shou'ju
藤咲抚子,teng'xiao'fu'zi
天河司,tian'he'si
嘻嘻,xi'xi
相马空海,xiang'ma'kong'hai
小兰,xiao'lan
小丝,xiao'si
心灵之蛋,xin'ling'zhi'dan
星名歌呗,xing'ming'ge'bei
形象改造,xing'xiang'gai'zao
依琉,yi'liu
一之宫光,yi'zhi'gong'guang
御前光,yu'qian'guang
月咏歌呗,yue'yong'ge'bei
月咏几斗,yue'yong'ji'dou
真城璃茉,zhen'cheng'li'mo
真城璃舞,zhen'cheng'li'wu
