八一医院,ba'yi'yi'yuan
二附院,er'fu'yuan
儿童医院,er'tong'yi'yuan
鼓楼医院,gu'lou'yi'yuan
汉中路号,han'zhong'lu'hao
河西,he'xi
嘉兴市人民医院,jia'xing'shi'ren'min'yi'yuan
江宁区人民医院,jiang'ning'qu'ren'min'yi'yuan
江宁区医院,jiang'ning'qu'yi'yuan
江苏省人民医院,jiang'su'sheng'ren'min'yi'yuan
江苏省中西医结合医院,jiang'su'sheng'zhong'xi'yi'jie'he'yi'yuan
江苏省中医院,jiang'su'sheng'zhong'yi'yuan
军总,jun'zong
龙江,long'jiang
明基医院,ming'ji'yi'yuan
南京市二院,nan'jing'shi'er'yuan
南京市一院,nan'jing'shi'yi'yuan
南京医科大学,nan'jing'yi'ke'da'xue
南京医科大学第二附属医院,nan'jing'yi'ke'da'xue'di'er'fu'shu'yi'yuan
南京医科大学第一附属医院,nan'jing'yi'ke'da'xue'di'yi'fu'shu'yi'yuan
南医大二附院本部,nan'yi'da'er'fu'yuan'ben'bu
南医大二附院东院,nan'yi'da'er'fu'yuan'dong'yuan
启东市人民医院,qi'dong'shi'ren'min'yi'yuan
省妇幼,sheng'fu'you
省人医,sheng'ren'yi
省中,sheng'zhong
省中西医结合,sheng'zhong'xi'yi'jie'he
市妇幼,shi'fu'you
市人医,shi'ren'yi
苏北人民医院,su'bei'ren'min'yi'yuan
苏北医院,su'bei'yi'yuan
下关区姜家园号,xia'guan'qu'jiang'jia'yuan'hao
扬州市第一人民医院,yang'zhou'shi'di'yi'ren'min'yi'yuan
中山北路号,zhong'shan'bei'lu'hao
