安身炮,an'shen'pao
按掌,an'zhang
八卦大枪,ba'gua'da'qiang
八卦刀,ba'gua'dao
八卦钺,ba'gua'yue
八卦掌,ba'gua'zhang
八极拳,ba'ji'quan
八锡,ba'xi
八仙剑,ba'xian'jian
把钺,ba'yue
八字圆,ba'zi'yuan
八字掌,ba'zi'zhang
白竿枪,bai'gan'qiang
白西园,bai'xi'yuan
半段枪,ban'duan'qiang
爆发力,bao'fa'li
鲍玉龙,bao'yu'long
崩龙袖锤,beng'long'xiu'chui
崩拳,beng'quan
笔刀,bi'dao
笔架叉,bi'jia'cha
鞭杆,bian'gan
鞭腿,bian'tui
标枪,biao'qiang
秉钺,bing'yue
勃卢,bo'lu
步随身行,bu'sui'shen'xing
擦拉步,ca'la'bu
藏鍦,cang'shi
苍玉碾,cang'yu'nian
曹焕斗,cao'huan'dou
曹继武,cao'ji'wu
操手,cao'shou
曹在东,cao'zai'dong
侧踢腿,ce'ti'tui
插步,cha'bu
查拳,cha'quan
缠腕,chan'wan
禅圆功,chan'yuan'gong
禅杖,chan'zhang
长柄单锤,chang'bing'dan'chui
长柯,chang'ke
长器械对练,chang'qi'xie'dui'lian
长枪,chang'qiang
长枪法选,chang'qiang'fa'xuan
长与短对练,chang'yu'duan'dui'lian
车毅斋,che'yi'zhai
陈式太极单刀,chen'shi'tai'ji'dan'dao
陈式太极双刀,chen'shi'tai'ji'shuang'dao
陈松泉,chen'song'quan
程冲斗,cheng'chong'dou
程宗猷,cheng'zong'you
持斧,chi'fu
齿翼月牙镋,chi'yi'yue'ya'tang
持钺,chi'yue
重阳剑,chong'yang'jian
杵棒,chu'bang
踹腿,chuai'tui
穿花暂亚,chuan'hua'zan'ya
穿林剑,chuan'lin'jian
串拳,chuan'quan
穿掌,chuan'zhang
春秋大刀,chun'qiu'da'dao
刺彪,ci'biao
赐枪,ci'qiang
大成拳,da'cheng'quan
大成拳谱,da'cheng'quan'pu
大刀,da'dao
大环刀,da'huan'dao
大矛为铍,da'mao'wei'pi
大枪,da'qiang
大钺,da'yue
戴爱莲,dai'ai'lian
戴龙邦,dai'long'bang
傣族刀,dai'zu'dao
单操,dan'cao
单操手,dan'cao'shou
单刀法选,dan'dao'fa'xuan
单刀进枪,dan'dao'jin'qiang
弹弓,dan'gong
