白轮,bai'lun
白兔,bai'tu
白玉盘,bai'yu'pan
宝鉴,bao'jian
碧华,bi'hua
冰蟾,bing'chan
冰镜,bing'jing
冰轮,bing'lun
冰魄,bing'po
残魄,can'po
蟾蜍,chan'chu
蟾宫,chan'gong
蟾钩,chan'gou
婵娟,chan'juan
蟾轮,chan'lun
蟾盘,chan'pan
蟾魄,chan'po
嫦娥,chang'e
垂钩,chui'gou
妲蛾,da'e
丹桂,dan'gui
娥轮,e'lun
蛾眉,e'mei
飞,fei
飞镜,fei'jing
孤光,gu'guang
孤轮,gu'lun
顾菟,gu'tu
广寒,guang'han
广寒宫,guang'han'gong
桂殿,gui'dian
桂轮,gui'lun
桂魄,gui'po
寒镜,han'jing
皓彩,hao'cai
皓蟾,hao'chan
皓魄,hao'po
环形山,huan'xing'shan
晖素,hui'su
金饼,jin'bing
金波,jin'bo
金蟾,jin'chan
金镜,jin'jing
金轮,jin'lun
金盘,jin'pan
金魄,jin'po
金兔,jin'tu
金丸,jin'wan
镜轮,jing'lun
晶盘,jing'pan
轮辉,lun'hui
满月,man'yue
明弓,ming'gong
魄宝,po'bao
魄渊,po'yuan
魄月,po'yue
秦镜,qin'jing
清光,qing'guang
清规,qing'gui
清晖,qing'hui
琼钩,qiong'gou
琼轮,qiong'lun
上下弦,shang'xia'xian
上弦,shang'xian
霜蟾,shuang'chan
霜轮,shuang'lun
霜盘,shuang'pan
水镜,shui'jing
水晶盘,shui'jing'pan
朔月,shuo'yue
素蟾,su'chan
素娥,su'e
素晖,su'hui
素魄,su'po
素丸,su'wan
素影,su'ying
太清,tai'qing
太阴,tai'yin
天镜,tian'jing
兔轮,tu'lun
兔魄,tu'po
团扇,tuan'shan
颓魄,tui'po
晚魄,wan'po
望舒,wang'shu
望月,wang'yue
五羊,wu'yang
细魄,xi'po
下弦,xia'xian
纤魄,xian'po
纤维,xian'wei
霄晖,xiao'hui
宵魄,xiao'po
晓魄,xiao'po
斜轮,xie'lun
新魄,xin'po
新月,xin'yue
玄度,xuan'du
悬弓,xuan'gong
悬钩,xuan'gou
玄晖,xuan'hui
玄烛,xuan'zhu
瑶蟾,yao'chan
瑶镜,yao'jing
瑶魄,yao'po
夜光,ye'guang
夜明,ye'ming
夜魄,ye'po
银蟾,yin'chan
银钩,yin'gou
银轮,yin'lun
银盘,yin'pan
银台,yin'tai
银苑,yin'yuan
莹魄,ying'po
玉蟾,yu'chan
玉弓,yu'gong
玉钩,yu'gou
玉桂,yu'gui
玉壶,yu'hu
玉环,yu'huan
玉鉴,yu'jian
玉镜,yu'jing
玉帘钩,yu'lian'gou
玉轮,yu'lun
玉免,yu'mian
玉盘,yu'pan
玉魄,yu'po
玉兔,yu'tu
玉碗,yu'wan
玉羊,yu'yang
圆蟾,yuan'chan
圆光,yuan'guang
圆镜,yuan'jing
圆景,yuan'jing
圆轮,yuan'lun
圆盘,yuan'pan
圆魄,yuan'po
圆缺,yuan'que
圆舒,yuan'shu
圆兔,yuan'tu
圆影,yuan'ying
月宫,yue'gong
月谷,yue'gu
月华,yue'hua
月亮,yue'liang
月轮,yue'lun
月魄,yue'po
月球,yue'qiu
月色,yue'se
月相,yue'xiang
月牙,yue'ya
月晕,yue'yun
