阿麽,a'mo
八大柱国,ba'da'zhu'guo
八柱国,ba'zhu'guo
八柱国家,ba'zhu'guo'jia
被拜为,bei'bai'wei
被赐,bei'ci
被废为,bei'fei'wei
被封为,bei'feng'wei
北史,bei'shi
北书,bei'shu
北巡,bei'xun
北周,bei'zhou
北周时,bei'zhou'shi
北周武帝,bei'zhou'wu'di
北周宣皇后,bei'zhou'xuan'huang'hou
北周柱国,bei'zhou'zhu'guo
兵变,bing'bian
兵马都讨大元帅,bing'ma'dou'tao'da'yuan'shuai
并州,bing'zhou
渤海国,bo'hai'guo
部曲,bu'qu
蔡氏,cai'shi
参预国政,can'yu'guo'zheng
残余势力,can'yu'shi'li
曾任,ceng'ren
长安,chang'an
长安城,chang'an'cheng
常服,chang'fu
朝见,chao'jian
撤兵,che'bing
陈朝,chen'chao
陈崇,chen'chong
陈国,chen'guo
陈宣帝,chen'xuan'di
称臣朝贡,cheng'chen'chao'gong
承袭父爵,cheng'xi'fu'jue
初建,chu'jian
初唐,chu'tang
次女杨氏,ci'nv'yang'shi
赐勇死,ci'yong'si
大将军,da'jiang'jun
大赦天下,da'she'tian'xia
大司空,da'si'kong
大司马,da'si'ma
大隋,da'sui
大隋朝,da'sui'chao
大隋高祖文皇帝,da'sui'gao'zu'wen'huang'di
大隋高祖文皇帝杨坚,da'sui'gao'zu'wen'huang'di'yang'jian
大隋皇朝,da'sui'huang'chao
大隋世宗恭皇帝杨侑,da'sui'shi'zong'gong'huang'di'yang'you
大隋世祖明皇帝杨广,da'sui'shi'zu'ming'huang'di'yang'guang
大统七年,da'tong'qi'nian
大业,da'ye
大业律,da'ye'lv
大运河,da'yun'he
代北武川,dai'bei'wu'chuan
代王侑,dai'wang'you
当时荣盛,dang'shi'rong'sheng
岛夷,dao'yi
的皇后,de'huang'hou
地方官吏,di'fang'guan'li
弟杨广,di'yang'guang
地主阶级,di'zhu'jie'ji
定国号为,ding'guo'hao'wei
东都,dong'du
东京洛阳,dong'jing'luo'yang
东京洛阳城,dong'jing'luo'yang'cheng
东突厥,dong'tu'jue
东西九千三百里,dong'xi'jiu'qian'san'bai'li
东西两京制,dong'xi'liang'jing'zhi
东亚邻国,dong'ya'lin'guo
窦建德,dou'jian'de
杜伏威,du'fu'wei
独孤皇后,du'gu'huang'hou
独孤伽罗,du'gu'jia'luo
独孤信,du'gu'xin
渡辽水,du'liao'shui
夺位后,duo'wei'hou
二月甲子日,er'yue'jia'zi'ri
二征高丽,er'zheng'gao'li
伐陈,fa'chen
房陵王,fang'ling'wang
妃嫔,fei'pin
分裂局面,fen'lie'ju'mian
封晋王,feng'jin'wang
封为,feng'wei
冯翊般若寺,feng'yi'bo're'si
辅臣,fu'chen
苻坚,fu'jian
幅员万里,fu'yuan'wan'li
改元开皇,gai'yuan'kai'huang
高昌王,gao'chang'wang
高句丽,gao'gou'li
高官显贵,gao'guan'xian'gui
高丽,gao'li
高士达,gao'shi'da
高智慧,gao'zhi'hui
高祖,gao'zu
高祖本纪,gao'zu'ben'ji
共传位,gong'chuan'wei
构陷,gou'xian
关陇,guan'long
官至,guan'zhi
官至柱国,guan'zhi'zhu'guo
关中,guan'zhong
癸丑夜,gui'chou'ye
归降,gui'xiang
贵族集团,gui'zu'ji'tuan
贵族时代,gui'zu'shi'dai
国号唐,guo'hao'tang
邗沟,han'gou
汉太尉,han'tai'wei
汉王,han'wang
和北周,he'bei'zhou
河源,he'yuan
弘农华阴,hong'nong'hua'yin
后梁,hou'liang
侯莫,hou'mo
户八百九十万有奇,hu'ba'bai'jiu'shi'wan'you'qi
户口锐长,hu'kou'rui'chang
胡姓,hu'xing
华阴人,hua'yin'ren
皇妣,huang'bi
即皇帝位,ji'huang'di'wei
济渠,ji'qu
继位,ji'wei
积蓄充盈,ji'xu'chong'ying
极于此矣,ji'yu'ci'yi
甲兵强锐,jia'bing'qiang'rui
江都,jiang'du
江都宫,jiang'du'gong
今江苏扬州,jin'jiang'su'yang'zhou
进军,jin'jun
今陕西省华阴市,jin'shan'xi'sheng'hua'yin'shi
今陕西省华阴县,jin'shan'xi'sheng'hua'yin'xian
今山西太原市,jin'shan'xi'tai'yuan'shi
晋王,jin'wang
晋阳,jin'yang
今之,jin'zhi
军事贵族,jun'shi'gui'zu
军事贵族集团,jun'shi'gui'zu'ji'tuan
均田制,jun'tian'zhi
开创科举,kai'chuang'ke'ju
开国皇帝,kai'guo'huang'di
开国元勋,kai'guo'yuan'xun
开皇,kai'huang
开皇二十年,kai'huang'er'shi'nian
开皇九年,kai'huang'jiu'nian
开皇律,kai'huang'lv
开皇七年,kai'huang'qi'nian
开皇元年,kai'huang'yuan'nian
开皇之治,kai'huang'zhi'zhi
科举制度,ke'ju'zhi'du
垦田速增,ken'tian'su'zeng
恐不祥,kong'bu'xiang
库府资财,ku'fu'zi'cai
来朝,lai'chao
兰陵公主,lan'ling'gong'zhu
李弼,li'bi
李彻,li'che
历代之盛,li'dai'zhi'sheng
立国号为,li'guo'hao'wei
李虎,li'hu
李密,li'mi
李世民,li'shi'min
立为,li'wei
立为太子,li'wei'tai'zi
李延寿,li'yan'shou
黎阳,li'yang
李渊,li'yuan
李渊外祖父,li'yuan'wai'zu'fu
李渊祖父,li'yuan'zu'fu
