阿伯斯投影,a'bo'si'tou'ying
半色调,ban'se'diao
饱和度,bao'he'du
比较地图学,bi'jiao'de'tu'xue
比例量表,bi'li'liang'biao
变比例投影,bian'bi'li'tou'ying
编绘,bian'hui
编绘原图,bian'hui'yuan'tu
编辑大纲,bian'ji'da'gang
变形椭圆,bian'xing'tuo'yuan
标准纬线,biao'zhun'wei'xian
彩色复制,cai'se'fu'zhi
彩色校样,cai'se'jiao'yang
彩色线划校样,cai'se'xian'hua'jiao'yang
彩色样图,cai'se'yang'tu
草绘等高线,cao'hui'deng'gao'xian
差异阈,cha'yi'yu
城市制图,cheng'shi'zhi'tu
出版原图,chu'ban'yuan'tu
触觉地图,chu'jue'di'tu
大环投影,da'huan'tou'ying
打样,da'yang
等变形线,deng'bian'xing'xian
等级感,deng'ji'gan
等级结构,deng'ji'jie'gou
等积投影,deng'ji'tou'ying
等角投影,deng'jiao'tou'ying
等距量表,deng'ju'liang'biao
等距投影,deng'ju'tou'ying
等值灰度尺,deng'zhi'hui'du'chi
等值区域法,deng'zhi'qu'yu'fa
等值区域图,deng'zhi'qu'yu'tu
等值线地图,deng'zhi'xian'di'tu
等值线法,deng'zhi'xian'fa
地籍制图,di'ji'zhi'tu
地理通名,di'li'tong'ming
地理图,di'li'tu
地貌图,di'mao'tu
地貌形态示量图,di'mao'xing'tai'shi'liang'tu
地名录,di'ming'lu
地名索引,di'ming'suo'yin
地名正名,di'ming'zheng'ming
地名转写,di'ming'zhuan'xie
地势图,di'shi'tu
地图编缉,di'tu'bian'ji
地图表示法,di'tu'biao'shi'fa
地图传输,di'tu'chuan'shu
地图叠置分析,di'tu'die'zhi'fen'xi
地图分类,di'tu'fen'lei
地图分析,di'tu'fen'xi
地图符号学,di'tu'fu'hao'xue
地图复杂性,di'tu'fu'za'xing
地图负载量,di'tu'fu'zai'liang
地图概括,di'tu'gai'kuo
地图感受,di'tu'gan'shou
地图更新,di'tu'geng'xin
地图模型,di'tu'mo'xing
地图内容结构,di'tu'nei'rong'jie'gou
地图判读,di'tu'pan'du
地图评价,di'tu'ping'jia
地图谱用,di'tu'pu'yong
地图清晰性,di'tu'qing'xi'xing
地图色标,di'tu'se'biao
地图色谱,di'tu'se'pu
地图设计,di'tu'she'ji
地图数据结构,di'tu'shu'ju'jie'gou
地图数字化,di'tu'shu'zi'hua
地图信息,di'tu'xin'xi
地图易读性,di'tu'yi'du'xing
地图语法,di'tu'yu'fa
地图语言,di'tu'yu'yan
地图语义,di'tu'yu'yi
地图整饰,di'tu'zheng'shi
地图制图,di'tu'zhi'tu
地图制图软件,di'tu'zhi'tu'ruan'jian
地图注记,di'tu'zhu'ji
点方式,dian'fang'shi
点值法,dian'zhi'fa
点状符号,dian'zhuang'fu'hao
电子地图,dian'zi'di'tu
叠印,die'yin
定位检索,ding'wei'jian'suo
