宝康灵活配置,bao'kang'ling'huo'pei'zhi
宝康消费品,bao'kang'xiao'fei'pin
宝康债券,bao'kang'zhai'quan
宝盈策略,bao'ying'ce'lue
宝盈泛沿海,bao'ying'fan'yan'hai
宝盈鸿利收益,bao'ying'hong'li'shou'yi
博时第三产业,bo'shi'di'san'chan'ye
博时价值贰号,bo'shi'jia'zhi'er'hao
博时价值增长,bo'shi'jia'zhi'zeng'zhang
博时精选,bo'shi'jing'xuan
博时平衡配置,bo'shi'ping'heng'pei'zhi
博时稳定价值,bo'shi'wen'ding'jia'zhi
博时裕富,bo'shi'yu'fu
博时主题行业,bo'shi'zhu'ti'hang'ye
长城安心回报,chang'cheng'an'xin'hui'bao
长城久富,chang'cheng'jiu'fu
长城久恒,chang'cheng'jiu'heng
长城久泰,chang'cheng'jiu'tai
长城品牌,chang'cheng'pin'pai
长城消费增值,chang'cheng'xiao'fei'zeng'zhi
长盛成长价值,chang'sheng'cheng'zhang'jia'zhi
长盛动态精选,chang'sheng'dong'tai'jing'xuan
长盛同智优势,chang'sheng'tong'zhi'you'shi
长盛债券,chang'sheng'zhai'quan
长信金利,chang'xin'jin'li
长信银利精选,chang'xin'yin'li'jing'xuan
长信增利动态,chang'xin'zeng'li'dong'tai
大成创新成长,da'cheng'chuang'xin'cheng'zhang
大成积极成长,da'cheng'ji'ji'cheng'zhang
大成价值增长,da'cheng'jia'zhi'zeng'zhang
大成精选增值,da'cheng'jing'xuan'zeng'zhi
大成蓝筹稳健,da'cheng'lan'chou'wen'jian
大成生命周期,da'cheng'sheng'ming'zhou'qi
德盛安心成长,de'sheng'an'xin'cheng'zhang
德盛精选,de'sheng'jing'xuan
德盛稳健,de'sheng'wen'jian
德盛小盘,de'sheng'xiao'pan
德盛优势,de'sheng'you'shi
东方精选,dong'fang'jing'xuan
东方龙,dong'fang'long
东吴动力,dong'wu'dong'li
东吴嘉禾,dong'wu'jia'he
富国天博,fu'guo'tian'bo
富国天合,fu'guo'tian'he
富国天惠,fu'guo'tian'hui
富国天利,fu'guo'tian'li
富国天瑞,fu'guo'tian'rui
富国天益,fu'guo'tian'yi
富国天源,fu'guo'tian'yuan
工银红利,gong'yin'hong'li
工银价值,gong'yin'jia'zhi
工银精选,gong'yin'jing'xuan
工银收益,gong'yin'shou'a
工银稳健,gong'yin'wen'jian
光大红利股票,guang'da'hong'li'gu'piao
光大量化核心,guang'da'liang'hua'he'xin
光大新增长,guang'da'xin'zeng'zhang
广发策略优选,guang'fa'ce'lue'you'xuan
广发大盘成长,guang'fa'da'pan'cheng'zhang
广发聚丰,guang'fa'ju'feng
广发聚富,guang'fa'ju'fu
广发稳健,guang'fa'wen'jian
广发小盘,guang'fa'xiao'pan
国富潜力,guo'fu'qian'li
