爱州,ai'zhou
安北都护府,an'bei'du'hu'fu
安东都护府,an'dong'du'hu'fu
安南都护府,an'nan'du'hu'fu
安西都护府,an'xi'du'hu'fu
安西节度使,an'xi'jie'du'shi
安州,an'zhou
拔汗那,ba'han'na
巴州,ba'zhou
北都,bei'du
卑沙城,bei'sha'cheng
北庭都督府,bei'ting'du'du'fu
北庭都护府,bei'ting'du'hu'fu
汴州,bian'zhou
邠州,bin'zhou
渤海都督府,bo'hai'du'du'fu
勃利州,bo'li'zhou
播仙镇,bo'xian'zhen
亳州,bo'zhou
播州,bo'zhou
沧州,cang'zhou
单于都护府,chan'yu'du'hu'fu
长乐经略使,chang'le'jing'lue'shi
潮州,chao'zhou
辰州,chen'zhou
郴州,chen'zhou
陈州,chen'zhou
春州,chun'zhou
大勃律,da'bo'lv
鞑靼海峡,da'da'hai'xia
怛逻斯,da'luo'si
大室韦部,da'shi'wei'bu
代州,dai'zhou
儋州,dan'zhou
登州,deng'zhou
邓州,deng'zhou
棣州,di'zhou
东曹,dong'cao
东都,dong'du
东莱守捉,dong'lai'shou'zhuo
东牟守捉,dong'mou'shou'zhuo
东受降城,dong'shou'xiang'cheng
端州,duan'zhou
多玛,duo'ma
鄂霍茨克海,e'huo'ci'ke'hai
鄂州,e'zhou
范阳节度使,fan'yang'jie'du'shi
汾州,fen'zhou
丰州,feng'zhou
凤州,feng'zhou
峰州,feng'zhou
涪州,fu'zhou
福州,fu'zhou
甘州,gan'zhou
哥勿州都督府,ge'wu'zhou'du'du'fu
弓月城,gong'yue'cheng
骨利干,gu'li'gan
关内道,guan'nei'dao
光州,guang'zhou
广州,guang'zhou
归州,gui'zhou
国内城,guo'nei'cheng
海州,hai'zhou
杭州,hang'zhou
河北道,he'bei'dao
河东道,he'dong'dao
河东州,he'dong'zhou
和蛮部,he'man'bu
河南府,he'nan'fu
喝盘陀,he'pan'tuo
河西节度使,he'xi'jie'du'shi
合州,he'zhou
和州,he'zhou
河州,he'zhou
黑水部,hei'shui'bu
黑水都督府,hei'shui'du'du'fu
黑水府,hei'shui'fu
