表内科目,biao'nei'ke'mu
表外科目,biao'wai'ke'mu
部队特种存款帐户,bu'dui'te'zhong'cun'kuan'zhang'hu
采购帐户,cai'gou'zhang'hu
查清联行未达,cha'qing'lian'hang'wei'da
储蓄利息查算表,chu'xu'li'xi'cha'suan'biao
储蓄业务核算,chu'xu'ye'wu'he'suan
存款业务核算,cun'kuan'ye'wu'he'suan
存折帐户,cun'zhe'zhang'hu
代办发货委收,dai'ban'fa'huo'wei'shou
贷款业务核算,dai'kuan'ye'wu'he'suan
贷款帐户,dai'kuan'zhang'hu
代理国家金库业务,dai'li'guo'jia'jin'ku'ye'wu
代理收货委收,dai'li'shou'huo'wei'shou
当日抵用率,dang'ri'di'yong'lv
电汇,dian'hui
定额支票,ding'e'zhi'piao
发行基金,fa'xing'ji'jin
发行库,fa'xing'ku
分行辖内往来,fen'hang'xia'nei'wang'lai
辅助帐户,fu'zhu'zhang'hu
港澳及国外联行往来,gang'ao'ji'guo'wai'lian'hang'wang'lai
柜面监督,gui'mian'jian'du
国家金库存款帐户,guo'jia'jin'ku'cun'kuan'zhang'hu
国外代理行往来,guo'wai'dai'li'hang'wang'lai
汇兑,hui'dui
汇兑结算方式,hui'dui'jie'suan'fang'shi
货币发行管理,huo'bi'fa'xing'guan'li
货币发行业务,huo'bi'fa'xing'ye'wu
活放活收帐户,huo'fang'huo'shou'zhang'hu
基本帐户,ji'ben'zhang'hu
结算,jie'suan
结算管理体制,jie'suan'guan'li'ti'zhi
结算监督,jie'suan'jian'du
结算业务核算,jie'suan'ye'wu'he'suan
结算制裁,jie'suan'zhi'cai
金库报表,jin'ku'bao'biao
金银管理,jin'yin'guan'li
金银收兑业务,jin'yin'shou'dui'ye'wu
金银占款,jin'yin'zhan'kuan
经费限额支出帐户,jing'fei'xian'e'zhi'chu'zhang'hu
决算表,jue'suan'biao
开户,kai'hu
空白重要凭证,kong'bai'zhong'yao'ping'zheng
扣款顺序,kou'kuan'shun'xu
联行行号,lian'hang'hang'hao
联行来帐,lian'hang'lai'zhang
联行往来,lian'hang'wang'lai
联行往帐,lian'hang'wang'zhang
票币销毁制度,piao'bi'xiao'hui'zhi'du
票汇,piao'hui
票汇结算,piao'hui'jie'suan
票据交换,piao'ju'jiao'huan
票据交换所,piao'ju'jiao'huan'suo
全国联行对帐表,quan'guo'lian'hang'dui'zhang'biao
全国联行外汇往来,quan'guo'lian'hang'wai'hui'wang'lai
全国联行往来,quan'guo'lian'hang'wang'lai
三方交易直达结算,san'fang'jiao'yi'zhi'da'jie'suan
上贷下划核算方式,shang'dai'xia'hua'he'suan'fang'shi
同城结算,tong'cheng'jie'suan
同业往来,tong'ye'wang'lai
托收,tuo'shou
托收承付结算方式,tuo'shou'cheng'fu'jie'suan'fang'shi
托收无承付结算方式,tuo'shou'wu'cheng'fu'jie'suan'fang'shi
委托收款结算方式,wei'tuo'shou'kuan'jie'suan'fang'shi
下贷上转核算方式,xia'dai'shang'zhuan'he'suan'fang'shi
现金结算,xian'jin'jie'suan
现金项目电报,xian'jin'xiang'mu'dian'bao
销户,xiao'hu
信汇,xin'hui
押汇,ya'hui
业务库,ye'wu'ku
异地结算,yi'di'jie'suan
银行本票,yin'hang'ben'piao
银行财务管理,yin'hang'cai'wu'guan'li
银行财务收支计划,yin'hang'cai'wu'shou'zhi'ji'hua
银行出纳,yin'hang'chu'na
银行费用,yin'hang'fei'yong
银行稽核,yin'hang'ji'he
银行结算原则,yin'hang'jie'suan'yuan'ze
银行经济核算,yin'hang'jing'ji'he'suan
银行扣缴,yin'hang'kou'jiao
银行会计,yin'hang'kuai'ji
银行会计报表,yin'hang'kuai'ji'bao'biao
银行会计分录,yin'hang'kuai'ji'fen'lu
银行会计工作的任务与核算原则,yin'hang'kuai'ji'gong'zuo'de'ren'wu'yu'he'suan'yuan'ze
银行会计管理体制,yin'hang'kuai'ji'guan'li'ti'zhi
银行会计记帐方法,yin'hang'kuai'ji'ji'zhang'fang'fa
银行会计记帐规则,yin'hang'kuai'ji'ji'zhang'gui'ze
银行会计科目,yin'hang'kuai'ji'ke'mu
银行会计凭证,yin'hang'kuai'ji'ping'zheng
银行会计与出纳,yin'hang'kuai'ji'yu'chu'na
银行利润,yin'hang'li'run
银行统计,yin'hang'tong'ji
银行统计报表,yin'hang'tong'ji'bao'biao
银行统计分析,yin'hang'tong'ji'fen'xi
银行统计指标体系,yin'hang'tong'ji'zhi'biao'ti'xi
银行帐户,yin'hang'zhang'hu
银行帐务核对,yin'hang'zhang'wu'he'dui
银行帐务组织,yin'hang'zhang'wu'zu'zhi
邮政汇兑资金往来帐户,you'zheng'hui'dui'zi'jin'wang'lai'zhang'hu
预算内资金存款帐户,yu'suan'nei'zi'jin'cun'kuan'zhang'hu
预算外资金存款帐户,yu'suan'wai'zi'jin'cun'kuan'zhang'hu
远期支票,yuan'qi'zhi'piao
帐户管理,zhang'hu'guan'li
真假票鉴别,zhen'jia'piao'jian'bie
支票结算方式,zhi'piao'jie'suan'fang'shi
中国人民银行电子计算中心,zhong'guo'ren'min'yin'hang'dian'zi'ji'suan'zhong'xin
专用帐户,zhuan'yong'zhang'hu
转帐结算,zhuan'zhang'jie'suan
转帐结算方式,zhuan'zhang'jie'suan'fang'shi
转帐结算凭证,zhuan'zhang'jie'suan'ping'zheng
转帐结算原则,zhuan'zhang'jie'suan'yuan'ze
