安彬,an'bin
暗坑,an'keng
凹口,ao'kou
白石岐,bai'shi'qi
白叶,bai'ye
白叶村,bai'ye'cun
白叶塔,bai'ye'ta
白云堂,bai'yun'tang
坂寮,ban'liao
坂溪,ban'xi
板溪村,ban'xi'cun
保丰村,bao'feng'cun
保林,bao'lin
保宁,bao'ning
保太,bao'tai
保泰,bao'tai
陂坑,bei'keng
北山,bei'shan
笔架山,bi'jia'shan
菜坑,cai'keng
茶东,cha'dong
柴桥头,chai'qiao'tou
长塔,chang'ta
陈坑尾,chen'keng'wei
城坑,cheng'keng
丞相垒,cheng'xiang'lei
祠仔坑,ci'zai'keng
村尾,cun'wei
大丰,da'feng
大坪头,da'ping'tou
大溪墘,da'xi'qian
大洋,da'yang
大中,da'zhong
典常楼,dian'chang'lou
东家畲,dong'jia'she
东角,dong'jiao
墩古,dun'gu
峰村,feng'cun
丰田村,feng'tian'cun
葛竹洋,ge'zhu'yang
公祠,gong'ci
古风楼,gu'feng'lou
古溪,gu'xi
瓜炉,gua'lu
河口,he'kou
合溪,he'xi
横头,heng'tou
后坂,hou'ban
后隔,hou'ge
后间,hou'jian
后坑,hou'keng
后头山,hou'tou'shan
胶东坂,jiao'dong'ban
莒舟,ju'zhou
莒州村,ju'zhou'cun
魁楼,kui'lou
赖保田,lai'bao'tian
兰田,lan'tian
兰田村,lan'tian'cun
乐土,le'tu
林坑园,lin'keng'yuan
林田,lin'tian
林仔口,lin'zai'kou
岭后,ling'hou
陵坑,ling'keng
陵坑水库,ling'keng'shui'ku
柳溪,liu'xi
龙华山,long'hua'shan
龙埔,long'pu
龙伞岽,long'san'dong
炉前,lu'qian
炉尾,lu'wei
罗形脚,luo'xing'jiao
南墩,nan'dun
南坑,nan'keng
南市场,nan'shi'chang
内田,nei'tian
七姐妹,qi'jie'mei
前林,qian'lin
前洋,qian'yang
庆丰,qing'feng
青石岭,qing'shi'ling
庆云楼,qing'yun'lou
仁和村,ren'he'cun
仁沙炉,ren'sha'lu
三井,san'jing
三坑村,san'keng'cun
山坪头,shan'ping'tou
山埔,shan'pu
上方山,shang'fang'shan
上南墩,shang'nan'dun
上亲,shang'qin
上溪柄,shang'xi'bing
上屿,shang'yu
上屿村,shang'yu'cun
社坑,she'keng
胜丰,sheng'feng
石碑,shi'bei
石门炉,shi'men'lu
肃威,su'wei
塘墘,tang'qian
田头坑,tian'tou'keng
土城南路,tu'cheng'nan'lu
万公祠,wan'gong'ci
王墘,wang'qian
文明塔,wen'ming'ta
温庄,wen'zhuang
温庄村,wen'zhuang'cun
吴公祠,wu'gong'ci
溪柄,xi'bing
溪柄村,xi'bing'cun
西柄水库,xi'bing'shui'ku
溪东洋,xi'dong'yang
西坑,xi'keng
溪尾,xi'wei
下庵仔,xia'an'zai
霞村,xia'cun
霞村村,xia'cun'cun
下隔,xia'ge
下合溪,xia'he'xi
下圩,xia'xu
下屿,xia'yu
下屿村,xia'yu'cun
象山,xiang'shan
象山村,xiang'shan'cun
谢氏家庙,xie'shi'jia'miao
新祠村,xin'ci'cun
许坑,xu'keng
颜祠,yan'ci
颜祠村,yan'ci'cun
颜中,yan'zhong
颜中村,yan'zhong'cun
洋东村,yang'dong'cun
杨头,yang'tou
银场,yin'chang
营坑,ying'keng
营坑村,ying'keng'cun
永溪,yong'xi
盂头,yu'tou
元宝山,yuan'bao'shan
源丰,yuan'feng
中溪,zhong'xi
中溪村,zhong'xi'cun
中心村,zhong'xin'cun
中圩,zhong'xu
中央林,zhong'yang'lin
竹华,zhu'hua
竹华村,zhu'hua'cun
