百花亭,bai'hua'ting
宝钗代绣,bao'chai'dai'xiu
背娃入府,bei'wa'ru'fu
碧玉将军,bi'yu'jiang'jun
碧云寺,bi'yun'si
不垂别泪,bu'chui'bie'lei
草诏敲牙,cao'zhao'qiao'ya
查关,cha'guan
长坂坡,chang'ban'po
长随叹,chang'sui'tan
沉香亭,chen'xiang'ting
赤壁赋,chi'bi'fu
痴诉,chi'su
厨子叹,chu'zi'tan
椿龄画蔷,chun'ling'hua'qiang
春香闹学,chun'xiang'nao'xue
刺梁,ci'liang
翠屏云,cui'ping'yun
大力将军,da'li'jiang'jun
大战脱空,da'zhan'tuo'kong
黛玉悲秋,dai'yu'bei'qiu
单刀会,dan'dao'hui
盗令,dao'ling
盗令牌,dao'ling'pai
得钞傲妻,de'chao'ao'qi
灯谜会,deng'mi'hui
东吴招亲,dong'wu'zhao'qin
二玉论心,er'yu'lun'xin
樊金定骂城,fan'jin'ding'ma'cheng
访贤,fang'xian
飞熊梦,fei'xiong'meng
凤仪亭,feng'yi'ting
芙蓉诔,fu'rong'lei
葛巾传,ge'jin'chuan
宫花报喜,gong'hua'bao'xi
逛二闸,guang'er'zha
合钵,he'bo
红梅阁,hong'mei'ge
红娘寄柬,hong'niang'ji'jian
红叶题诗,hong'ye'ti'shi
胡迪骂阎,hu'di'ma'yan
魂辩,hun'bian
祭姬,ji'ji
集锦书目,ji'jin'shu'mu
祭塔,ji'ta
结缘书,jie'yuan'shu
锦水祠,jin'shui'ci
惊变埋玉,jing'bian'mai'yu
拷红,kao'hong
哭城,ku'cheng
廊会,lang'hui
连升三级,lian'sheng'san'ji
刘高手治病,liu'gao'shou'zhi'bing
柳敬亭,liu'jing'ting
刘阮入天台,liu'ruan'ru'tian'tai
露泪缘,lu'lei'yuan
罗成托梦,luo'cheng'tuo'meng
罗杀鬼国,luo'sha'gui'guo
绿衣女,lv'yi'nv
马嵬驿,ma'wei'yi
卖刀试刀,mai'dao'shi'dao
孟子见梁惠王,meng'zi'jian'liang'hui'wang
螃蟹段儿,pang'xie'duan'er
品荣栊翠庵,pin'rong'long'cui'an
齐陈相骂,qi'chen'xiang'ma
奇逢,qi'feng
七夕密誓,qi'xi'mi'shi
千金全德,qian'jin'quan'de
遣晴雯,qian'qing'wen
晴雯撕扇,qing'wen'si'shan
僧尼会,seng'ni'hui
石头记,shi'tou'ji
史湘云醉酒,shi'xiang'yun'zui'jiu
石玉昆,shi'yu'kun
梳妆台,shu'zhuang'tai
双玉埋红,shuang'yu'mai'hong
双玉听琴,shuang'yu'ting'qin
送表妹,song'biao'mei
随缘乐,sui'yuan'le
叹武侯,tan'wu'hou
桃洞仙缘,tao'dong'xian'yuan
调精忠,tiao'jing'zhong
闻铃,wen'ling
下河南,xia'he'nan
先生叹,xian'sheng'tan
湘潭景,xiang'tan'jing
新送郎歌,xin'song'lang'ge
续钞借银,xu'chao'jie'yin
续骂城,xu'ma'cheng
雪艳刺汤,xue'yan'ci'tang
寻夫曲,xun'fu'qu
寻梦,xun'meng
胭脂传,yan'zhi'chuan
一入荣国府,yi'ru'rong'guo'fu
忆真妃,yi'zhen'fei
永福寺,yong'fu'si
游亭入馆,you'ting'ru'guan
玉香花语,yu'xiang'hua'yu
葬花,zang'hua
斩窦娥,zhan'dou'e
昭君出塞,zhao'jun'chu'sai
诸葛骂朗,zhu'ge'ma'lang
庄氏降香,zhuang'shi'jiang'xiang
追信,zhui'xin
醉打山门,zui'da'shan'men
坐楼杀惜,zuo'lou'sha'xi
