北向上显示,bei'xiang'shang'xian'shi
比特二进制位,bi'te'er'jin'zhi'wei
步导虚拟路,bu'dao'xu'ni'lu
不可移动路障,bu'ke'yi'dong'lu'zhang
步行道路,bu'xing'dao'lu
步行街,bu'xing'jie
参考椭球体,can'kao'tuo'qiu'ti
参考系,can'kao'xi
潮汐车道,chao'xi'che'dao
车道,che'dao
车头向上显示,che'tou'xiang'shang'xian'shi
城市次干道,cheng'shi'ci'gan'dao
城市快速路,cheng'shi'kuai'su'lu
城市其他道路,cheng'shi'qi'ta'dao'lu
城市支路,cheng'shi'zhi'lu
城市主干道,cheng'shi'zhu'gan'dao
充电站,chong'dian'zhan
出口编号,chu'kou'bian'hao
垂直参考系,chui'zhi'can'kao'xi
磁偏角,ci'pian'jiao
错误率,cuo'wu'lv
大地测量基准,da'di'ce'liang'ji'zhun
大地测量基准面,da'di'ce'liang'ji'zhun'mian
大地测量学,da'di'ce'liang'xue
大地高,da'di'gao
大地水准面,da'di'shui'zhun'mian
大地水准面起伏,da'di'shui'zhun'mian'qi'fu
大门,da'men
代码,dai'ma
导航,dao'hang
导航地图数据库,dao'hang'di'tu'shu'ju'ku
导航电子地图,dao'hang'dian'zi'di'tu
导航电子地图产品,dao'hang'dian'zi'di'tu'chan'pin
导航星全球定位系统,dao'hang'xing'quan'qiu'ding'wei'xi'tong
道路,dao'lu
道路编号,dao'lu'bian'hao
道路材质,dao'lu'cai'zhi
道路的交通流方向,dao'lu'de'jiao'tong'liu'fang'xiang
道路的铺装条件,dao'lu'de'pu'zhuang'tiao'jian
道路功能等级,dao'lu'gong'neng'deng'ji
道路技术等级,dao'lu'ji'shu'deng'ji
道路间的交汇关系,dao'lu'jian'de'jiao'hui'guan'xi
道路宽度,dao'lu'kuan'du
道路路段方向示意图,dao'lu'lu'duan'fang'xiang'shi'yi'tu
道路通行方向,dao'lu'tong'xing'fang'xiang
道路网络,dao'lu'wang'luo
道路网络结点,dao'lu'wang'luo'jie'dian
道路形态,dao'lu'xing'tai
道路形状点,dao'lu'xing'zhuang'dian
道路种别,dao'lu'zhong'bie
地理信息系统,di'li'xin'xi'xi'tong
地理学,di'li'xue
地名点,di'ming'dian
地图,di'tu
地图背景数据,di'tu'bei'jing'shu'ju
地图比例尺,di'tu'bi'li'chi
地图导航数据,di'tu'dao'hang'shu'ju
地图符号,di'tu'fu'hao
地图更新,di'tu'geng'xin
地图精度,di'tu'jing'du
地图匹配,di'tu'pi'pei
地图投影,di'tu'tou'ying
地图图层,di'tu'tu'ceng
地图现势性,di'tu'xian'shi'xing
地图质量,di'tu'zhi'liang
地形学,di'xing'xue
地址,di'zhi
地址编码,di'zhi'bian'ma
电商网站成交额,dian'shang'wang'zhan'cheng'jiao'e
点要素,dian'yao'su
电子地图,dian'zi'di'tu
电子眼,dian'zi'yan
掉头口,diao'tou'kou
定位模块,ding'wei'mo'kuai
定义域,ding'yi'yu
渡口连接点,du'kou'lian'jie'dian
渡口联络线,du'kou'lian'luo'xian
对象,dui'xiang
多媒体,duo'mei'ti
