阿尔塞斯,a'er'sai'si
阿卡那瑟德刺人,a'ka'na'se'de'ci'ren
阿卡那瑟德领主,a'ka'na'se'de'ling'zhu
阿卡那瑟德战士,a'ka'na'se'de'zhan'shi
阿利亚之笛,a'li'ya'zhi'di
艾鲁尼之优雅,ai'lu'ni'zhi'you'ya
矮人火枪手,ai'ren'huo'qiang'shou
矮人狙击手,ai'ren'ju'ji'shou
矮人直升机,ai'ren'zhi'sheng'ji
矮人直升机炸弹,ai'ren'zhi'sheng'ji'zha'dan
艾萨拉,ai'sa'la
暗黑游侠,an'hei'you'xia
黯灭,an'mie
暗牧,an'mu
暗夜,an'ye
暗夜精灵,an'ye'jing'ling
暗夜精灵形态,an'ye'jing'ling'xing'tai
暗夜魔王,an'ye'mo'wang
暗影猎手,an'ying'lie'shou
暗影牧师,an'ying'mu'shi
暗影萨满,an'ying'sa'man
暗影突袭,an'ying'tu'xi
八狼,ba'lang
白虎,bai'hu
白牛,bai'niu
白猪,bai'zhu
斑点狗,ban'dian'gou
半人马刺客,ban'ren'ma'ci'ke
半人马弓箭手,ban'ren'ma'gong'jian'shou
半人马可汗,ban'ren'ma'ke'han
半人马苦工,ban'ren'ma'ku'gong
半人马酋长,ban'ren'ma'qiu'zhang
半人马巫师,ban'ren'ma'wu'shi
半人马先行者,ban'ren'ma'xian'xing'zhe
半人猛犸,ban'ren'meng'ma
半兽人之斧,ban'shou'ren'zhi'fu
暴风雪,bao'feng'xue
保护卷轴,bao'hu'juan'zhou
暴怒枭兽,bao'nu'xiao'shou
爆小黑,bao'xiao'hei
背背兽,bei'bei'shou
变体精灵,bian'ti'jing'ling
变形术,bian'xing'shu
变羊,bian'yang
变异两栖人,bian'yi'liang'qi'ren
冰冻喷吐,bing'dong'pen'tu
冰冻之箭,bing'dong'zhi'jian
冰封,bing'feng
冰封禁锢,bing'feng'jin'gu
冰封王座,bing'feng'wang'zuo
冰火两重天,bing'huo'liang'chong'tian
冰甲,bing'jia
