标题,biao'ti
标题句,biao'ti'ju
表演纲要,biao'yan'gang'yao
剥版,bo'ban
布局图,bu'ju'tu
不正当广告,bu'zheng'dang'guang'gao
插播广告,cha'bo'guang'gao
插图画家,cha'tu'hua'jia
产品概念,chan'pin'gai'nian
倡导广告,chang'dao'guang'gao
长期宏观论,chang'qi'hong'guan'lun
衬线字体,chen'xian'zi'ti
出格,chu'ge
出镜头,chu'jing'tou
出血版,chu'xie'ban
传播媒介,chuan'bo'mei'jie
传媒炒作,chuan'mei'chao'zuo
传媒工具,chuan'mei'gong'ju
创意,chuang'yi
创意纲要,chuang'yi'gang'yao
创意过程,chuang'yi'guo'cheng
创意金字塔,chuang'yi'jin'zi'ta
创意总监,chuang'yi'zong'jian
创造,chuang'zao
慈善行为,ci'shan'xing'wei
粗体,cu'ti
大创意,da'chuang'yi
单词计算式,dan'ci'ji'suan'shi
导演,dao'yan
底片,di'pian
电脑亭,dian'nao'ting
电影摄影师,dian'ying'she'ying'shi
电子制作,dian'zi'zhi'zuo
叠,die
动画技法,dong'hua'ji'fa
短期操纵论,duan'qi'cao'zong'lun
对白独白式正文,dui'bai'du'bai'shi'zheng'wen
多媒体演示,duo'mei'ti'yan'shi
法官,fa'guan
反差套印,fan'cha'tao'yin
方案人员,fang'an'ren'yuan
非产品事实,fei'chan'pin'shi'shi
非公开场所,fei'gong'kai'chang'suo
非文字,fei'wen'zi
分色,fen'se
封面纸,feng'mian'zhi
副标题,fu'biao'ti
伏击式营销,fu'ji'shi'ying'xiao
复映复播追加酬金,fu'ying'fu'bo'zhui'jia'chou'jin
复制带,fu'zhi'dai
概念化,gai'nian'hua
感性诉求,gan'xing'su'qiu
个人场所,ge'ren'chang'suo
歌谣式,ge'yao'shi
公告牌,gong'gao'pai
公共场所,gong'gong'chang'suo
公共关系户,gong'gong'guan'xi'hu
公共事务,gong'gong'shi'wu
工作样片,gong'zuo'yang'pian
故事板,gu'shi'ban
故事板草图,gu'shi'ban'cao'tu
广告讯息,guang'gao'xun'xi
国家广告审查局,guo'jia'guang'gao'shen'cha'ju
国家广告审查委员会,guo'jia'guang'gao'shen'cha'wei'yuan'hui
合成样片,he'cheng'yang'pian
合套,he'tao
后期制作阶段,hou'qi'zhi'zuo'jie'duan
互动电视,hu'dong'dian'shi
机构广告,ji'gou'guang'gao
技巧,ji'qiao
技巧式正文,ji'qiao'shi'zheng'wen
加空铅,jia'kong'qian
价值型思维,jia'zhi'xing'si'wei
肩题,jian'ti
结尾,jie'wei
截止期,jie'zhi'qi
拷贝,kao'bei
课本,ke'ben
控险家,kong'xian'jia
控制室,kong'zhi'shi
口号,kou'hao
夸大,kua'da
蓝线,lan'xian
理性诉求,li'xing'su'qiu
利益式标题,li'yi'shi'biao'ti
连续调,lian'xu'tiao
美国专利与商标署,mei'guo'zhuan'li'yu'shang'biao'shu
美术总监,mei'shu'zong'jian
命令式标题,ming'ling'shi'biao'ti
末稿,mo'gao
目标受众,mu'biao'shou'zhong
母带,mu'dai
目凸版,mu'tu'ban
内部通报,nei'bu'tong'bao
排印工艺,pai'yin'gong'yi
旁白,pang'bai
拼版,pin'ban
平台使用费,ping'tai'shi'yong'fei
企业广告,qi'ye'guang'gao
企业识别广告,qi'ye'shi'bie'guang'gao
企业形象式正文,qi'ye'xing'xiang'shi'zheng'wen
前期市场企业广告,qian'qi'shi'chang'qi'ye'guang'gao
潜意识广告,qian'yi'shi'guang'gao
全国广告处,quan'guo'guang'gao'chu
任务夹,ren'wu'jia
色基,se'ji
晒版台纸,shai'ban'tai'zhi
商标,shang'biao
社会参与,she'hui'can'yu
社会责任,she'hui'ze'ren
设计,she'ji
社论式广告,she'lun'shi'guang'gao
摄影师,she'ying'shi
生活方式式技法,sheng'huo'fang'shi'shi'ji'fa
声频,sheng'pin
实景真人,shi'jing'zhen'ren
事实型思维,shi'shi'xing'si'wei
视听,shi'ting
收尾,shou'wei
数码视频效应装置,shu'ma'shi'pin'xiao'ying'zhuang'zhi
书写纸,shu'xie'zhi
数字校样,shu'zi'jiao'yang
数字媒介,shu'zi'mei'jie
四色印刷,si'se'yin'shua
特技,te'ji
特排字体,te'pai'zi'ti
特写,te'xie
透明塑料膜,tou'ming'su'liao'mo
头脑风暴法,tou'nao'feng'bao'fa
图标,tu'biao
图片说明式正文,tu'pian'shuo'ming'shi'zheng'wen
外景地,wai'jing'di
网屏,wang'ping
网页,wang'ye
危机管理,wei'ji'guan'li
文字的,wen'zi'de
无衬线字体,wu'chen'xian'zi'ti
吸引技巧,xi'yin'ji'qiao
线画版,xian'hua'ban
小样,xiao'yang
新闻简报,xin'wen'jian'bao
新闻信息式标题,xin'wen'xin'xi'shi'biao'ti
信息性,xin'xi'xing
形象化,xing'xiang'hua
叙述式正文,xu'shu'shi'zheng'wen
讯息战略,xun'xi'zhan'lue
演播人员,yan'bo'ren'yuan
演示,yan'shi
样片,yang'pian
一场,yi'chang
以货代款,yi'huo'dai'kuan
意见抽样,yi'jian'chou'yang
艺术,yi'shu
艺术方向,yi'shu'fang'xiang
艺术家,yi'shu'jia
一套铅字,yi'tao'qian'zi
音控台,yin'kong'tai
隐私权,yin'si'quan
音乐标志,yin'yue'biao'zhi
音乐式广告,yin'yue'shi'guang'gao
营销公关,ying'xiao'gong'guan
硬性软片,ying'xing'ruan'pian
营养标识与教育法,ying'yang'biao'zhi'yu'jiao'yu'fa
游说,you'shui
预备段落,yu'bei'duan'luo
娱乐,yu'le
展品,zhan'pin
招贴,zhao'tie
照相排版术,zhao'xiang'pai'ban'shu
照相制版,zhao'xiang'zhi'ban
整合广告,zheng'he'guang'gao
证据,zheng'ju
正色投影胶片,zheng'se'tou'ying'jiao'pian
证实,zheng'shi
正文,zheng'wen
正文字体,zheng'wen'zi'ti
证言,zheng'yan
指定,zhi'ding
直截了当式,zhi'jie'liao'dang'shi
直接推销式正文,zhi'jie'tui'xiao'shi'zheng'wen
指令,zhi'ling
制片场,zhi'pian'chang
制片人,zhi'pian'ren
制作阶段,zhi'zuo'jie'duan
助记手段,zhu'ji'shou'duan
主题句,zhu'ti'ju
转换性,zhuan'huan'xing
专利,zhuan'li
自动台词提示器,zi'dong'tai'ci'ti'shi'qi
字计算式,zi'ji'suan'shi
字系,zi'xi
组排,zu'pai
最低合同工资,zui'di'he'tong'gong'zi
