宝器,bao'qi
北俱芦洲,bei'ju'lu'zhou
毕方,bi'fang
蚩尤,chi'you
传承,chuan'cheng
淬体,cui'ti
大八卦术,da'ba'gua'shu
大本源术,da'ben'yuan'shu
大崩灭术,da'beng'mie'shu
大变化术,da'bian'hua'shu
大辩论术,da'bian'lun'shu
大冰冻术,da'bing'dong'shu
大苍穹术,da'cang'qiong'shu
大缠绕术,da'chan'rao'shu
大超度术,da'chao'du'shu
大潮汐术,da'chao'xi'shu
大道德术,da'dao'de'shu
大道三千,da'dao'san'qian
大梵天,da'fan'tian
大封神术,da'feng'shen'shu
大封印术,da'feng'yin'shu
大感召术,da'gan'zhao'shu
大光芒术,da'guang'mang'shu
大黑暗术,da'hei'an'shu
大护身术,da'hu'shen'shu
大混沌术,da'hun'dun'shu
大祭祀术,da'ji'si'shu
大解脱术,da'jie'tuo'shu
大劫运术,da'jie'yun'shu
大剧毒术,da'ju'du'shu
大枯荣术,da'ku'rong'shu
大傀儡术,da'kui'lei'shu
大炼宝术,da'lian'bao'shu
大疗伤术,da'liao'shang'shu
大灵魂术,da'ling'hun'shu
大龙相术,da'long'xiang'shu
大轮回术,da'lun'hui'shu
大律令术,da'lv'ling'shu
大灭情术,da'mie'qing'shu
大命运术,da'ming'yun'shu
大挪移术,da'nuo'yi'shu
大咆哮术,da'pao'xiao'shu
大普渡术,da'pu'du'shu
大切割术,da'qie'ge'shu
大杀戮术,da'sha'lu'shu
大社稷术,da'she'ji'shu
大世界术,da'shi'jie'shu
大双修术,da'shuang'xiu'shu
大统治术,da'tong'zhi'shu
大推演术,da'tui'yan'shu
大吞噬术,da'tun'shi'shu
大王霸术,da'wang'ba'shu
大巫,da'wu
大五行术,da'wu'xing'shu
大心魔术,da'xin'mo'shu
大星辰术,da'xing'chen'shu
大血魄术,da'xue'po'shu
大穴窍术,da'xue'qiao'shu
大因果术,da'yin'guo'shu
大阴阳术,da'yin'yang'shu
大预言术,da'yu'yan'shu
大愿望术,da'yuan'wang'shu
大灾难书,da'zai'nan'shu
大召唤术,da'zhao'huan'shu
大祝福术,da'zhu'fu'shu
大追踪术,da'zhui'zong'shu
大诅咒术,da'zu'zhou'shu
丹武双修,dan'wu'shuang'xiu
丹药,dan'yao
地火道体,di'huo'dao'ti
帝江,di'jiang
帝俊,di'jun
地狱界,di'yu'jie
典籍,dian'ji
东皇太一,dong'huang'tai'yi
东胜神洲,dong'sheng'shen'zhou
渡劫,du'jie
法宝,fa'bao
返虚,fan'xu
防风,fang'feng
飞升,fei'sheng
风伯,feng'bo
根骨,gen'gu
功法,gong'fa
共工,gong'gong
句芒,gou'mang
鬼界,gui'jie
鬼灵族,gui'ling'zu
鬼族,gui'zu
鸿钧,hong'jun
鸿蒙圣体,hong'meng'sheng'ti
后土,hou'tu
后羿,hou'yi
化神,hua'shen
黄帝,huang'di
皇器,huang'qi
魂界,hun'jie
魂力,hun'li
混元河洛大阵,hun'yuan'he'luo'da'zhen
魂族,hun'zu
火灵根,huo'ling'gen
计蒙,ji'meng
剑术,jian'shu
劫雷,jie'lei
接引道人,jie'yin'dao'ren
金丹,jin'dan
金灵根,jin'ling'gen
金木水火土,jin'mu'shui'huo'tu
金乌,jin'wu
精灵族,jing'ling'zu
九凤,jiu'feng
九九天劫,jiu'jiu'tian'jie
九黎,jiu'li
九秘,jiu'mi
空间裂缝,kong'jian'lie'feng
空间乱流,kong'jian'luan'liu
空间阵法,kong'jian'zhen'fa
夸父,kua'fu
老子,lao'zi
炼丹,lian'dan
炼丹师,lian'dan'shi
炼器,lian'qi
炼器师,lian'qi'shi
灵界,ling'jie
灵器,ling'qi
凌烟阁,ling'yan'ge
灵植,ling'zhi
灵族,ling'zu
六九天劫,liu'jiu'tian'jie
龙血体质,long'xue'ti'zhi
冥河教祖,ming'he'jiao'zu
魔界,mo'jie
魔兽族,mo'shou'zu
魔武双修,mo'wu'shuang'xiu
魔族,mo'zu
木灵根,mu'ling'gen
南瞻部洲,nan'zhan'bu'zhou
念力,nian'li
女娲娘娘,nv'wa'niang'niang
盘古,pan'gu
乾坤体质,qian'kun'ti'zhi
强良,qiang'liang
青牛,qing'niu
情修,qing'xiu
人间界,ren'jian'jie
人族,ren'zu
蓐收,ru'shou
三九天劫,san'jiu'tian'jie
三十三重天,san'shi'san'chong'tian
色欲天,se'yu'tian
上古十大魔兽,shang'gu'shi'da'mo'shou
上古十大神器,shang'gu'shi'da'shen'qi
上古十大神兽,shang'gu'shi'da'shen'shou
上古十大凶器,shang'gu'shi'da'xiong'qi
上古十大凶兽,shang'gu'shi'da'xiong'shou
奢比尸,she'bi'shi
神话体质,shen'hua'ti'zhi
神界,shen'jie
神晶,shen'jing
神族,shen'zu
圣族,sheng'zu
十二都天神煞阵,shi'er'dou'tian'shen'sha'zhen
湿婆,shi'po
兽人族,shou'ren'zu
兽族,shou'zu
水灵根,shui'ling'gen
四大部洲,si'da'bu'zhou
太上丹道,tai'shang'dan'dao
太上忘情录,tai'shang'wang'qing'lu
太上忘情宗,tai'shang'wang'qing'zong
叹息之墙,tan'xi'zhi'qiang
饕餮,tao'tie
天波旬,tian'bo'xun
天界,tian'jie
天人族,tian'ren'zu
天吴,tian'wu
天族,tian'zu
通天教主,tong'tian'jiao'zhu
通天眼,tong'tian'yan
土灵根,tu'ling'gen
位面,wei'mian
武技,wu'ji
五行,wu'xing
五行八卦,wu'xing'ba'gua
巫族,wu'zu
羲和,xi'he
西贺牛洲,xi'he'niu'zhou
仙族,xian'zu
相柳,xiang'liu
香炉,xiang'lu
邪灵族,xie'ling'zu
刑天,xing'tian
修罗界,xiu'luo'jie
修罗族,xiu'luo'zu
修真界,xiu'zhen'jie
玄都,xuan'du
玄黄体质,xuan'huang'ti'zhi
玄冥,xuan'ming
血族,xue'zu
妖丹,yao'dan
妖皇,yao'huang
妖界,yao'jie
药灵圣体,yao'ling'sheng'ti
妖兽,yao'shou
妖族,yao'zu
英招,ying'zhao
幽冥血海,you'ming'xue'hai
有熊,you'xiong
雨师,yu'shi
羽族,yu'zu
元始天尊,yuan'shi'tian'zun
元婴,yuan'ying
龠兹,yue'zi
战神,zhan'shen
战神殿,zhan'shen'dian
战王,zhan'wang
阵法,zhen'fa
真情修,zhen'qing'xiu
周天星斗大阵,zhou'tian'xing'dou'da'zhen
烛九阴,zhu'jiu'yin
祝融,zhu'rong
准提道人,zhun'ti'dao'ren
宗门,zong'men
祖巫,zu'wu
