百卉广场,bai'hui'guang'chang
百卉路,bai'hui'lu
北楼,bei'lou
北院,bei'yuan
博观楼,bo'guan'lou
博文楼,bo'wen'lou
博学楼,bo'xue'lou
博雅楼,bo'ya'lou
博逸楼,bo'yi'lou
博远楼,bo'yuan'lou
博知楼,bo'zhi'lou
长汀路号宿舍区,chang'ting'lu'hao'su'she'qu
成人教育学院,cheng'ren'jiao'yu'xue'yuan
诚思楼,cheng'si'lou
德晖楼,de'hui'lou
德润楼,de'run'lou
德雅楼,de'ya'lou
德音楼,de'yin'lou
德正楼,de'zheng'lou
电工电子实验室,dian'gong'dian'zi'shi'yan'shi
东部校区,dong'bu'xiao'qu
东二,dong'er
东教,dong'jiao
东十二教,dong'shi'er'jiao
东西院交界处,dong'xi'yuan'jiao'jie'chu
东校东院,dong'xiao'dong'yuan
东校区东院号,dong'xiao'qu'dong'yuan'hao
东校区西院号,dong'xiao'qu'xi'yuan'hao
东校西院,dong'xiao'xi'yuan
东一,dong'yi
东院,dong'yuan
笃行楼,du'xing'lou
法学院,fa'xue'yuan
纺织服装学院,fang'zhi'fu'zhuang'xue'yuan
浮山,fu'shan
浮山公寓,fu'shan'gong'yu
浮山校区,fu'shan'xiao'qu
浮山苑,fu'shan'yuan
高等职业技术学院,gao'deng'zhi'ye'ji'shu'xue'yuan
公共合堂教室楼,gong'gong'he'tang'jiao'shi'lou
公共教学楼,gong'gong'jiao'xue'lou
供热中心,gong're'zhong'xin
国际交流处,guo'ji'jiao'liu'chu
国际商学院,guo'ji'shang'xue'yuan
国际学术交流中心,guo'ji'xue'shu'jiao'liu'zhong'xin
海军潜艇学院,hai'jun'qian'ting'xue'yuan
海月东路,hai'yue'dong'lu
海月广场,hai'yue'guang'chang
海月西路,hai'yue'xi'lu
汉语言学院,han'yu'yan'xue'yuan
涵园,han'yuan
浩园餐厅,hao'yuan'can'ting
浩园号,hao'yuan'hao
泓园,hong'yuan
泓园餐厅,hong'yuan'can'ting
泓园号,hong'yuan'hao
化工学院,hua'gong'xue'yuan
华文学院,hua'wen'xue'yuan
化学化工与环境学院,hua'xue'hua'gong'yu'huan'jing'xue'yuan
环境学院,huan'jing'xue'yuan
慧湖,hui'hu
汇园,hui'yuan
汇园号,hui'yuan'hao
汇园路,hui'yuan'lu
霍尔姆斯学院,huo'er'mu'si'xue'yuan
机电工程学院,ji'dian'gong'cheng'xue'yuan
计算机,ji'suan'ji
教务在线,jiao'wu'zai'xian
教学楼,jiao'xue'lou
经济管理学院,jing'ji'guan'li'xue'yuan
经济学院,jing'ji'xue'yuan
经贸部疗养院,jing'mao'bu'liao'yang'yuan
静思楼号,jing'si'lou'hao
崂山区松岭路中段,lao'shan'qu'song'ling'lu'zhong'duan
理工学院,li'gong'xue'yuan
励行楼,li'xing'lou
柳园,liu'yuan
浏园,liu'yuan
