阿鲁纳,a'lu'na
爱德华林,ai'de'hua'lin
埃菲莫娃,ai'fei'mo'wa
埃迈谢,ai'mai'xie
艾衍含,ai'yan'han
安家杰,an'jia'jie
安娜科拉卡奇,an'na'ke'la'ka'qi
奥古斯蒂安尼,ao'gu'si'di'an'ni
奥莱克西亚克,ao'lai'ke'xi'ya'ke
奥林匹克射击中心,ao'lin'pi'ke'she'ji'zhong'xin
奥林匹克体育场,ao'lin'pi'ke'ti'yu'chang
奥鲁约夫,ao'lu'yue'fu
巴拉奥林匹克公园,ba'la'ao'lin'pi'ke'gong'yuan
巴齐尔,ba'qi'er
巴特萨拉斯基纳,ba'te'sa'la'si'ji'na
巴西利亚,ba'xi'li'ya
巴震,ba'zhen
鲍迪亚,bao'di'ya
鲍语晴,bao'yu'qing
包壮,bao'zhuang
贝克,bei'ke
贝洛奥里藏特,bei'luo'ao'li'zang'te
本努瓦,ben'nu'wa
毕晓琳,bi'xiao'lin
卞卡,bian'ka
蔡家东,cai'jia'dong
蔡泽林,cai'ze'lin
蔡振华,cai'zhen'hua
曹慧,cao'hui
曹硕,cao'shuo
曹缘,cao'yuan
曹玥,cao'yue
柴彪,chai'biao
柴飚,chai'biao
炒鸡蛋,chao'ji'dan
超级丹,chao'ji'dan
陈艾森,chen'ai'sen
陈定,chen'ding
陈方灿,chen'fang'can
陈海威,chen'hai'wei
陈洁,chen'jie
陈金,chen'jin
谌龙,chen'long
陈璐怡,chen'lu'yi
陈其遒,chen'qi'qiu
陈若琳,chen'ruo'lin
陈欣怡,chen'xin'yi
陈扬,chen'yang
陈志宇,chen'zhi'yu
程训钊,cheng'xun'zhao
崔登荣,cui'deng'rong
达米拉诺,da'mi'la'nuo
达米耶伊洛桑斯,da'mi'ye'yi'luo'sang'si
戴利,dai'li
丹羽孝希,dan'yu'xiao'xi
德奥多鲁赛区青年体育馆,de'ao'duo'lu'sai'qu'qing'nian'ti'yu'guan
德奥多鲁体育中心,de'ao'duo'lu'ti'yu'zhong'xin
德蒂,de'di
德拉普,de'la'pu
邓爱民,deng'ai'min
邓书弟,deng'shu'di
邓薇,deng'wei
蒂奥多罗水上中心,di'ao'duo'luo'shui'shang'zhong'xin
蒂奥多罗体育场,di'ao'duo'luo'ti'yu'chang
迪拉多,di'la'duo
迪特克拉克,di'te'ke'la'ke
荻野公介,di'ye'gong'jie
丁宁,ding'ning
丁霞,ding'xia
丁彦雨航,ding'yan'yu'hang
董斌,dong'bin
董栋,dong'dong
董国建,dong'guo'jian
董洁,dong'jie
董力,dong'li
董廷江,dong'ting'jiang
杜迪安,du'di'an
杜丽,du'li
杜兆才,du'zhao'cai
多布杰,duo'bu'jie
范阿尔韦特,fan'a'er'wei'te
范戴克,fan'dai'ke
范德博格,fan'de'bo'ge
范德布莱根,fan'de'bu'lai'gen
范蒂赫特,fan'di'he'te
范阳,fan'yang
范忆琳,fan'yi'lin
菲尔普斯,fei'er'pu'si
费利佩阿尔梅达,fei'li'pei'a'er'mei'da
菲亚明戈,fei'ya'ming'ge
菲鱼,fei'yu
冯彬,feng'bin
冯树勇,feng'shu'yong
福格尔桑,fu'ge'er'sang
傅海峰,fu'hai'feng
福原爱,fu'yuan'ai
傅园慧,fu'yuan'hui
高蓓蓓,gao'bei'bei
高晨,gao'chen
高磊,gao'lei
高藤直寿,gao'teng'zhi'shou
高兴龙,gao'xing'long
高阳,gao'yang
高远直久,gao'yuan'zhi'jiu
高志丹,gao'zhi'dan
格罗夫斯,ge'luo'fu'si
葛曼棋,ge'man'qi
宫金杰,gong'jin'jie
巩立姣,gong'li'jiao
龚翔宇,gong'xiang'yu
古德菲洛,gu'de'fei'luo
顾雪宋,gu'xue'song
古雅沙,gu'ya'sha
郭艾伦,guo'ai'lun
郭磊,guo'lei
哈达巴特尔,ha'da'ba'te'er
哈尔姆扎耶夫,ha'er'mu'zha'ye'fu
海老沼匡,hai'lao'zhao'kuang
韩冰岩,han'bing'yan
韩建国,han'jian'guo
韩鹏,han'peng
韩玉成,han'yu'cheng
郝佳露,hao'jia'lu
何超,he'chao
何冲,he'chong
何健彬,he'jian'bin
何雯娜,he'wen'na
何新中,he'xin'zhong
何姿,he'zi
洪荒少女,hong'huang'shao'nv
洪荒之力,hong'huang'zhi'li
洪炜,hong'wei
洪玮,hong'wei
侯雅雯,hou'ya'wen
胡建关,hu'jian'guan
胡谦逊,hu'qian'xun
胡树森,hu'shu'sen
胡雅欢,hu'ya'huan
胡逸轩,hu'yi'xuan
华绍青,hua'shao'qing
华天,hua'tian
黄博凯,huang'bo'kai
黄常洲,huang'chang'zhou
黄春荣,huang'chun'rong
黄冬艳,huang'dong'yan
黄健民,huang'jian'min
黄勇,huang'yong
黄中华,huang'zhong'hua
惠若琪,hui'ruo'qi
霍顿,huo'dun
火亮,huo'liang
霍斯祖,huo'si'zu
基尼,ji'ni
加尔巴德拉卡,jia'er'ba'de'la'ka
贾蕾,jia'lei
加林查体育场,jia'lin'cha'ti'yu'chang
加罗佐,jia'luo'zuo
贾童,jia'tong
加西亚,jia'xi'ya
焦云龙,jiao'yun'long
金浩,jin'hao
近藤阿美,jin'teng'a'mei
金炜,jin'wei
敬亚莉,jing'ya'li
卡尔林,ka'er'lin
