吖儿,a'er
吧吧,ba'ba
巴巴,ba'ba
掰人,bai'ren
不忙哚,bu'mang'duo
昌老头,chang'lao'tou
吵习麻,chao'xi'ma
撑土,cheng'tu
倒拐子,dao'guai'zi
得起,de'qi
掉哒,diao'da
躲咪裹,duo'mi'guo
恩喃,en'nan
发梦舔,fa'meng'tian
饭蚊子,fan'wen'zi
风皮子,feng'pi'zi
噶爹,ga'die
该沿坡子,gai'yan'po'zi
干搞,gan'gao
搞耸过,gao'song'guo
刮气,gua'qi
拐哒,guai'da
拐子,guai'zi
国人自己,guo'ren'zi'ji
过细,guo'xi
憨七吖胀,han'qi'a'zhang
后儿,hou'er
糊人,hu'ren
火烧粑粑,huo'shao'ba'ba
积卡子,ji'qia'zi
假噶马噶,jia'ga'ma'ga
讲痞,jiang'pi
井晃,jing'huang
舅罐,jiu'guan
客马,ke'ma
快哒地,kuai'da'di
快咔,kuai'ka
赖不活,lai'bu'huo
老巴子,lao'ba'zi
老头爸爸,lao'tou'ba'ba
裸年,luo'nian
罗耸,luo'song
麻母,ma'mu
忙哚,mang'duo
毛线褂子,mao'xian'gua'zi
么儿,me'er
么家,me'jia
没搓得,mei'cuo'de
闷得,men'de
姆犸妈妈,mu'ma'ma'ma
耐杀,nai'sha
囊搞,nang'gao
屁养子,pi'yang'zi
枪朗搞滴,qiang'lang'gao'di
曲散,qu'san
雀卡子,que'qia'zi
日白,ri'bai
手扶子,shou'fu'zi
斯气,si'qi
耸过,song'guo
算哒,suan'da
谈都不谈,tan'dou'bu'tan
套孩,tao'hai
条羹,tiao'geng
坨子,tuo'zi
碗笃子,wan'du'zi
翁过,weng'guo
沃米豆,wo'mi'dou
下猪阿子,xia'zhu'a'zi
小一发,xiao'yi'fa
炎老许子,yan'lao'xu'zi
厌七,yan'qi
幺爷妈妈的妹妹,yao'ye'ma'ma'de'mei'mei
意炸,yi'zha
哟老头,yo'lao'tou
油墩子,you'dun'zi
油子彁,you'zi'ge
栅子门,zha'zi'men
找你的歪,zhao'ni'de'wai
这西,zhe'xi
