安管,an'guan
安管课,an'guan'ke
安全生产,an'quan'sheng'chan
白电,bai'dian
百货,bai'huo
百货部,bai'huo'bu
办公,ban'gong
办公室,ban'gong'shi
报废,bao'fei
变价,bian'jia
补货,bu'huo
不间断电源,bu'jian'duan'dian'yuan
布局,bu'ju
仓管,cang'guan
仓管课,cang'guan'ke
仓库,cang'ku
操作间,cao'zuo'jian
层板,ceng'ban
叉车,cha'che
陈列,chen'lie
称重标签,cheng'zhong'biao'qian
冲调,chong'tiao
出清,chu'qing
次通道,ci'tong'dao
次走道,ci'zou'dao
促销试品,cu'xiao'shi'pin
促销员,cu'xiao'yuan
大家电,da'jia'dian
打印机,da'yin'ji
导柜,dao'gui
灯箱,deng'xiang
低货架,di'huo'jia
电脑,dian'nao
电脑操作员,dian'nao'cao'zuo'yuan
店长,dian'zhang
店总,dian'zong
店总室,dian'zong'shi
订单,ding'dan
订货,ding'huo
端架,duan'jia
发货,fa'huo
副课,fu'ke
负库存,fu'ku'cun
副理,fu'li
服务台,fu'wu'tai
高货架,gao'huo'jia
购物袋,gou'wu'dai
孤儿,gu'er
过磅处,guo'bang'chu
黑电,hei'dian
烘焙,hong'bei
会员,hui'yuan
会员卡,hui'yuan'ka
货架,huo'jia
货架卡,huo'jia'ka
稽核,ji'he
计数标签,ji'shu'biao'qian
机台,ji'tai
家电,jia'dian
家纺,jia'fang
加工间,jia'gong'jian
家用,jia'yong
监控,jian'kong
监控室,jian'kong'shi
接待,jie'dai
接待课,jie'dai'ke
经副理,jing'fu'li
经理,jing'li
酒饮,jiu'yin
课别,ke'bie
客服,ke'fu
客服部,ke'fu'bu
课名,ke'ming
课员,ke'yuan
课长,ke'zhang
空调,kong'tiao
库存,ku'cun
拉排面,la'pai'mian
来客,lai'ke
来客数,lai'ke'shu
冷藏柜,leng'cang'gui
冷库,leng'ku
理货,li'huo
立柱,li'zhu
粮油,liang'you
楼层,lou'ceng
楼面,lou'mian
毛利,mao'li
毛利率,mao'li'lv
米效,mi'xiao
排面,pai'mian
盘点,pan'dian
坪效,ping'xiao
清货,qing'huo
日配,ri'pei
肉品,rou'pin
上架,shang'jia
商品,shang'pin
商品周转率,shang'pin'zhou'zhuan'lv
设备,she'bei
生鲜,sheng'xian
试吃,shi'chi
拾零,shi'ling
食品,shi'pin
食品部,shi'pin'bu
手提蓝,shou'ti'lan
手推车,shou'tui'che
收银机,shou'yin'ji
收银台,shou'yin'tai
收银纸,shou'yin'zhi
蔬果,shu'guo
水产,shui'chan
损耗,sun'hao
条码,tiao'ma
同比,tong'bi
退换货,tui'huan'huo
拖板车,tuo'ban'che
外库,wai'ku
文教,wen'jiao
消防,xiao'fang
消防检查,xiao'fang'jian'cha
小家电,xiao'jia'dian
消控,xiao'kong
消控室,xiao'kong'shi
斜口笼,xie'kou'long
信息部,xin'xi'bu
信息管理员,xin'xi'guan'li'yuan
休闲酒饮,xiu'xian'jiu'yin
烟酒柜,yan'jiu'gui
演示,yan'shi
业绩,ye'ji
液压车,ye'ya'che
营运,ying'yun
营运规范,ying'yun'gui'fan
杂货,za'huo
赠品,zeng'pin
赠品处,zeng'pin'chu
栈板,zhan'ban
占比,zhan'bi
帐管,zhang'guan
帐管课,zhang'guan'ke
折叠笼,zhe'die'long
整仓,zheng'cang
指标,zhi'biao
滞销,zhi'xiao
中控,zhong'kong
主通道,zhu'tong'dao
主走道,zhu'zou'dao
滋补,zi'bu
资深课员,zi'shen'ke'yuan
资讯,zi'xun
